年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,文教康樂,1,79102,425475412
201401,66000000,文教康樂,2,118443,618311351
201402,66000000,文教康樂,1,74410,356404683
201402,66000000,文教康樂,2,105564,465401167
201403,66000000,文教康樂,1,77028,430324664
201403,66000000,文教康樂,2,112469,563706237
201404,66000000,文教康樂,1,75710,428876816
201404,66000000,文教康樂,2,107447,581961161
201405,66000000,文教康樂,1,79849,473377024
201405,66000000,文教康樂,2,112846,628415116
201406,66000000,文教康樂,1,81714,479896657
201406,66000000,文教康樂,2,113605,626021122
201407,66000000,文教康樂,1,89131,497022418
201407,66000000,文教康樂,2,125152,638681081
201408,66000000,文教康樂,1,86307,476052853
201408,66000000,文教康樂,2,125444,614376513
201409,66000000,文教康樂,1,72406,418251736
201409,66000000,文教康樂,2,108499,565875411
201410,66000000,文教康樂,1,76664,452249139
201410,66000000,文教康樂,2,113428,615526352
201411,66000000,文教康樂,1,74653,412625543
201411,66000000,文教康樂,2,108771,554046664
201412,66000000,文教康樂,1,77721,430371036
201412,66000000,文教康樂,2,114681,579618549
201501,66000000,文教康樂,1,80130,424514345
201501,66000000,文教康樂,2,118208,592506007
201502,66000000,文教康樂,1,77829,389237146
201502,66000000,文教康樂,2,115722,547487655
201503,66000000,文教康樂,1,77366,453653680
201503,66000000,文教康樂,2,110723,606798868
201504,66000000,文教康樂,1,79611,481514581
201504,66000000,文教康樂,2,114475,659738314
201505,66000000,文教康樂,1,79096,494994925
201505,66000000,文教康樂,2,114529,648956513
201506,66000000,文教康樂,1,80769,489559080
201506,66000000,文教康樂,2,115450,641063318
201507,66000000,文教康樂,1,86875,515636864
201507,66000000,文教康樂,2,126606,681626305
201508,66000000,文教康樂,1,83742,448005782
201508,66000000,文教康樂,2,124334,584709722
201509,66000000,文教康樂,1,79740,404067778
201509,66000000,文教康樂,2,118022,584165538
201510,66000000,文教康樂,1,84607,488344518
201510,66000000,文教康樂,2,123991,635083426
201511,66000000,文教康樂,1,81677,448924405
201511,66000000,文教康樂,2,117516,574631439
201512,66000000,文教康樂,1,88967,455989359
201512,66000000,文教康樂,2,132548,649901343
201601,66000000,文教康樂,1,175046,1058744125
201601,66000000,文教康樂,2,251926,1432861982
201602,66000000,文教康樂,1,177102,977817405
201602,66000000,文教康樂,2,245448,1265122339
201603,66000000,文教康樂,1,157366,924519097
201603,66000000,文教康樂,2,218127,1182768109
201604,66000000,文教康樂,1,162515,908489430
201604,66000000,文教康樂,2,221391,1177063945
201605,66000000,文教康樂,1,163874,982190984
201605,66000000,文教康樂,2,224193,1271010258
201606,66000000,文教康樂,1,177307,1097674294
201606,66000000,文教康樂,2,237552,1330041165
201607,66000000,文教康樂,1,180768,1028064610
201607,66000000,文教康樂,2,248577,1327818359
201608,66000000,文教康樂,1,175727,1037225962
201608,66000000,文教康樂,2,243016,1331995922
201609,66000000,文教康樂,1,159963,897271580
201609,66000000,文教康樂,2,219193,1173860158
201610,66000000,文教康樂,1,198785,938157930
201610,66000000,文教康樂,2,257462,1243428445
201611,66000000,文教康樂,1,207154,978739329
201611,66000000,文教康樂,2,263919,1213515231
201612,66000000,文教康樂,1,212269,933792440
201612,66000000,文教康樂,2,274892,1207308184
201701,66000000,文教康樂,1,214282,1082788301
201701,66000000,文教康樂,2,281489,1386835508
201702,66000000,文教康樂,1,210937,1129493194
201702,66000000,文教康樂,2,274168,1446826534
201703,66000000,文教康樂,1,215421,1124826992
201703,66000000,文教康樂,2,272057,1389526951
201704,66000000,文教康樂,1,230510,1021730069
201704,66000000,文教康樂,2,289150,1302501764
201705,66000000,文教康樂,1,209603,1106463214
201705,66000000,文教康樂,2,263936,1412455284
201706,66000000,文教康樂,1,206431,1080274548
201706,66000000,文教康樂,2,251929,1375224129
201707,66000000,文教康樂,1,221656,1119431765
201707,66000000,文教康樂,2,272668,1396648452
201708,66000000,文教康樂,1,218711,1258762306
201708,66000000,文教康樂,2,274418,1560590508
201709,66000000,文教康樂,1,204334,1095746628
201709,66000000,文教康樂,2,253228,1432395311
201710,66000000,文教康樂,1,217933,1027427521
201710,66000000,文教康樂,2,265180,1317833881
201711,66000000,文教康樂,1,206547,1006600345
201711,66000000,文教康樂,2,255818,1285981087
201712,66000000,文教康樂,1,214486,927809760
201712,66000000,文教康樂,2,273569,1236162262
201801,66000000,文教康樂,1,202858,1043204141
201801,66000000,文教康樂,2,264692,1376945209
201802,66000000,文教康樂,1,210777,1181757703
201802,66000000,文教康樂,2,267541,1537770596
201803,66000000,文教康樂,1,213919,1194685138
201803,66000000,文教康樂,2,263560,1547386195
201804,66000000,文教康樂,1,227458,1041945687
201804,66000000,文教康樂,2,268964,1359853265
201805,66000000,文教康樂,1,212420,1184238607
201805,66000000,文教康樂,2,263879,1552378925
201806,66000000,文教康樂,1,226301,1132437838
201806,66000000,文教康樂,2,281538,1429333924
201807,66000000,文教康樂,1,238599,1133815696
201807,66000000,文教康樂,2,298390,1454693608
201808,66000000,文教康樂,1,223473,1245483312
201808,66000000,文教康樂,2,292424,1559845815
201809,66000000,文教康樂,1,197353,979837278
201809,66000000,文教康樂,2,246749,1302170582
201810,66000000,文教康樂,1,204404,946416745
201810,66000000,文教康樂,2,249605,1253261457
201811,66000000,文教康樂,1,219914,991998554
201811,66000000,文教康樂,2,279236,1286112680
201812,66000000,文教康樂,1,362228,1153474451
201812,66000000,文教康樂,2,443204,1505207147
201901,66000000,文教康樂,1,314530,1335580547
201901,66000000,文教康樂,2,395386,1766938181
201902,66000000,文教康樂,1,305423,1169292467
201902,66000000,文教康樂,2,362999,1502357308
201903,66000000,文教康樂,1,335087,1154348565
201903,66000000,文教康樂,2,404344,1547707102
201904,66000000,文教康樂,1,346820,1131702137
201904,66000000,文教康樂,2,407250,1477734993
201905,66000000,文教康樂,1,333717,1137192930
