年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,食,1,341854,914858245
201401,66000000,食,2,502244,980686841
201402,66000000,食,1,279979,486971410
201402,66000000,食,2,397618,592470272
201403,66000000,食,1,308853,552402439
201403,66000000,食,2,459180,670172260
201404,66000000,食,1,292640,513226161
201404,66000000,食,2,437646,636011579
201405,66000000,食,1,328806,583891171
201405,66000000,食,2,479289,747251184
201406,66000000,食,1,322961,562102739
201406,66000000,食,2,469302,696715306
201407,66000000,食,1,344274,604463546
201407,66000000,食,2,519593,778479267
201408,66000000,食,1,369719,682591941
201408,66000000,食,2,558723,892072703
201409,66000000,食,1,326868,560055650
201409,66000000,食,2,492323,745069105
201410,66000000,食,1,322525,541100953
201410,66000000,食,2,483586,690959235
201411,66000000,食,1,316674,548909091
201411,66000000,食,2,465009,716560430
201412,66000000,食,1,340867,621708383
201412,66000000,食,2,506084,812960479
201501,66000000,食,1,339607,651882852
201501,66000000,食,2,494517,871739026
201502,66000000,食,1,344033,714570432
201502,66000000,食,2,487818,903852741
201503,66000000,食,1,302964,561512007
201503,66000000,食,2,444513,704622233
201504,66000000,食,1,314382,552481342
201504,66000000,食,2,458176,715808042
201505,66000000,食,1,358099,646232446
201505,66000000,食,2,509121,820032710
201506,66000000,食,1,342239,580017818
201506,66000000,食,2,493893,753548567
201507,66000000,食,1,353981,596493401
201507,66000000,食,2,529110,808707515
201508,66000000,食,1,399870,713093553
201508,66000000,食,2,597635,970771261
201509,66000000,食,1,361760,677851363
201509,66000000,食,2,534004,909870337
201510,66000000,食,1,352721,611462319
201510,66000000,食,2,507936,760839065
201511,66000000,食,1,340746,634913669
201511,66000000,食,2,492423,808896550
201512,66000000,食,1,373435,702819370
201512,66000000,食,2,532039,894066580
201601,66000000,食,1,766445,1520842253
201601,66000000,食,2,1000856,1774486688
201602,66000000,食,1,713587,1350299386
201602,66000000,食,2,900792,1523928360
201603,66000000,食,1,644103,1110936977
201603,66000000,食,2,853592,1292836319
201604,66000000,食,1,663960,1115642706
201604,66000000,食,2,867406,1297243938
201605,66000000,食,1,707852,1221942024
201605,66000000,食,2,910917,1379282694
201606,66000000,食,1,745930,1240555503
201606,66000000,食,2,962286,1415292873
201607,66000000,食,1,789393,1299392615
201607,66000000,食,2,1040080,1528031103
201608,66000000,食,1,734814,1364237240
201608,66000000,食,2,996613,1581302626
201609,66000000,食,1,724745,1228120452
201609,66000000,食,2,941313,1398772576
201610,66000000,食,1,744785,1222054828
201610,66000000,食,2,965966,1359035587
201611,66000000,食,1,643140,1051127759
201611,66000000,食,2,814555,1037686990
201612,66000000,食,1,696327,1149806482
201612,66000000,食,2,881055,1153327887
201701,66000000,食,1,755933,1478705943
201701,66000000,食,2,946236,1493934521
201702,66000000,食,1,640125,1062304322
201702,66000000,食,2,793927,1085583620
201703,66000000,食,1,652910,1063118623
201703,66000000,食,2,846595,1159085875
201704,66000000,食,1,696789,1137855725
201704,66000000,食,2,884715,1213325466
201705,66000000,食,1,714112,1208164596
201705,66000000,食,2,899741,1280744526
201706,66000000,食,1,679708,1086492542
201706,66000000,食,2,881550,1180722718
201707,66000000,食,1,772136,1209989634
201707,66000000,食,2,1002560,1329656088
201708,66000000,食,1,770655,1306492130
201708,66000000,食,2,1026423,1467245499
201709,66000000,食,1,714197,1182884639
201709,66000000,食,2,935403,1343249844
201710,66000000,食,1,754632,1209535475
201710,66000000,食,2,964787,1337172164
201711,66000000,食,1,677490,1142496987
201711,66000000,食,2,889040,1286748755
201712,66000000,食,1,752449,1283733740
201712,66000000,食,2,969273,1436397616
201801,66000000,食,1,666392,1186932789
201801,66000000,食,2,865684,1317368791
201802,66000000,食,1,772218,1405248213
201802,66000000,食,2,983732,1581230681
201803,66000000,食,1,706640,1123959781
201803,66000000,食,2,917393,1258694264
201804,66000000,食,1,820512,1269229103
201804,66000000,食,2,1028796,1475168919
201805,66000000,食,1,924908,1508017419
201805,66000000,食,2,1148274,1773997823
201806,66000000,食,1,943653,1428083892
201806,66000000,食,2,1166848,1680048040
201807,66000000,食,1,1011916,1495393981
201807,66000000,食,2,1277065,1754961217
201808,66000000,食,1,1012378,1586921352
201808,66000000,食,2,1295145,1931458802
201809,66000000,食,1,992350,1480232170
201809,66000000,食,2,1219704,1764959421
201810,66000000,食,1,864814,1240183696
201810,66000000,食,2,1060148,1468355500
201811,66000000,食,1,923371,1396557054
201811,66000000,食,2,1127148,1636270932
201812,66000000,食,1,1074317,1627975484
201812,66000000,食,2,1300541,1897019806
201901,66000000,食,1,993713,1670680470
201901,66000000,食,2,1229694,1992363224
201902,66000000,食,1,862869,1339160138
201902,66000000,食,2,1013896,1517503388
201903,66000000,食,1,998155,1398925947
201903,66000000,食,2,1229944,1664225639
201904,66000000,食,1,922135,1341219618
201904,66000000,食,2,1101733,1551907884
201905,66000000,食,1,943046,1419019149
201905,66000000,食,2,1130565,1672251562
201906,66000000,食,1,936761,1328442992
201906,66000000,食,2,1111058,1574384305
201907,66000000,食,1,1106278,1538175081
201907,66000000,食,2,1369727,1907906114
201908,66000000,食,1,1150120,1655249915
201908,66000000,食,2,1456558,2083130971
201909,66000000,食,1,977781,1349565514
201909,66000000,食,2,1191145,1636272064
201910,66000000,食,1,1032545,1386982358
201910,66000000,食,2,1233288,1647140374
201911,66000000,食,1,1061429,1472368638
201911,66000000,食,2,1274443,1757371253
201912,66000000,食,1,1117250,1569512098
201912,66000000,食,2,1335871,1886798466
202001,66000000,食,1,1201170,1919339649
202001,66000000,食,2,1433870,2280509829
202002,66000000,食,1,1043728,1377367776
202002,66000000,食,2,1260608,1693201648
202003,66000000,食,1,1128574,1416317906
202003,66000000,食,2,1399647,1805839982
202004,66000000,食,1,1131696,1272208148
202004,66000000,食,2,1410418,1650831704
202005,66000000,食,1,1270746,1553488121
202005,66000000,食,2,1530932,1935143254
202006,66000000,食,1,1232554,1519020911
202006,66000000,食,2,1492000,1830739810
202007,66000000,食,1,1348509,1664676602
202007,66000000,食,2,1650705,2030186185
202008,66000000,食,1,1414637,1870402423
202008,66000000,食,2,1745086,2277745082
202009,66000000,食,1,1286592,1697709360
202009,66000000,食,2,1583933,2085728388
202010,66000000,食,1,1370790,1748654024
202010,66000000,食,2,1642315,2052900287
202011,66000000,食,1,1334445,1799055022
202011,66000000,食,2,1623319,2125805070
202012,66000000,食,1,1390482,1908486861
202012,66000000,食,2,1700750,2296947192
202101,66000000,食,1,1514297,2287554273
202101,66000000,食,2,1855614,2797134094
202102,66000000,食,1,721312,1166010801
202102,66000000,食,2,808326,1216323699
202103,66000000,食,1,646274,937122562
202103,66000000,食,2,712517,965942849
202104,66000000,食,1,750706,1079379922
202104,66000000,食,2,820171,1109727123
202105,66000000,食,1,592757,778913193
202105,66000000,食,2,640726,865450174
202106,66000000,食,1,388629,291332793
202106,66000000,食,2,440459,423876982
202107,66000000,食,1,462392,355654841
202107,66000000,食,2,522124,529435219
202108,66000000,食,1,669817,734489597
202108,66000000,食,2,743227,907772711
202109,66000000,食,1,726998,887929417
202109,66000000,食,2,791491,1026804755
202110,66000000,食,1,827972,1150658324
202110,66000000,食,2,904560,1221076798
202111,66000000,食,1,771698,1048010099
202111,66000000,食,2,855849,1132255286
202112,66000000,食,1,844392,1260127799
202112,66000000,食,2,934404,1369395989
202201,66000000,食,1,820692,1341851136
202201,66000000,食,2,905276,1387986783
202202,66000000,食,1,765241,1141159554
202202,66000000,食,2,815033,1168186823
202203,66000000,食,1,806584,1129491866
202203,66000000,食,2,881071,1148859275
202204,66000000,食,1,758497,1018792786
202204,66000000,食,2,800803,1017151769
