年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,住,1,62244,367093504
201401,66000000,住,2,52994,355563139
201402,66000000,住,1,48138,238957523
201402,66000000,住,2,40784,229736370
201403,66000000,住,1,48481,246874902
201403,66000000,住,2,39028,236084939
201404,66000000,住,1,51454,300291470
201404,66000000,住,2,41877,283523957
201405,66000000,住,1,49343,265649474
201405,66000000,住,2,40503,259400829
201406,66000000,住,1,49913,281487272
201406,66000000,住,2,42117,286655220
201407,66000000,住,1,57602,350114099
201407,66000000,住,2,49630,347432536
201408,66000000,住,1,54602,289172281
201408,66000000,住,2,47304,282907576
201409,66000000,住,1,48285,257800432
201409,66000000,住,2,41013,249398481
201410,66000000,住,1,49046,249720886
201410,66000000,住,2,42067,249998175
201411,66000000,住,1,55923,300855158
201411,66000000,住,2,48703,296900885
201412,66000000,住,1,53644,289301589
201412,66000000,住,2,45030,278432531
201501,66000000,住,1,56582,342186523
201501,66000000,住,2,46088,310046341
201502,66000000,住,1,51349,285557061
201502,66000000,住,2,43944,272679646
201503,66000000,住,1,45700,239172027
201503,66000000,住,2,37520,225974616
201504,66000000,住,1,50640,303466264
201504,66000000,住,2,42828,298856060
201505,66000000,住,1,48035,266148947
201505,66000000,住,2,40611,255324960
201506,66000000,住,1,50533,302153982
201506,66000000,住,2,44565,305846066
201507,66000000,住,1,55336,312777744
201507,66000000,住,2,48948,310142272
201508,66000000,住,1,56031,278247454
201508,66000000,住,2,50121,274960827
201509,66000000,住,1,63335,298350432
201509,66000000,住,2,61439,292247449
201510,66000000,住,1,65310,312996526
201510,66000000,住,2,60457,303353778
201511,66000000,住,1,71535,379607653
201511,66000000,住,2,68055,379220451
201512,66000000,住,1,74638,390961233
201512,66000000,住,2,69236,375367096
201601,66000000,住,1,161519,737037334
201601,66000000,住,2,140021,723863146
201602,66000000,住,1,148252,643668364
201602,66000000,住,2,129303,610759521
201603,66000000,住,1,127047,488456491
201603,66000000,住,2,103132,446980857
201604,66000000,住,1,129141,556836370
201604,66000000,住,2,107256,522402710
201605,66000000,住,1,126708,537392055
201605,66000000,住,2,104953,504703736
201606,66000000,住,1,139798,599271836
201606,66000000,住,2,115183,561989175
