年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,其他,1,171488,830951948
201401,66000000,其他,2,206783,943319025
201402,66000000,其他,1,143270,625818677
201402,66000000,其他,2,172590,730389887
201403,66000000,其他,1,158173,745545438
201403,66000000,其他,2,191527,867835654
201404,66000000,其他,1,152471,706234163
201404,66000000,其他,2,186860,804495370
201405,66000000,其他,1,160689,742278639
201405,66000000,其他,2,197298,858023421
201406,66000000,其他,1,160564,712906655
201406,66000000,其他,2,195534,821138484
201407,66000000,其他,1,184316,811863565
201407,66000000,其他,2,229996,948453142
201408,66000000,其他,1,162274,728195843
201408,66000000,其他,2,197649,849806149
201409,66000000,其他,1,164645,757166901
201409,66000000,其他,2,195315,856826737
201410,66000000,其他,1,170722,803328266
201410,66000000,其他,2,201260,911549995
201411,66000000,其他,1,165941,806840594
201411,66000000,其他,2,193217,898895643
201412,66000000,其他,1,183999,936906552
201412,66000000,其他,2,212135,1039689186
201501,66000000,其他,1,177859,844258196
201501,66000000,其他,2,200110,910707378
201502,66000000,其他,1,144312,698946139
201502,66000000,其他,2,166552,763878900
201503,66000000,其他,1,188203,803443359
201503,66000000,其他,2,209555,884260663
201504,66000000,其他,1,169693,745963698
201504,66000000,其他,2,193624,823997126
201505,66000000,其他,1,170888,777399405
201505,66000000,其他,2,195508,857560256
201506,66000000,其他,1,180282,800500065
201506,66000000,其他,2,203167,869426169
201507,66000000,其他,1,207970,907223681
201507,66000000,其他,2,245761,1027576577
201508,66000000,其他,1,183009,800662944
201508,66000000,其他,2,212337,902151825
201509,66000000,其他,1,176286,761904898
201509,66000000,其他,2,201452,833870186
201510,66000000,其他,1,190596,925554341
201510,66000000,其他,2,217647,1022409803
201511,66000000,其他,1,183406,872260156
201511,66000000,其他,2,211239,1020383313
201512,66000000,其他,1,200468,966314652
201512,66000000,其他,2,230158,1070694170
201601,66000000,其他,1,294208,1435742108
201601,66000000,其他,2,380985,1737297394
201602,66000000,其他,1,249907,1182401062
201602,66000000,其他,2,340548,1533165605
201603,66000000,其他,1,295145,1350895272
201603,66000000,其他,2,382763,1705590522
201604,66000000,其他,1,267730,1252045084
201604,66000000,其他,2,357498,1651370951
201605,66000000,其他,1,265883,1311412383
201605,66000000,其他,2,373969,1741257051
201606,66000000,其他,1,316532,1418435946
201606,66000000,其他,2,448737,1809798250
201607,66000000,其他,1,334293,1450029424
201607,66000000,其他,2,475101,1866283667
201608,66000000,其他,1,301179,1386556746
201608,66000000,其他,2,435213,1844166601
201609,66000000,其他,1,271601,1313591985
201609,66000000,其他,2,392887,1745474292
201610,66000000,其他,1,297418,1439627618
201610,66000000,其他,2,437590,1924301635
201611,66000000,其他,1,314495,1483959785
201611,66000000,其他,2,455379,1858340798
201612,66000000,其他,1,329686,1631514224
201612,66000000,其他,2,469581,2080904832
201701,66000000,其他,1,286176,1402972438
201701,66000000,其他,2,414131,1791235201
201702,66000000,其他,1,262839,1220322981
201702,66000000,其他,2,385881,1564170241
201703,66000000,其他,1,310446,1404081494
201703,66000000,其他,2,433535,1718007599
201704,66000000,其他,1,299329,1330673159
201704,66000000,其他,2,420721,1633484380
201705,66000000,其他,1,290494,1388909286
201705,66000000,其他,2,418069,1702559796
201706,66000000,其他,1,269383,1343135057
201706,66000000,其他,2,395781,1634022491
201707,66000000,其他,1,329498,1569288992
201707,66000000,其他,2,477207,1859389440
201708,66000000,其他,1,291333,1467245236
201708,66000000,其他,2,451938,1820407392
201709,66000000,其他,1,275523,1375662583
201709,66000000,其他,2,411383,1663388398
201710,66000000,其他,1,298837,1441401088
201710,66000000,其他,2,439799,1760764086
201711,66000000,其他,1,298001,1561705607
201711,66000000,其他,2,447052,1870799225
201712,66000000,其他,1,310130,1592105118
201712,66000000,其他,2,449861,1873279999
201801,66000000,其他,1,289098,1406658607
201801,66000000,其他,2,413665,1652764710
201802,66000000,其他,1,276883,1254556139
201802,66000000,其他,2,412173,1587333510
201803,66000000,其他,1,304360,1449999032
201803,66000000,其他,2,447675,1705960859
201804,66000000,其他,1,298469,1344187529
201804,66000000,其他,2,434458,1648627508
201805,66000000,其他,1,316471,1489634294
201805,66000000,其他,2,468311,1827495501
201806,66000000,其他,1,313275,1417958736
201806,66000000,其他,2,471262,1763176538
201807,66000000,其他,1,374969,1646709485
201807,66000000,其他,2,539701,1992531548
201808,66000000,其他,1,311725,1400074519
201808,66000000,其他,2,462035,1770537679
201809,66000000,其他,1,319008,1418734096
201809,66000000,其他,2,469584,1751409974
201810,66000000,其他,1,304141,1330137534
201810,66000000,其他,2,457571,1690889126
201811,66000000,其他,1,335338,1507851246
201811,66000000,其他,2,522026,2016875077
201812,66000000,其他,1,356460,1580381263
201812,66000000,其他,2,544755,2104811330
201901,66000000,其他,1,349359,1533391609
201901,66000000,其他,2,521582,1952511315
201902,66000000,其他,1,271900,1009779713
201902,66000000,其他,2,413035,1389859146
201903,66000000,其他,1,345007,1423399536
201903,66000000,其他,2,518211,1825718317
201904,66000000,其他,1,327850,1343268894
201904,66000000,其他,2,489824,1718493848
201905,66000000,其他,1,329003,1358863189
201905,66000000,其他,2,488569,1724311322
201906,66000000,其他,1,323190,1289210541
201906,66000000,其他,2,480453,1602203759
201907,66000000,其他,1,443537,1742847625
201907,66000000,其他,2,665183,2270976685
201908,66000000,其他,1,365524,1432249778
201908,66000000,其他,2,551775,1829144492
201909,66000000,其他,1,322679,1282623451
201909,66000000,其他,2,491468,1689575399
201910,66000000,其他,1,349701,1400027497
201910,66000000,其他,2,523704,1775690254
201911,66000000,其他,1,357551,1444279524
201911,66000000,其他,2,567245,1996450472
201912,66000000,其他,1,354967,1424647698
201912,66000000,其他,2,534927,1815847098
202001,66000000,其他,1,361999,1330570157
