年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,行,1,232040,285099119
201401,66000000,行,2,112286,127274590
201402,66000000,行,1,204948,246207910
201402,66000000,行,2,97833,108539833
201403,66000000,行,1,233144,278403487
201403,66000000,行,2,114602,125715271
201404,66000000,行,1,225739,264705172
201404,66000000,行,2,110385,116810366
201405,66000000,行,1,234281,280423308
201405,66000000,行,2,116142,122440132
201406,66000000,行,1,248181,300069281
201406,66000000,行,2,121668,134346822
201407,66000000,行,1,260831,316532799
201407,66000000,行,2,126935,140340515
201408,66000000,行,1,261848,307532143
201408,66000000,行,2,127588,134980325
201409,66000000,行,1,250099,288078423
201409,66000000,行,2,121169,126084424
201410,66000000,行,1,258363,284636129
201410,66000000,行,2,124217,125281873
201411,66000000,行,1,245916,263961331
201411,66000000,行,2,118535,116452038
201412,66000000,行,1,254955,263255450
201412,66000000,行,2,121922,121631871
201501,66000000,行,1,244488,229736003
201501,66000000,行,2,114548,106396384
201502,66000000,行,1,227761,212173269
201502,66000000,行,2,101840,89150362
201503,66000000,行,1,245598,234459048
201503,66000000,行,2,115473,101732055
201504,66000000,行,1,240182,232393288
201504,66000000,行,2,111518,101280093
201505,66000000,行,1,247298,252033109
201505,66000000,行,2,117194,109741060
201506,66000000,行,1,254333,263957410
201506,66000000,行,2,119670,115538701
201507,66000000,行,1,267396,277444325
201507,66000000,行,2,126120,127600924
201508,66000000,行,1,256111,239590582
201508,66000000,行,2,120725,108400729
201509,66000000,行,1,250926,234951693
201509,66000000,行,2,115395,103911584
201510,66000000,行,1,257947,243099104
201510,66000000,行,2,118264,107324871
201511,66000000,行,1,253655,235616619
201511,66000000,行,2,116513,107107645
201512,66000000,行,1,281575,259932357
201512,66000000,行,2,131587,123652562
201601,66000000,行,1,761648,669384237
201601,66000000,行,2,400208,335486874
201602,66000000,行,1,645371,546495602
201602,66000000,行,2,323898,259806988
201603,66000000,行,1,731658,675505527
201603,66000000,行,2,384152,326859768
201604,66000000,行,1,717471,657647277
201604,66000000,行,2,376042,321167655
201605,66000000,行,1,750094,710415115
201605,66000000,行,2,400489,347461888
201606,66000000,行,1,795194,782242429
201606,66000000,行,2,421726,379555426
201607,66000000,行,1,780879,747997349
201607,66000000,行,2,416312,379084800
201608,66000000,行,1,842094,761894395
201608,66000000,行,2,444560,374034578
201609,66000000,行,1,756500,699453521
201609,66000000,行,2,397736,340546747
201610,66000000,行,1,820408,769704470
201610,66000000,行,2,431186,378468583
201611,66000000,行,1,824178,767954384
201611,66000000,行,2,436029,384134937
201612,66000000,行,1,854865,839874406
201612,66000000,行,2,451007,411720692
201701,66000000,行,1,754490,766950244
201701,66000000,行,2,395520,370976246
201702,66000000,行,1,681979,675969706
201702,66000000,行,2,361604,335119477
201703,66000000,行,1,801695,786756673
201703,66000000,行,2,429918,392558582
201704,66000000,行,1,810961,775333066
201704,66000000,行,2,432264,388978872
201705,66000000,行,1,791602,754424132
201705,66000000,行,2,431292,389116412
201706,66000000,行,1,702836,682764464
201706,66000000,行,2,386098,354101877
201707,66000000,行,1,747983,720541260
201707,66000000,行,2,410324,374903723
201708,66000000,行,1,758924,745519301
201708,66000000,行,2,418375,379170037
201709,66000000,行,1,732290,718288510
201709,66000000,行,2,402531,367680415
201710,66000000,行,1,763507,760888461
201710,66000000,行,2,416717,390425334
201711,66000000,行,1,747624,764182946
201711,66000000,行,2,411346,392969305
201712,66000000,行,1,787250,821320254
201712,66000000,行,2,432894,423694544
201801,66000000,行,1,705036,739886214
201801,66000000,行,2,385490,374069862
201802,66000000,行,1,659199,671695634
201802,66000000,行,2,353431,336114518
201803,66000000,行,1,766058,782114597
201803,66000000,行,2,420239,397494831
201804,66000000,行,1,771319,786675323
201804,66000000,行,2,420894,395863162
201805,66000000,行,1,823787,868024095
201805,66000000,行,2,451187,434460261
201806,66000000,行,1,809514,866523064
201806,66000000,行,2,445442,440253109
201807,66000000,行,1,829680,892363689
201807,66000000,行,2,459393,459374121
201808,66000000,行,1,763563,812118391
201808,66000000,行,2,423484,413860817
201809,66000000,行,1,799716,857802108
201809,66000000,行,2,437692,443163393
201810,66000000,行,1,708253,756999494
201810,66000000,行,2,398536,391310147
201811,66000000,行,1,772342,809710353
201811,66000000,行,2,440176,427642615
201812,66000000,行,1,821978,845137323
201812,66000000,行,2,462290,442172456
201901,66000000,行,1,766973,770251861
201901,66000000,行,2,426058,393934687
201902,66000000,行,1,628891,623377869
201902,66000000,行,2,336812,311290366
201903,66000000,行,1,788436,818971512
201903,66000000,行,2,440562,431173541
201904,66000000,行,1,762572,809838357
201904,66000000,行,2,423775,417574838
201905,66000000,行,1,748947,885600530
201905,66000000,行,2,414186,457690366
201906,66000000,行,1,725598,824875870
201906,66000000,行,2,405588,452926034
201907,66000000,行,1,808543,876181856
201907,66000000,行,2,451153,463428143
201908,66000000,行,1,784051,837812525
201908,66000000,行,2,442257,456018536
201909,66000000,行,1,724336,779539793
201909,66000000,行,2,405147,418199898
201910,66000000,行,1,790451,824686085
201910,66000000,行,2,437681,439071136
201911,66000000,行,1,793538,862940695
201911,66000000,行,2,453333,495186098
201912,66000000,行,1,800143,870323210
201912,66000000,行,2,457075,494537131
202001,66000000,行,1,771547,781909350
202001,66000000,行,2,426708,403934558
202002,66000000,行,1,706499,699361338
202002,66000000,行,2,387942,366956188
202003,66000000,行,1,745924,659044614
202003,66000000,行,2,413976,349575536
202004,66000000,行,1,679941,520807562
202004,66000000,行,2,365852,280947057
202005,66000000,行,1,731368,570232257
202005,66000000,行,2,393339,307469933
202006,66000000,行,1,718163,633141442
202006,66000000,行,2,395791,339685788
202007,66000000,行,1,851806,799722921
202007,66000000,行,2,479254,435458273
202008,66000000,行,1,856762,793499769
202008,66000000,行,2,489459,441053829
202009,66000000,行,1,810743,737970176
202009,66000000,行,2,462494,409498063
202010,66000000,行,1,934386,831770749
202010,66000000,行,2,529412,448503137
202011,66000000,行,1,915342,803046529
202011,66000000,行,2,529581,452368916
202012,66000000,行,1,969711,918380930
202012,66000000,行,2,558145,506967474
202101,66000000,行,1,960207,940560049
202101,66000000,行,2,547053,493076169
202102,66000000,行,1,873581,1152438004
202102,66000000,行,2,484706,597002043
202103,66000000,行,1,974485,1277475374
202103,66000000,行,2,570068,683907212
202104,66000000,行,1,994725,1340436253
202104,66000000,行,2,588613,724652811
202105,66000000,行,1,893136,1248709293
202105,66000000,行,2,495512,625151438
202106,66000000,行,1,698506,1025355714
