年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,百貨,1,94084,282296210
201401,67000000,百貨,2,261819,684430813
201402,67000000,百貨,1,77353,227734705
201402,67000000,百貨,2,225448,595382159
201403,67000000,百貨,1,68769,182253127
201403,67000000,百貨,2,207463,486309400
201404,67000000,百貨,1,75910,241549071
201404,67000000,百貨,2,238248,698562306
201405,67000000,百貨,1,84079,225344183
201405,67000000,百貨,2,241765,558355580
201406,67000000,百貨,1,87869,244007473
201406,67000000,百貨,2,260997,629255095
201407,67000000,百貨,1,78073,210182010
201407,67000000,百貨,2,251823,559191484
201408,67000000,百貨,1,86581,238305836
201408,67000000,百貨,2,269964,632775224
201409,67000000,百貨,1,67783,175205976
201409,67000000,百貨,2,218244,528607370
201410,67000000,百貨,1,85371,238332087
201410,67000000,百貨,2,290749,707157847
201411,67000000,百貨,1,144190,672021523
201411,67000000,百貨,2,454456,1786958304
201412,67000000,百貨,1,89999,236412204
201412,67000000,百貨,2,268874,587043359
201501,67000000,百貨,1,119908,306462126
201501,67000000,百貨,2,325461,741849023
201502,67000000,百貨,1,123868,371031240
201502,67000000,百貨,2,335592,847851629
201503,67000000,百貨,1,87353,231734368
201503,67000000,百貨,2,260849,608088724
201504,67000000,百貨,1,99935,287248936
201504,67000000,百貨,2,300658,813387149
201505,67000000,百貨,1,109272,273126653
201505,67000000,百貨,2,304300,671841590
201506,67000000,百貨,1,109408,299158707
201506,67000000,百貨,2,315706,718497134
201507,67000000,百貨,1,105277,266339591
201507,67000000,百貨,2,307140,649646689
201508,67000000,百貨,1,108343,278516991
201508,67000000,百貨,2,305856,678056849
201509,67000000,百貨,1,87916,212542587
201509,67000000,百貨,2,260065,594856362
201510,67000000,百貨,1,105347,276154929
201510,67000000,百貨,2,323052,754757135
201511,67000000,百貨,1,166783,726676903
201511,67000000,百貨,2,506587,1876387941
201512,67000000,百貨,1,113288,282584639
201512,67000000,百貨,2,306700,640991904
201601,67000000,百貨,1,119079,315947920
201601,67000000,百貨,2,328660,755194577
201602,67000000,百貨,1,115096,322735255
201602,67000000,百貨,2,310546,756917106
201603,67000000,百貨,1,74018,191867218
201603,67000000,百貨,2,214061,494139083
201604,67000000,百貨,1,94745,268957512
201604,67000000,百貨,2,270214,728189256
201605,67000000,百貨,1,96989,236747630
201605,67000000,百貨,2,263689,575140996
201606,67000000,百貨,1,114688,283163009
201606,67000000,百貨,2,316007,678060068
201607,67000000,百貨,1,110149,323166419
201607,67000000,百貨,2,308873,768727500
201608,67000000,百貨,1,88478,204934285
201608,67000000,百貨,2,243927,490072326
201609,67000000,百貨,1,83986,197153265
201609,67000000,百貨,2,229351,534673619
201610,67000000,百貨,1,93688,233238811
201610,67000000,百貨,2,271627,633601834
201611,67000000,百貨,1,153592,692661882
201611,67000000,百貨,2,460648,1763495997
201612,67000000,百貨,1,109895,255939616
201612,67000000,百貨,2,300450,615007420
201701,67000000,百貨,1,108842,329860396
201701,67000000,百貨,2,299687,756304396
201702,67000000,百貨,1,86626,245476438
201702,67000000,百貨,2,249719,606177153
201703,67000000,百貨,1,77960,196865499
201703,67000000,百貨,2,231091,552750261
201704,67000000,百貨,1,101427,278184397
201704,67000000,百貨,2,285347,739183272
201705,67000000,百貨,1,93281,240820117
201705,67000000,百貨,2,263600,592196664
201706,67000000,百貨,1,81061,210907283
201706,67000000,百貨,2,238564,540795832
201707,67000000,百貨,1,90955,268396062
