年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,住,1,76631,360657561
201401,67000000,住,2,65937,329616081
201402,67000000,住,1,60755,254501384
201402,67000000,住,2,51590,229425197
201403,67000000,住,1,60714,263522298
201403,67000000,住,2,48512,219799008
201404,67000000,住,1,59293,281607910
201404,67000000,住,2,47280,252139161
201405,67000000,住,1,64950,293849063
201405,67000000,住,2,54439,270090183
201406,67000000,住,1,63112,284978925
201406,67000000,住,2,53586,265239589
201407,67000000,住,1,70980,336758356
201407,67000000,住,2,60298,306469866
201408,67000000,住,1,71595,311245446
201408,67000000,住,2,62929,284956619
201409,67000000,住,1,62056,266779884
201409,67000000,住,2,53824,250000478
201410,67000000,住,1,65692,295123610
201410,67000000,住,2,55768,260847198
201411,67000000,住,1,68946,320907781
201411,67000000,住,2,59186,295701138
201412,67000000,住,1,73381,328276158
201412,67000000,住,2,63940,286238026
201501,67000000,住,1,77326,350855940
201501,67000000,住,2,67792,332301276
201502,67000000,住,1,77241,350044320
201502,67000000,住,2,71864,338569711
201503,67000000,住,1,66715,281311776
201503,67000000,住,2,57060,264419795
201504,67000000,住,1,66313,317530589
201504,67000000,住,2,55858,301667336
201505,67000000,住,1,69155,312254175
201505,67000000,住,2,60096,299724804
201506,67000000,住,1,68247,331266253
201506,67000000,住,2,60865,321719724
201507,67000000,住,1,73789,338619354
201507,67000000,住,2,65961,326998163
201508,67000000,住,1,73203,312194333
201508,67000000,住,2,66694,304081266
201509,67000000,住,1,60471,248265120
201509,67000000,住,2,53715,235965382
201510,67000000,住,1,65990,279771310
201510,67000000,住,2,56636,251586099
201511,67000000,住,1,67885,318434660
201511,67000000,住,2,57989,289621754
201512,67000000,住,1,74956,336927453
201512,67000000,住,2,67586,323461358
201601,67000000,住,1,79702,389749490
201601,67000000,住,2,71473,378733116
201602,67000000,住,1,75428,362421958
201602,67000000,住,2,66920,343236256
201603,67000000,住,1,60667,235409362
201603,67000000,住,2,50044,212020633
201604,67000000,住,1,62650,286477757
201604,67000000,住,2,54181,272798840
201605,67000000,住,1,60312,279978554
201605,67000000,住,2,51927,262183641
201606,67000000,住,1,66201,306308850
201606,67000000,住,2,58074,291001662
201607,67000000,住,1,68873,321657222
201607,67000000,住,2,62166,307856092
201608,67000000,住,1,64747,283424512
201608,67000000,住,2,59932,288303309
201609,67000000,住,1,58366,254039465
201609,67000000,住,2,50505,246823417
201610,67000000,住,1,64976,293488714
201610,67000000,住,2,55313,281271381
201611,67000000,住,1,66983,304083556
201611,67000000,住,2,58675,303303638
201612,67000000,住,1,69966,315174787
201612,67000000,住,2,62867,315945690
201701,67000000,住,1,73652,377505393
201701,67000000,住,2,69111,388604713
201702,67000000,住,1,65288,292124281
201702,67000000,住,2,58948,278203310
201703,67000000,住,1,60592,269320636
201703,67000000,住,2,51898,246942538
201704,67000000,住,1,63759,338256886
201704,67000000,住,2,56243,321829072
201705,67000000,住,1,62604,312031843
201705,67000000,住,2,55062,301098253
201706,67000000,住,1,58385,292920430
201706,67000000,住,2,52594,281006114
201707,67000000,住,1,67520,340831316
201707,67000000,住,2,62950,337160383
201708,67000000,住,1,70094,328269002
201708,67000000,住,2,66380,331623213
201709,67000000,住,1,61548,300803110
201709,67000000,住,2,55132,287176081
201710,67000000,住,1,68579,342584124
201710,67000000,住,2,60732,326642060
201711,67000000,住,1,67518,343507680
201711,67000000,住,2,57898,317873846
201712,67000000,住,1,71753,339561282
201712,67000000,住,2,64801,331194345
201801,67000000,住,1,62793,316936295
201801,67000000,住,2,57685,316333385
201802,67000000,住,1,70604,356112178
201802,67000000,住,2,69083,360491258
201803,67000000,住,1,62814,299897336
201803,67000000,住,2,55891,286055582
201804,67000000,住,1,65510,352215642
201804,67000000,住,2,60687,357066012
201805,67000000,住,1,62910,325680297
201805,67000000,住,2,57080,338102846
201806,67000000,住,1,64095,311483845
201806,67000000,住,2,60035,321508466
201807,67000000,住,1,71858,352038391
201807,67000000,住,2,69019,344478814
201808,67000000,住,1,65953,295774428
201808,67000000,住,2,65036,308746812
201809,67000000,住,1,66972,316731298
201809,67000000,住,2,63422,301255812
201810,67000000,住,1,57709,273721895
201810,67000000,住,2,52769,268852790
201811,67000000,住,1,67056,335672676
201811,67000000,住,2,61024,330200655
201812,67000000,住,1,72944,347740618
201812,67000000,住,2,69037,349392076
201901,67000000,住,1,72327,369409324
201901,67000000,住,2,71938,386096702
201902,67000000,住,1,59383,289351695
201902,67000000,住,2,58404,289805770
201903,67000000,住,1,66938,324710741
201903,67000000,住,2,61893,302546098
201904,67000000,住,1,62775,357798258
201904,67000000,住,2,57844,356639994
201905,67000000,住,1,58606,292453568
201905,67000000,住,2,52754,285578890
201906,67000000,住,1,62182,326728518
201906,67000000,住,2,59161,323064418
201907,67000000,住,1,71454,367057358
201907,67000000,住,2,68457,373442237
201908,67000000,住,1,73461,335883098
201908,67000000,住,2,71571,339697691
201909,67000000,住,1,68309,308658333
201909,67000000,住,2,64324,297310752
201910,67000000,住,1,74694,344103816
201910,67000000,住,2,67457,326717970
201911,67000000,住,1,85516,372220393
201911,67000000,住,2,77889,359018736
201912,67000000,住,1,96931,353814482
201912,67000000,住,2,89741,366107777
202001,67000000,住,1,107505,412992604
202001,67000000,住,2,103386,439760136
202002,67000000,住,1,97261,307230465
202002,67000000,住,2,90909,294002312
202003,67000000,住,1,99208,280915496
202003,67000000,住,2,90519,257960050
202004,67000000,住,1,119717,304863138
202004,67000000,住,2,106600,292686063
202005,67000000,住,1,183637,378843651
202005,67000000,住,2,160712,373382679
202006,67000000,住,1,184619,402237686
202006,67000000,住,2,166140,413571562
