年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,其他,1,96005,502068452
201401,67000000,其他,2,150772,588511901
201402,67000000,其他,1,71474,375734510
201402,67000000,其他,2,117359,431479960
201403,67000000,其他,1,74793,402748940
201403,67000000,其他,2,123443,483614759
201404,67000000,其他,1,70600,389584419
201404,67000000,其他,2,113689,451189664
201405,67000000,其他,1,76460,410990208
201405,67000000,其他,2,122434,462984357
201406,67000000,其他,1,75632,393016513
201406,67000000,其他,2,119749,427586440
201407,67000000,其他,1,76226,409890328
201407,67000000,其他,2,123752,447026611
201408,67000000,其他,1,79089,399044536
201408,67000000,其他,2,124623,443991781
201409,67000000,其他,1,80862,422752986
201409,67000000,其他,2,124318,472366390
201410,67000000,其他,1,86007,453145955
201410,67000000,其他,2,131820,496945201
201411,67000000,其他,1,82226,451345286
201411,67000000,其他,2,126451,488397380
201412,67000000,其他,1,88251,508628476
201412,67000000,其他,2,132505,539761455
201501,67000000,其他,1,89010,497883939
201501,67000000,其他,2,132411,550600035
201502,67000000,其他,1,81000,439887804
201502,67000000,其他,2,118089,486089937
201503,67000000,其他,1,80947,441419029
201503,67000000,其他,2,124165,489622964
201504,67000000,其他,1,78442,414987541
201504,67000000,其他,2,120074,469800464
201505,67000000,其他,1,81857,429217866
201505,67000000,其他,2,122995,477644412
201506,67000000,其他,1,83169,433553355
201506,67000000,其他,2,125751,479558048
201507,67000000,其他,1,85834,446570954
201507,67000000,其他,2,128886,481799755
201508,67000000,其他,1,85491,434675510
201508,67000000,其他,2,129719,478864160
201509,67000000,其他,1,82440,404644319
201509,67000000,其他,2,128099,458706352
201510,67000000,其他,1,92351,505350266
201510,67000000,其他,2,137237,554695300
201511,67000000,其他,1,85503,464591412
201511,67000000,其他,2,128087,533834101
201512,67000000,其他,1,93245,499546920
201512,67000000,其他,2,136691,545705445
201601,67000000,其他,1,81405,460237586
201601,67000000,其他,2,107077,506879198
201602,67000000,其他,1,70356,385859530
201602,67000000,其他,2,93953,421936328
201603,67000000,其他,1,73733,399718041
201603,67000000,其他,2,99574,439034685
201604,67000000,其他,1,71725,391065102
201604,67000000,其他,2,97555,435203562
201605,67000000,其他,1,77129,403796321
201605,67000000,其他,2,111592,444716501
201606,67000000,其他,1,89406,447877474
201606,67000000,其他,2,142395,495195551
201607,67000000,其他,1,87448,433817240
201607,67000000,其他,2,135262,475329389
201608,67000000,其他,1,88490,438207790
201608,67000000,其他,2,136853,480576444
201609,67000000,其他,1,82613,421675082
201609,67000000,其他,2,124670,466572172
201610,67000000,其他,1,97027,482831711
201610,67000000,其他,2,145481,510558194
201611,67000000,其他,1,90417,465867929
201611,67000000,其他,2,140743,531960247
201612,67000000,其他,1,101917,523291348
201612,67000000,其他,2,154412,606420573
201701,67000000,其他,1,96867,478743579
201701,67000000,其他,2,145376,559346503
201702,67000000,其他,1,87200,409716995
201702,67000000,其他,2,134873,474114675
201703,67000000,其他,1,91265,437263787
201703,67000000,其他,2,138780,496655793
201704,67000000,其他,1,89741,423026696
201704,67000000,其他,2,135196,469944616
201705,67000000,其他,1,94313,454517781
