年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,1,201542,621770952
201401,63000000,衣,2,677020,2222689737
201402,63000000,衣,1,133424,419913763
201402,63000000,衣,2,478468,1493760834
201403,63000000,衣,1,145237,440729604
201403,63000000,衣,2,562206,1777903899
201404,63000000,衣,1,142648,418948155
201404,63000000,衣,2,540452,1655486767
201405,63000000,衣,1,163832,468195270
201405,63000000,衣,2,575791,1723529491
201406,63000000,衣,1,173863,458997562
201406,63000000,衣,2,609867,1734979505
201407,63000000,衣,1,174280,456694912
201407,63000000,衣,2,643399,1783343733
201408,63000000,衣,1,167560,437019651
201408,63000000,衣,2,606573,1665214053
201409,63000000,衣,1,143031,410412881
201409,63000000,衣,2,541057,1633365863
201410,63000000,衣,1,172315,521438084
201410,63000000,衣,2,610492,1915526456
201411,63000000,衣,1,173200,557251562
201411,63000000,衣,2,592163,1996433515
201412,63000000,衣,1,220146,701594775
201412,63000000,衣,2,746328,2506130677
201501,63000000,衣,1,207841,637289136
201501,63000000,衣,2,681468,2221150082
201502,63000000,衣,1,214835,665092608
201502,63000000,衣,2,645319,2002523315
201503,63000000,衣,1,173383,525453957
201503,63000000,衣,2,627718,1935610631
201504,63000000,衣,1,180814,512479761
201504,63000000,衣,2,647964,1932606031
201505,63000000,衣,1,207865,559280070
201505,63000000,衣,2,711463,2035417049
201506,63000000,衣,1,212796,533830661
201506,63000000,衣,2,731235,1956896252
201507,63000000,衣,1,206162,501519030
201507,63000000,衣,2,746702,1904108182
201508,63000000,衣,1,193237,487869024
201508,63000000,衣,2,666122,1694068742
201509,63000000,衣,1,172255,494157951
201509,63000000,衣,2,622614,1823122863
201510,63000000,衣,1,208573,600071730
201510,63000000,衣,2,698321,2072613641
201511,63000000,衣,1,196630,585590566
201511,63000000,衣,2,663070,2054084495
201512,63000000,衣,1,252816,726838051
201512,63000000,衣,2,830282,2480286198
201601,63000000,衣,1,180653,555116876
201601,63000000,衣,2,631003,1973993025
201602,63000000,衣,1,154306,483940787
201602,63000000,衣,2,477846,1498826460
201603,63000000,衣,1,122681,380983178
201603,63000000,衣,2,466276,1481018557
201604,63000000,衣,1,149856,432176538
201604,63000000,衣,2,550562,1576558122
201605,63000000,衣,1,158878,431963047
201605,63000000,衣,2,583036,1610329418
201606,63000000,衣,1,169368,443162681
201606,63000000,衣,2,623308,1655111094
201607,63000000,衣,1,167109,402360071
201607,63000000,衣,2,602305,1500954000
201608,63000000,衣,1,141916,365858794
201608,63000000,衣,2,534164,1375714438
201609,63000000,衣,1,127742,361235439
201609,63000000,衣,2,464194,1320327966
201610,63000000,衣,1,146676,427102060
201610,63000000,衣,2,505338,1482334769
201611,63000000,衣,1,152511,475295523
201611,63000000,衣,2,562773,1783715575
201612,63000000,衣,1,198835,597872556
201612,63000000,衣,2,679712,2084762793
201701,63000000,衣,1,186803,548457415
201701,63000000,衣,2,612089,1818560419
201702,63000000,衣,1,141744,412646685
201702,63000000,衣,2,485397,1394188522
201703,63000000,衣,1,133552,392148345
201703,63000000,衣,2,519962,1516141489
201704,63000000,衣,1,155839,421168352
201704,63000000,衣,2,564639,1550774290
201705,63000000,衣,1,160782,440760116
201705,63000000,衣,2,601749,1652480563
201706,63000000,衣,1,149606,382534547
201706,63000000,衣,2,572803,1501863047
201707,63000000,衣,1,168285,396853603
201707,63000000,衣,2,630001,1553234484
201708,63000000,衣,1,149879,365444372
201708,63000000,衣,2,558823,1409944398
201709,63000000,衣,1,135086,381496053
201709,63000000,衣,2,499619,1435065360
201710,63000000,衣,1,161967,442954453
201710,63000000,衣,2,565868,1564069361
201711,63000000,衣,1,153980,451638916
201711,63000000,衣,2,566303,1682918479
201712,63000000,衣,1,194703,563360957
201712,63000000,衣,2,695178,2046422482
201801,63000000,衣,1,151092,432147235
201801,63000000,衣,2,570845,1706069002
201802,63000000,衣,1,160004,465841543
201802,63000000,衣,2,533643,1540134744
201803,63000000,衣,1,132687,383742466
201803,63000000,衣,2,546608,1561723184
201804,63000000,衣,1,149507,396537352
201804,63000000,衣,2,573961,1566325327
201805,63000000,衣,1,159019,451112629
201805,63000000,衣,2,636358,1771703079
201806,63000000,衣,1,163036,398014504
201806,63000000,衣,2,627285,1640913612
201807,63000000,衣,1,159578,375463714
201807,63000000,衣,2,613000,1517263273
201808,63000000,衣,1,155357,365169809
201808,63000000,衣,2,578085,1400721430
201809,63000000,衣,1,162071,422983986
201809,63000000,衣,2,602775,1598991085
201810,63000000,衣,1,160848,412256638
201810,63000000,衣,2,601961,1573090122
201811,63000000,衣,1,177897,455235318
201811,63000000,衣,2,659220,1771281242
201812,63000000,衣,1,226377,590917213
201812,63000000,衣,2,797725,2130949806
201901,63000000,衣,1,200664,524272793
201901,63000000,衣,2,731456,1947049593
201902,63000000,衣,1,146277,389655839
201902,63000000,衣,2,477800,1215101332
201903,63000000,衣,1,167342,432187377
201903,63000000,衣,2,640732,1662092239
201904,63000000,衣,1,162226,419664294
201904,63000000,衣,2,604085,1588110795
201905,63000000,衣,1,160343,435082708
201905,63000000,衣,2,616145,1651250767
201906,63000000,衣,1,169144,404330626
201906,63000000,衣,2,620000,1527838887
201907,63000000,衣,1,189307,440164402
201907,63000000,衣,2,706078,1708081032
201908,63000000,衣,1,191394,439980978
201908,63000000,衣,2,678783,1614026994
201909,63000000,衣,1,162313,405218416
201909,63000000,衣,2,593865,1506437882
201910,63000000,衣,1,187241,479867616
201910,63000000,衣,2,682554,1797836427
201911,63000000,衣,1,217540,551020988
201911,63000000,衣,2,771600,2043352409
201912,63000000,衣,1,236163,618834221
201912,63000000,衣,2,819300,2224491441
202001,63000000,衣,1,222984,585876365
202001,63000000,衣,2,715969,1844883140
202002,63000000,衣,1,183680,458085360
202002,63000000,衣,2,647083,1575349635
202003,63000000,衣,1,190801,468977885
202003,63000000,衣,2,670938,1576785032
202004,63000000,衣,1,190999,434417100
202004,63000000,衣,2,689581,1569007742
202005,63000000,衣,1,248690,564324723
202005,63000000,衣,2,852441,1954825920
202006,63000000,衣,1,245648,537891068
202006,63000000,衣,2,865158,1906326229
202007,63000000,衣,1,255641,566857864
202007,63000000,衣,2,916164,2031582712
202008,63000000,衣,1,263539,573110781
202008,63000000,衣,2,893609,1923804629
202009,63000000,衣,1,237944,573558850
202009,63000000,衣,2,858272,2230903773
202010,63000000,衣,1,269178,647195977
202010,63000000,衣,2,952004,2277727532
202011,63000000,衣,1,286142,683445507
202011,63000000,衣,2,1010949,2419430098
202012,63000000,衣,1,326878,808883121
202012,63000000,衣,2,1141524,2751338948
202101,63000000,衣,1,321760,831763017
202101,63000000,衣,2,1129536,2841663999
202102,63000000,衣,1,249431,716450087
202102,63000000,衣,2,787153,2008334883
202103,63000000,衣,1,247473,631751505
202103,63000000,衣,2,912682,2141817031
202104,63000000,衣,1,282807,755161727
202104,63000000,衣,2,997203,2426493318
202105,63000000,衣,1,268486,633792876
202105,63000000,衣,2,963621,2059037981
202106,63000000,衣,1,253071,503675370
202106,63000000,衣,2,892081,1669630485
202107,63000000,衣,1,271021,620119914
202107,63000000,衣,2,941220,2013421183
202108,63000000,衣,1,327694,726664006
202108,63000000,衣,2,1068888,2180560936
202109,63000000,衣,1,297165,730405747
202109,63000000,衣,2,1033449,2355081507
202110,63000000,衣,1,332134,835404233
202110,63000000,衣,2,1141659,2608093109
202111,63000000,衣,1,377938,949079784
202111,63000000,衣,2,1313954,3097956094
202112,63000000,衣,1,379332,1040616833
202112,63000000,衣,2,1305855,3257124046
202201,63000000,衣,1,366301,1039014253
202201,63000000,衣,2,1175028,3008150549
202202,63000000,衣,1,290168,862879953
202202,63000000,衣,2,927909,2286514389
202203,63000000,衣,1,320529,842393408
202203,63000000,衣,2,1187132,2841179843
202204,63000000,衣,1,321395,887034218
202204,63000000,衣,2,1121536,2742219947
202205,63000000,衣,1,304046,767400732
202205,63000000,衣,2,1058130,2424406954
202206,63000000,衣,1,355711,840127279
202206,63000000,衣,2,1240544,2710700669
202207,63000000,衣,1,355691,866679667
202207,63000000,衣,2,1263061,2870338833
202208,63000000,衣,1,365477,881832750
202208,63000000,衣,2,1260642,2787257345
202209,63000000,衣,1,336824,805185278
202209,63000000,衣,2,1205366,2775860588
202210,63000000,衣,1,390959,988446036
202210,63000000,衣,2,1383375,3254845063
202211,63000000,衣,1,404080,1042346973
202211,63000000,衣,2,1375639,3336171660
202212,63000000,衣,1,491075,1287344090
202212,63000000,衣,2,1722856,4153367495
202301,63000000,衣,1,405826,1173163166
202301,63000000,衣,2,1239668,3061888363
202302,63000000,衣,1,339893,897449377
202302,63000000,衣,2,1137459,2705531999
202303,63000000,衣,1,347364,863634783
202303,63000000,衣,2,1270275,3021344497
202304,63000000,衣,1,387149,989514126
202304,63000000,衣,2,1329673,3208725157
202305,63000000,衣,1,391269,968882007
202305,63000000,衣,2,1371840,3248841361
202306,63000000,衣,1,415412,943827142
202306,63000000,衣,2,1402914,3127489480
202307,63000000,衣,1,425600,965605697
202307,63000000,衣,2,1420298,3149735902
202308,63000000,衣,1,411235,929883116
202308,63000000,衣,2,1351349,2966289100
