年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,1,403448,2073457249
201401,63000000,住,2,391987,2025222299
201402,63000000,住,1,312920,1430612154
201402,63000000,住,2,295271,1297451389
201403,63000000,住,1,325656,1591949891
201403,63000000,住,2,308335,1458718779
201404,63000000,住,1,304998,1513039892
201404,63000000,住,2,282532,1387214254
201405,63000000,住,1,340344,1635989362
201405,63000000,住,2,322999,1545549288
201406,63000000,住,1,342637,1636076469
201406,63000000,住,2,331996,1546371432
201407,63000000,住,1,370701,1709885026
201407,63000000,住,2,362727,1634179427
201408,63000000,住,1,377622,1722240037
201408,63000000,住,2,377107,1681788728
201409,63000000,住,1,338025,1647059560
201409,63000000,住,2,332562,1549239096
201410,63000000,住,1,358799,1721519430
201410,63000000,住,2,350328,1615386596
201411,63000000,住,1,388058,1958867132
201411,63000000,住,2,382870,1955318394
201412,63000000,住,1,424857,2063072117
201412,63000000,住,2,387059,1883343544
201501,63000000,住,1,435184,2001696767
201501,63000000,住,2,403372,1893453875
201502,63000000,住,1,424790,1865564733
201502,63000000,住,2,393815,1750424731
201503,63000000,住,1,385980,1697683713
201503,63000000,住,2,361499,1593141089
201504,63000000,住,1,367784,1613321974
201504,63000000,住,2,336370,1495710422
201505,63000000,住,1,379508,1765668264
201505,63000000,住,2,363646,1656094461
201506,63000000,住,1,361602,1663919986
201506,63000000,住,2,352910,1586602752
201507,63000000,住,1,391107,1793299784
201507,63000000,住,2,390141,1687630783
201508,63000000,住,1,395666,1703468287
201508,63000000,住,2,390936,1624115030
201509,63000000,住,1,336310,1532446098
201509,63000000,住,2,327252,1464303637
201510,63000000,住,1,365741,1814009382
201510,63000000,住,2,347470,1657082863
201511,63000000,住,1,395211,2065687253
201511,63000000,住,2,385346,2036694784
201512,63000000,住,1,398433,2044438337
201512,63000000,住,2,384488,1909865481
201601,63000000,住,1,335980,1876178137
201601,63000000,住,2,327838,1796824458
201602,63000000,住,1,314207,1517647374
201602,63000000,住,2,296832,1362617145
201603,63000000,住,1,265623,1347819064
201603,63000000,住,2,257988,1218268764
201604,63000000,住,1,270848,1328581319
201604,63000000,住,2,262244,1216471127
201605,63000000,住,1,265513,1357044371
201605,63000000,住,2,270666,1312777864
201606,63000000,住,1,287166,1445206735
201606,63000000,住,2,287311,1386690579
201607,63000000,住,1,285380,1446370047
201607,63000000,住,2,288268,1357523539
201608,63000000,住,1,269138,1358821197
201608,63000000,住,2,275790,1313633087
201609,63000000,住,1,269159,1338296978
201609,63000000,住,2,260867,1233649342
201610,63000000,住,1,300472,1525571630
201610,63000000,住,2,288612,1421339717
201611,63000000,住,1,352115,1807228100
201611,63000000,住,2,336705,1719263192
201612,63000000,住,1,348772,1835166956
201612,63000000,住,2,345287,1707217302
201701,63000000,住,1,338532,1795921314
201701,63000000,住,2,338472,1734285561
201702,63000000,住,1,296611,1365214920
201702,63000000,住,2,291884,1220530525
201703,63000000,住,1,293153,1465880179
201703,63000000,住,2,287090,1290819378
201704,63000000,住,1,316717,1529550328
201704,63000000,住,2,297311,1370867566
201705,63000000,住,1,296717,1525239263
201705,63000000,住,2,295447,1364417865
201706,63000000,住,1,287357,1483475884
201706,63000000,住,2,282529,1363759711
201707,63000000,住,1,334416,1626872130
201707,63000000,住,2,337472,1530854880
201708,63000000,住,1,327507,1574564480
201708,63000000,住,2,337695,1452675200
201709,63000000,住,1,302447,1479960700
201709,63000000,住,2,305148,1385316571
201710,63000000,住,1,341163,1813766093
201710,63000000,住,2,350977,1781221526
201711,63000000,住,1,368102,1830784954
201711,63000000,住,2,342514,1630624982
201712,63000000,住,1,387021,1961134699
201712,63000000,住,2,377714,1816507491
201801,63000000,住,1,326634,1648094450
201801,63000000,住,2,326021,1595377448
201802,63000000,住,1,343278,1619103407
201802,63000000,住,2,334384,1537231586
201803,63000000,住,1,313418,1548023058
201803,63000000,住,2,316860,1445505357
201804,63000000,住,1,337750,1590369535
201804,63000000,住,2,315418,1469517922
201805,63000000,住,1,324174,1644580600
201805,63000000,住,2,318387,1531266497
201806,63000000,住,1,330423,1578212612
201806,63000000,住,2,322014,1489879222
201807,63000000,住,1,407879,1777054614
201807,63000000,住,2,384441,1598410793
201808,63000000,住,1,392675,1625753021
201808,63000000,住,2,421940,1615459022
201809,63000000,住,1,425211,1812937143
201809,63000000,住,2,461115,1684297960
201810,63000000,住,1,377096,1563273972
201810,63000000,住,2,409688,1461895325
201811,63000000,住,1,528528,2240095359
201811,63000000,住,2,563787,2207524731
201812,63000000,住,1,542449,2208958696
201812,63000000,住,2,593219,2108916806
201901,63000000,住,1,497510,2018080042
201901,63000000,住,2,545455,2039547788
201902,63000000,住,1,361491,1368590474
201902,63000000,住,2,393933,1294832503
201903,63000000,住,1,415160,1731118933
201903,63000000,住,2,477189,1653861384
201904,63000000,住,1,428980,1782817040
201904,63000000,住,2,441830,1605276458
201905,63000000,住,1,389170,1691226476
201905,63000000,住,2,424115,1622646606
201906,63000000,住,1,349246,1571905473
201906,63000000,住,2,393463,1481718205
201907,63000000,住,1,475008,2006379836
201907,63000000,住,2,524424,1926927925
201908,63000000,住,1,478471,1941599560
201908,63000000,住,2,541866,1789700099
201909,63000000,住,1,424450,1646296125
201909,63000000,住,2,484321,1630913687
201910,63000000,住,1,447726,1793109380
201910,63000000,住,2,508531,1717662507
201911,63000000,住,1,566056,2388629802
201911,63000000,住,2,628237,2393061764
201912,63000000,住,1,542751,2087695176
201912,63000000,住,2,607484,2023356530
202001,63000000,住,1,534085,2054678083
202001,63000000,住,2,587292,2029774950
202002,63000000,住,1,507568,1553692329
202002,63000000,住,2,588114,1475233428
202003,63000000,住,1,519783,1477367645
202003,63000000,住,2,633855,1466578453
202004,63000000,住,1,629337,1619137253
202004,63000000,住,2,694570,1609257753
202005,63000000,住,1,578886,1732579785
202005,63000000,住,2,696388,1776887606
202006,63000000,住,1,568712,1729138257
202006,63000000,住,2,690260,1801297556
202007,63000000,住,1,604847,2017989758
202007,63000000,住,2,741962,2113633489
202008,63000000,住,1,651670,2029579816
202008,63000000,住,2,801122,2123492933
202009,63000000,住,1,616314,2061060369
202009,63000000,住,2,755947,2249129289
202010,63000000,住,1,663632,2230654582
202010,63000000,住,2,796727,2300597719
202011,63000000,住,1,787988,2630512202
202011,63000000,住,2,947206,2649255513
202012,63000000,住,1,782310,2489082932
202012,63000000,住,2,952340,2569800440
202101,63000000,住,1,783585,2661397232
202101,63000000,住,2,918285,2632236365
202102,63000000,住,1,629381,2043299217
202102,63000000,住,2,724148,1959750289
202103,63000000,住,1,661904,2094213499
202103,63000000,住,2,806341,1999227564
202104,63000000,住,1,748610,2529729044
202104,63000000,住,2,880762,2358018572
202105,63000000,住,1,821586,2436752110
202105,63000000,住,2,1075806,2388391876
202106,63000000,住,1,949763,2386042629
202106,63000000,住,2,1300298,2379895891
202107,63000000,住,1,946031,2591490376
202107,63000000,住,2,1255495,2564254715
202108,63000000,住,1,988620,2824038003
202108,63000000,住,2,1285804,2756059386
202109,63000000,住,1,899005,2767941910
202109,63000000,住,2,1151732,2650159416
202110,63000000,住,1,882090,2924937389
202110,63000000,住,2,1100532,2917231641
202111,63000000,住,1,1002502,3418764323
202111,63000000,住,2,1261522,3399565199
202112,63000000,住,1,966771,3181394636
202112,63000000,住,2,1180306,3094972111
202201,63000000,住,1,865123,2937307145
202201,63000000,住,2,1067159,2850814254
202202,63000000,住,1,806051,2502313652
202202,63000000,住,2,978558,2340271445
202203,63000000,住,1,906736,2657438564
202203,63000000,住,2,1111375,2541342194
202204,63000000,住,1,901345,2699829487
202204,63000000,住,2,1085399,2633126226
202205,63000000,住,1,881796,2453373777
202205,63000000,住,2,1122653,2392011181
202206,63000000,住,1,912911,2539980724
202206,63000000,住,2,1160182,2490068776
202207,63000000,住,1,857428,2633260457
202207,63000000,住,2,1065851,2674088636
202208,63000000,住,1,955056,2760662403
202208,63000000,住,2,1230499,2798878060
202209,63000000,住,1,933563,2795753774
202209,63000000,住,2,1188913,2804945931
202210,63000000,住,1,975958,2664485136
202210,63000000,住,2,1234879,2715392556
202211,63000000,住,1,1105217,3209979638
202211,63000000,住,2,1384860,3218547306
202212,63000000,住,1,1111521,3128206981
202212,63000000,住,2,1423724,3162419612
202301,63000000,住,1,966227,2849151873
202301,63000000,住,2,1146890,2846954719
202302,63000000,住,1,949218,2544760122
202302,63000000,住,2,1179156,2502045655
