年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,1,5360498,16467220488
201401,63000000,其他,2,7166885,22404198301
201402,63000000,其他,1,4934111,13980511547
201402,63000000,其他,2,6543651,19414958005
201403,63000000,其他,1,5668814,16002068219
201403,63000000,其他,2,7558754,23191177757
201404,63000000,其他,1,5453321,16327362983
201404,63000000,其他,2,7199411,22248409587
201405,63000000,其他,1,5864903,36994380575
201405,63000000,其他,2,7690936,35714855041
201406,63000000,其他,1,5558769,19985437146
201406,63000000,其他,2,7422693,25593552958
201407,63000000,其他,1,5403496,15749774395
201407,63000000,其他,2,7289595,22352430017
201408,63000000,其他,1,5590006,16331700217
201408,63000000,其他,2,7479280,22872519270
201409,63000000,其他,1,5835563,18172768767
201409,63000000,其他,2,7770211,26052180337
201410,63000000,其他,1,5688971,18280305497
201410,63000000,其他,2,7626411,23964543654
201411,63000000,其他,1,5560148,17063726105
201411,63000000,其他,2,7429948,22346895389
201412,63000000,其他,1,6392696,21686506920
201412,63000000,其他,2,8723728,31602245784
201501,63000000,其他,1,5899681,17669655737
201501,63000000,其他,2,7949305,24472881568
201502,63000000,其他,1,5036649,14542145039
201502,63000000,其他,2,6632862,19627170079
201503,63000000,其他,1,6529197,18905697493
201503,63000000,其他,2,8769763,28097569861
201504,63000000,其他,1,6034503,20517442260
201504,63000000,其他,2,8046954,29049497423
201505,63000000,其他,1,6457438,49297767094
201505,63000000,其他,2,8473978,46949663448
201506,63000000,其他,1,6148654,21941412431
201506,63000000,其他,2,8276483,29663009085
201507,63000000,其他,1,6365149,18573130660
201507,63000000,其他,2,8495248,26229543609
201508,63000000,其他,1,6373158,19238959555
201508,63000000,其他,2,8589700,27615586800
201509,63000000,其他,1,6368169,22064379686
201509,63000000,其他,2,8558805,31862904623
201510,63000000,其他,1,6553535,21267069902
201510,63000000,其他,2,8665378,28515618077
201511,63000000,其他,1,6698262,20859068175
201511,63000000,其他,2,8937810,29435593913
201512,63000000,其他,1,6947235,22833344558
201512,63000000,其他,2,9347839,33466854482
201601,63000000,其他,1,6457861,19865959983
201601,63000000,其他,2,8840705,29296877541
201602,63000000,其他,1,5627620,16398971076
201602,63000000,其他,2,7383753,23082120105
201603,63000000,其他,1,7263345,21969247763
201603,63000000,其他,2,9698342,33817565031
201604,63000000,其他,1,6558462,22035228659
201604,63000000,其他,2,8686317,33220900006
201605,63000000,其他,1,6584551,58994438862
201605,63000000,其他,2,8833155,52586352016
201606,63000000,其他,1,6592081,20605407977
201606,63000000,其他,2,8700119,30023924929
201607,63000000,其他,1,7205336,20825839016
201607,63000000,其他,2,9078043,30037262885
201608,63000000,其他,1,7020253,24430580921
201608,63000000,其他,2,9079806,35859127797
201609,63000000,其他,1,6337757,20949403052
201609,63000000,其他,2,8157179,28835501149
201610,63000000,其他,1,6638441,19706469977
201610,63000000,其他,2,8546024,27412013601
201611,63000000,其他,1,7423470,22739596590
201611,63000000,其他,2,9430378,29843378391
201612,63000000,其他,1,7337637,24844266017
201612,63000000,其他,2,9307944,34077950676
201701,63000000,其他,1,6279502,19911064950
201701,63000000,其他,2,8101348,28767540002
201702,63000000,其他,1,5736612,16273710126
201702,63000000,其他,2,7419129,22272156014
201703,63000000,其他,1,7701161,21922284688
201703,63000000,其他,2,9779331,30950749114
201704,63000000,其他,1,7141135,20193220925
201704,63000000,其他,2,8813960,26533715312
201705,63000000,其他,1,7647371,63243299637
201705,63000000,其他,2,9438840,55279370291
201706,63000000,其他,1,6425448,23392765950
201706,63000000,其他,2,8271685,30917574743
201707,63000000,其他,1,6631310,20053559546
201707,63000000,其他,2,8424364,27733994599
201708,63000000,其他,1,6801980,21293949265
201708,63000000,其他,2,8718611,29737644255
201709,63000000,其他,1,6618180,21730359230
201709,63000000,其他,2,8414513,29430848636
201710,63000000,其他,1,6762726,19537915610
201710,63000000,其他,2,8523530,26348458475
201711,63000000,其他,1,7240463,24726552835
201711,63000000,其他,2,9154871,31389519532
201712,63000000,其他,1,7085072,24301216913
201712,63000000,其他,2,8908279,33627210401
201801,63000000,其他,1,6977786,21514808865
201801,63000000,其他,2,8715045,30077817910
201802,63000000,其他,1,5793156,17706330026
201802,63000000,其他,2,7315893,23730544508
201803,63000000,其他,1,7453378,23524069581
201803,63000000,其他,2,9361496,33439119039
201804,63000000,其他,1,7563218,23359623416
201804,63000000,其他,2,9063036,31728484201
201805,63000000,其他,1,10562109,174141936577
201805,63000000,其他,2,12443792,129786460814
201806,63000000,其他,1,8092060,26071937488
201806,63000000,其他,2,9985082,37318372422
201807,63000000,其他,1,8639583,26164124760
201807,63000000,其他,2,10545094,38253748540
201808,63000000,其他,1,8091155,25232055890
201808,63000000,其他,2,9756545,37803436373
201809,63000000,其他,1,7822450,24290065811
201809,63000000,其他,2,9242600,34064363794
201810,63000000,其他,1,8280145,25263654246
201810,63000000,其他,2,9991793,37869581863
201811,63000000,其他,1,8806912,28515303727
201811,63000000,其他,2,10730169,39879059892
201812,63000000,其他,1,8915639,31860917415
201812,63000000,其他,2,10856225,48574194807
201901,63000000,其他,1,9011305,30304445250
201901,63000000,其他,2,10882197,45346783031
201902,63000000,其他,1,7275965,21648378382
201902,63000000,其他,2,8440660,30851642595
201903,63000000,其他,1,8936511,28370618296
201903,63000000,其他,2,10728355,43544500935
201904,63000000,其他,1,8720644,29944886378
201904,63000000,其他,2,10423477,44118891676
201905,63000000,其他,1,9146114,61681718157
201905,63000000,其他,2,10879259,62478000684
201906,63000000,其他,1,8355505,24481257280
201906,63000000,其他,2,9963181,35956403452
201907,63000000,其他,1,10007792,31514728180
201907,63000000,其他,2,12011152,46784868130
201908,63000000,其他,1,9360223,27431400742
201908,63000000,其他,2,11043790,40371959535
201909,63000000,其他,1,8676307,26461147448
201909,63000000,其他,2,10249735,38018201731
201910,63000000,其他,1,9640110,28789533536
201910,63000000,其他,2,11516745,41169754575
201911,63000000,其他,1,9571333,29632357552
201911,63000000,其他,2,11512474,41915633288
201912,63000000,其他,1,10081654,34066706346
201912,63000000,其他,2,12291340,51648736195
202001,63000000,其他,1,9188500,26243755971
