年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,百貨,1,885,1543133
201401,10014000,百貨,2,3105,3973080
201402,10014000,百貨,1,807,1593410
201402,10014000,百貨,2,2297,3000230
201403,10014000,百貨,1,1476,2244884
201403,10014000,百貨,2,5001,5437118
201404,10014000,百貨,1,1744,3180913
201404,10014000,百貨,2,4971,6356968
201405,10014000,百貨,1,2410,4252513
201405,10014000,百貨,2,5830,7946790
201406,10014000,百貨,1,2358,4630793
201406,10014000,百貨,2,6095,8261440
201407,10014000,百貨,1,2890,5904856
201407,10014000,百貨,2,6914,10143701
201408,10014000,百貨,1,2793,5341554
201408,10014000,百貨,2,6910,9413820
201409,10014000,百貨,1,2206,3946525
201409,10014000,百貨,2,5896,7822029
201410,10014000,百貨,1,1921,3430821
201410,10014000,百貨,2,5621,6637351
201411,10014000,百貨,1,1336,1973623
201411,10014000,百貨,2,4556,4224646
201412,10014000,百貨,1,1350,1506915
201412,10014000,百貨,2,5585,4828780
201501,10014000,百貨,1,1384,1790775
201501,10014000,百貨,2,4869,4630264
201502,10014000,百貨,1,1484,2707465
201502,10014000,百貨,2,4716,5812628
201503,10014000,百貨,1,1420,2285347
201503,10014000,百貨,2,4546,4844190
201504,10014000,百貨,1,2315,4231308
201504,10014000,百貨,2,5940,8026469
201505,10014000,百貨,1,2742,5040207
201505,10014000,百貨,2,6727,8634281
201506,10014000,百貨,1,2818,5682421
201506,10014000,百貨,2,7005,9722617
201507,10014000,百貨,1,2789,4955940
201507,10014000,百貨,2,7341,9647452
201508,10014000,百貨,1,2302,3851659
201508,10014000,百貨,2,6388,8195166
201509,10014000,百貨,1,2253,4001469
201509,10014000,百貨,2,6121,7890391
201510,10014000,百貨,1,1947,3554168
201510,10014000,百貨,2,5776,6496674
201511,10014000,百貨,1,1367,1776137
201511,10014000,百貨,2,4828,4583463
201512,10014000,百貨,1,1298,1560299
201512,10014000,百貨,2,5395,5047592
201601,10014000,百貨,1,1428,2242673
201601,10014000,百貨,2,5252,6068957
201602,10014000,百貨,1,1628,2841293
201602,10014000,百貨,2,5286,6082577
201603,10014000,百貨,1,1348,2021258
201603,10014000,百貨,2,4662,4849192
201604,10014000,百貨,1,2140,3994610
201604,10014000,百貨,2,6011,7518916
201605,10014000,百貨,1,2607,4643694
201605,10014000,百貨,2,6552,8361246
201606,10014000,百貨,1,2934,5509112
201606,10014000,百貨,2,7157,9313332
201607,10014000,百貨,1,2505,4747463
201607,10014000,百貨,2,6669,8761874
201608,10014000,百貨,1,2361,4237924
201608,10014000,百貨,2,6266,7621336
201609,10014000,百貨,1,1468,2473312
201609,10014000,百貨,2,4949,6088370
201610,10014000,百貨,1,1699,2596061
201610,10014000,百貨,2,5361,5916777
