年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,文教康樂,1,8781,21153611
201401,10014000,文教康樂,2,14448,34323740
201402,10014000,文教康樂,1,8954,19789647
201402,10014000,文教康樂,2,14759,29363563
201403,10014000,文教康樂,1,8441,21094633
201403,10014000,文教康樂,2,13812,32234548
201404,10014000,文教康樂,1,8294,21410108
201404,10014000,文教康樂,2,13326,33252041
201405,10014000,文教康樂,1,9208,22665867
201405,10014000,文教康樂,2,14255,34721005
201406,10014000,文教康樂,1,9477,20672462
201406,10014000,文教康樂,2,15012,30185702
201407,10014000,文教康樂,1,11401,26298363
201407,10014000,文教康樂,2,17549,36183426
201408,10014000,文教康樂,1,12332,24722597
201408,10014000,文教康樂,2,18928,36556127
201409,10014000,文教康樂,1,9133,22533250
201409,10014000,文教康樂,2,14617,30835424
201410,10014000,文教康樂,1,9323,18266251
201410,10014000,文教康樂,2,15217,29996991
201411,10014000,文教康樂,1,9139,20991582
201411,10014000,文教康樂,2,14285,30971553
201412,10014000,文教康樂,1,9047,23434792
201412,10014000,文教康樂,2,14450,35726137
201501,10014000,文教康樂,1,9954,22688954
201501,10014000,文教康樂,2,15397,31467107
201502,10014000,文教康樂,1,12090,24273470
201502,10014000,文教康樂,2,18780,36683314
201503,10014000,文教康樂,1,8867,20795558
201503,10014000,文教康樂,2,13937,27933633
201504,10014000,文教康樂,1,10093,22067537
201504,10014000,文教康樂,2,15898,32401827
201505,10014000,文教康樂,1,10000,23588721
201505,10014000,文教康樂,2,15803,33050122
201506,10014000,文教康樂,1,11168,21865583
201506,10014000,文教康樂,2,17801,31805966
201507,10014000,文教康樂,1,12608,26594145
201507,10014000,文教康樂,2,19468,36910119
201508,10014000,文教康樂,1,13244,24919372
201508,10014000,文教康樂,2,20622,33603207
201509,10014000,文教康樂,1,10390,21562121
201509,10014000,文教康樂,2,16705,31967889
201510,10014000,文教康樂,1,10736,23286752
201510,10014000,文教康樂,2,16956,32498046
201511,10014000,文教康樂,1,9341,22514437
201511,10014000,文教康樂,2,15171,31707990
201512,10014000,文教康樂,1,9898,22475021
201512,10014000,文教康樂,2,16612,35373006
201601,10014000,文教康樂,1,9232,18874099
201601,10014000,文教康樂,2,14729,30697731
201602,10014000,文教康樂,1,9551,20002794
201602,10014000,文教康樂,2,15793,30848568
201603,10014000,文教康樂,1,7615,16918944
201603,10014000,文教康樂,2,12249,25137479
201604,10014000,文教康樂,1,7931,20651842
201604,10014000,文教康樂,2,13012,30586794
201605,10014000,文教康樂,1,7384,18909490
201605,10014000,文教康樂,2,12244,29156204
201606,10014000,文教康樂,1,8242,17003094
201606,10014000,文教康樂,2,13458,26048373
201607,10014000,文教康樂,1,8710,19132112
201607,10014000,文教康樂,2,14191,28829621
201608,10014000,文教康樂,1,8346,16686055
201608,10014000,文教康樂,2,13857,28473661
201609,10014000,文教康樂,1,6589,13554377
201609,10014000,文教康樂,2,11565,23431746
201610,10014000,文教康樂,1,6551,14699572
201610,10014000,文教康樂,2,11337,22463565
201611,10014000,文教康樂,1,7268,15628849
201611,10014000,文教康樂,2,12227,25999377
201612,10014000,文教康樂,1,7546,19213997
201612,10014000,文教康樂,2,13387,35987518
201701,10014000,文教康樂,1,7561,17689276
201701,10014000,文教康樂,2,13621,32434646
201702,10014000,文教康樂,1,7562,15021660
201702,10014000,文教康樂,2,13443,26432306
201703,10014000,文教康樂,1,7052,16468175
201703,10014000,文教康樂,2,12326,26225156
201704,10014000,文教康樂,1,8117,19131885
201704,10014000,文教康樂,2,14081,30421732
201705,10014000,文教康樂,1,7160,17326073
201705,10014000,文教康樂,2,12611,28297542
201706,10014000,文教康樂,1,6438,17082155
