年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,住,1,10014,76116999
201401,10014000,住,2,9845,84815577
201402,10014000,住,1,8940,67421476
201402,10014000,住,2,9243,79052712
201403,10014000,住,1,8250,79079776
201403,10014000,住,2,7784,82160561
201404,10014000,住,1,8376,79904628
201404,10014000,住,2,8056,89201454
201405,10014000,住,1,9679,79639888
201405,10014000,住,2,9626,96319606
201406,10014000,住,1,9878,78518154
201406,10014000,住,2,9750,83214926
201407,10014000,住,1,13773,105887757
201407,10014000,住,2,13729,113237827
201408,10014000,住,1,13277,97911666
201408,10014000,住,2,13992,103914895
201409,10014000,住,1,9065,68706609
201409,10014000,住,2,8737,72683750
201410,10014000,住,1,9417,78020016
201410,10014000,住,2,9283,81626308
201411,10014000,住,1,9765,87543266
201411,10014000,住,2,10176,100535795
201412,10014000,住,1,9690,88871149
201412,10014000,住,2,9462,94714237
201501,10014000,住,1,11028,87355985
201501,10014000,住,2,10751,87864213
201502,10014000,住,1,12506,92918695
201502,10014000,住,2,13411,105949455
201503,10014000,住,1,9125,70802919
201503,10014000,住,2,8164,65441170
201504,10014000,住,1,10049,87983518
201504,10014000,住,2,9704,88671779
201505,10014000,住,1,10398,93033834
201505,10014000,住,2,10628,100479088
201506,10014000,住,1,10373,82425239
201506,10014000,住,2,10115,88812340
201507,10014000,住,1,14881,112381305
201507,10014000,住,2,14559,119171842
201508,10014000,住,1,12899,87593586
201508,10014000,住,2,12585,93503721
201509,10014000,住,1,9990,73122027
201509,10014000,住,2,9505,74797405
201510,10014000,住,1,10850,84528018
201510,10014000,住,2,10224,93574846
201511,10014000,住,1,11709,97590075
201511,10014000,住,2,12325,107220907
201512,10014000,住,1,11058,91916049
201512,10014000,住,2,11199,99313768
201601,10014000,住,1,12359,93130648
201601,10014000,住,2,12281,95244225
201602,10014000,住,1,12376,95951555
201602,10014000,住,2,13853,111362505
201603,10014000,住,1,9149,71000189
201603,10014000,住,2,8582,74735064
201604,10014000,住,1,10351,84958378
201604,10014000,住,2,10292,83685583
201605,10014000,住,1,10296,80634498
201605,10014000,住,2,10536,87995492
201606,10014000,住,1,11750,81201548
201606,10014000,住,2,11128,85333876
201607,10014000,住,1,13838,93544285
201607,10014000,住,2,13447,96998338
201608,10014000,住,1,13067,79030099
201608,10014000,住,2,13361,88252508
201609,10014000,住,1,7777,45860433
201609,10014000,住,2,7355,50389500
201610,10014000,住,1,8313,57918857
201610,10014000,住,2,7732,57131764
201611,10014000,住,1,11431,75367010
201611,10014000,住,2,11138,79384270
201612,10014000,住,1,11564,74668358
201612,10014000,住,2,10975,74785467
201701,10014000,住,1,11700,81125760
201701,10014000,住,2,12598,91380845
201702,10014000,住,1,12510,72891388
201702,10014000,住,2,13065,79666684
201703,10014000,住,1,9969,64560415
201703,10014000,住,2,8937,66239494
201704,10014000,住,1,12135,82575895
201704,10014000,住,2,11597,87528086
201705,10014000,住,1,12412,89478540
201705,10014000,住,2,12732,98434501
201706,10014000,住,1,10375,74669889
201706,10014000,住,2,9857,72658533
201707,10014000,住,1,16397,97650002
201707,10014000,住,2,16343,103888067
201708,10014000,住,1,16930,104728827
201708,10014000,住,2,16846,107080856
201709,10014000,住,1,11618,67108851
201709,10014000,住,2,10187,68800386
201710,10014000,住,1,13636,84961158
201710,10014000,住,2,12718,85672897
201711,10014000,住,1,12125,91530267
201711,10014000,住,2,11062,80120264
201712,10014000,住,1,13111,89998174
201712,10014000,住,2,12025,84457263
201801,10014000,住,1,10712,69398753
201801,10014000,住,2,9993,67909567
201802,10014000,住,1,12577,81780830
201802,10014000,住,2,13256,89054492
201803,10014000,住,1,10276,70107352
201803,10014000,住,2,9235,67640976
201804,10014000,住,1,14448,106073232
201804,10014000,住,2,14227,113036223
201805,10014000,住,1,10814,85531792
201805,10014000,住,2,10169,76871961
201806,10014000,住,1,11734,73665118
201806,10014000,住,2,11784,74048709
201807,10014000,住,1,20139,111909451
201807,10014000,住,2,19756,116613767
201808,10014000,住,1,18056,94739113
201808,10014000,住,2,18386,107264122
201809,10014000,住,1,10403,60620603
201809,10014000,住,2,9981,61503117
201810,10014000,住,1,9893,59086393
201810,10014000,住,2,9507,62919304
201811,10014000,住,1,12408,82999149
201811,10014000,住,2,12138,83944314
201812,10014000,住,1,15235,85998978
201812,10014000,住,2,15876,95139346
201901,10014000,住,1,13689,76639183
201901,10014000,住,2,14420,84555983
201902,10014000,住,1,11550,71161687
201902,10014000,住,2,12642,86860900
201903,10014000,住,1,11212,72023574
201903,10014000,住,2,10950,74846117
201904,10014000,住,1,12183,87599363
201904,10014000,住,2,11733,84040888
201905,10014000,住,1,10111,71791058
201905,10014000,住,2,9757,79196713
201906,10014000,住,1,11949,73450167
201906,10014000,住,2,12517,80769245
201907,10014000,住,1,20077,116644808
201907,10014000,住,2,20880,120896223
201908,10014000,住,1,17444,97340584
201908,10014000,住,2,18545,102832854
201909,10014000,住,1,11288,55898023
201909,10014000,住,2,11214,57921900
201910,10014000,住,1,14015,72825744
201910,10014000,住,2,13977,77689470
201911,10014000,住,1,13696,72913925
