年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,其他,1,4350,24014594
201401,10014000,其他,2,7002,28549501
201402,10014000,其他,1,3357,16827730
201402,10014000,其他,2,5623,20544852
201403,10014000,其他,1,3693,19377171
201403,10014000,其他,2,5907,21386166
201404,10014000,其他,1,3658,19170215
201404,10014000,其他,2,5598,22870737
201405,10014000,其他,1,3951,20958639
201405,10014000,其他,2,6468,26773272
201406,10014000,其他,1,3711,18514022
201406,10014000,其他,2,5960,21668759
201407,10014000,其他,1,3952,21205564
201407,10014000,其他,2,6605,25225205
201408,10014000,其他,1,4044,19267268
201408,10014000,其他,2,6773,23354191
201409,10014000,其他,1,3822,18701379
201409,10014000,其他,2,6050,22144650
201410,10014000,其他,1,4077,23092140
201410,10014000,其他,2,6665,25525225
201411,10014000,其他,1,3622,20681750
201411,10014000,其他,2,6007,22096047
201412,10014000,其他,1,4071,22435292
201412,10014000,其他,2,6432,26614830
201501,10014000,其他,1,4255,24682404
201501,10014000,其他,2,6505,26534090
201502,10014000,其他,1,4108,24112939
201502,10014000,其他,2,6346,26894144
201503,10014000,其他,1,3687,20664321
201503,10014000,其他,2,5768,23721908
201504,10014000,其他,1,3716,22759708
201504,10014000,其他,2,5951,25071544
201505,10014000,其他,1,3908,24568924
201505,10014000,其他,2,6433,27286413
201506,10014000,其他,1,3998,21457621
201506,10014000,其他,2,6556,27481175
201507,10014000,其他,1,4212,23167510
201507,10014000,其他,2,6876,25542242
201508,10014000,其他,1,4317,24895325
201508,10014000,其他,2,7790,41515327
201509,10014000,其他,1,3831,19193003
201509,10014000,其他,2,6190,24830670
201510,10014000,其他,1,4228,34309446
201510,10014000,其他,2,6483,31688825
201511,10014000,其他,1,3934,23091399
201511,10014000,其他,2,6608,28741186
201512,10014000,其他,1,4146,25547829
201512,10014000,其他,2,6506,28754972
201601,10014000,其他,1,3836,24698884
201601,10014000,其他,2,5144,27896989
201602,10014000,其他,1,3299,21213547
201602,10014000,其他,2,4866,24535965
201603,10014000,其他,1,3437,21325777
201603,10014000,其他,2,4728,23144770
201604,10014000,其他,1,3205,19713197
201604,10014000,其他,2,4658,24094382
201605,10014000,其他,1,3432,21053592
201605,10014000,其他,2,5455,24410998
201606,10014000,其他,1,4018,22117529
201606,10014000,其他,2,6748,26632055
201607,10014000,其他,1,3802,21237726
201607,10014000,其他,2,6565,25532608
201608,10014000,其他,1,4011,22146494
201608,10014000,其他,2,6879,26808945
201609,10014000,其他,1,3388,20196884
201609,10014000,其他,2,6104,25445718
201610,10014000,其他,1,4200,24011886
201610,10014000,其他,2,7304,29058473
201611,10014000,其他,1,4129,21409175
201611,10014000,其他,2,7629,28334520
201612,10014000,其他,1,4155,23683263
201612,10014000,其他,2,7593,28929047
201701,10014000,其他,1,3811,22767689
201701,10014000,其他,2,6576,28131498
201702,10014000,其他,1,3145,17372171
201702,10014000,其他,2,5755,23161735
201703,10014000,其他,1,3443,19710613
201703,10014000,其他,2,5601,22735186
201704,10014000,其他,1,3572,18719440
201704,10014000,其他,2,5862,22733192
201705,10014000,其他,1,3752,19708369
201705,10014000,其他,2,6293,25135230
201706,10014000,其他,1,3602,18642984
201706,10014000,其他,2,6048,20779990
201707,10014000,其他,1,3889,18596317
201707,10014000,其他,2,6605,24520802
201708,10014000,其他,1,4005,19455944
201708,10014000,其他,2,6509,24564696
201709,10014000,其他,1,3646,19911682
201709,10014000,其他,2,6466,24943500
201710,10014000,其他,1,3992,20725125
201710,10014000,其他,2,6872,23881211
201711,10014000,其他,1,3913,22473894
201711,10014000,其他,2,7071,28122398
201712,10014000,其他,1,3904,23983386
201712,10014000,其他,2,7079,28668876
201801,10014000,其他,1,3846,20660637
201801,10014000,其他,2,6331,23960959
201802,10014000,其他,1,3884,21036311
201802,10014000,其他,2,6883,25766919
201803,10014000,其他,1,4004,22348381
201803,10014000,其他,2,6775,26162778
201804,10014000,其他,1,4109,22833171
201804,10014000,其他,2,7199,27857459
201805,10014000,其他,1,4267,25015887
201805,10014000,其他,2,7705,31748341
201806,10014000,其他,1,3844,19791292
201806,10014000,其他,2,6953,25847464
201807,10014000,其他,1,4295,22135903
201807,10014000,其他,2,7908,27000927
201808,10014000,其他,1,4119,20079184
201808,10014000,其他,2,7222,26532253
201809,10014000,其他,1,4065,22467146
201809,10014000,其他,2,7294,26934322
201810,10014000,其他,1,3881,21715228
201810,10014000,其他,2,7107,26733826
201811,10014000,其他,1,4381,23828246
201811,10014000,其他,2,8821,30368712
201812,10014000,其他,1,5010,26779584
201812,10014000,其他,2,9504,32162649
201901,10014000,其他,1,4599,24271101
201901,10014000,其他,2,8600,31598610
201902,10014000,其他,1,3665,16401057
201902,10014000,其他,2,7272,22165564
201903,10014000,其他,1,4740,23452901
201903,10014000,其他,2,8799,30843990
201904,10014000,其他,1,4585,22340159
201904,10014000,其他,2,8382,29577056
201905,10014000,其他,1,4257,22330427
201905,10014000,其他,2,7783,29485904
201906,10014000,其他,1,4480,22085306
201906,10014000,其他,2,8033,27501660
201907,10014000,其他,1,5508,24589439
201907,10014000,其他,2,10142,30222089
