年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,行,1,36821,45280775
201401,10014000,行,2,24936,26965616
201402,10014000,行,1,42201,51228471
201402,10014000,行,2,26993,29438334
201403,10014000,行,1,36014,43527876
201403,10014000,行,2,24736,26055748
201404,10014000,行,1,35648,44297002
201404,10014000,行,2,24419,26078367
201405,10014000,行,1,36992,44997865
201405,10014000,行,2,25392,26867513
201406,10014000,行,1,41416,51839921
201406,10014000,行,2,27794,30816051
201407,10014000,行,1,51142,63498246
201407,10014000,行,2,32958,36850847
201408,10014000,行,1,52327,62983260
201408,10014000,行,2,33707,37071855
201409,10014000,行,1,39024,46188315
201409,10014000,行,2,26210,27388076
201410,10014000,行,1,40458,46462252
201410,10014000,行,2,27034,27969396
201411,10014000,行,1,35203,40486191
201411,10014000,行,2,24620,25687545
201412,10014000,行,1,35493,38055185
201412,10014000,行,2,23689,22642116
201501,10014000,行,1,40161,39801780
201501,10014000,行,2,25875,23446648
201502,10014000,行,1,47683,46112680
201502,10014000,行,2,28457,26148601
201503,10014000,行,1,35337,34158967
201503,10014000,行,2,24048,21217599
201504,10014000,行,1,38041,37477528
201504,10014000,行,2,25111,23256100
201505,10014000,行,1,36592,37932877
201505,10014000,行,2,25115,23332501
201506,10014000,行,1,40821,44446213
201506,10014000,行,2,27125,26457902
201507,10014000,行,1,50077,52152376
201507,10014000,行,2,31677,31356839
201508,10014000,行,1,45168,44124298
201508,10014000,行,2,29046,26524675
201509,10014000,行,1,39851,38342352
201509,10014000,行,2,26631,24171376
201510,10014000,行,1,40023,39146141
201510,10014000,行,2,26313,22825150
201511,10014000,行,1,37376,36420762
201511,10014000,行,2,25748,22391676
201512,10014000,行,1,36084,33039066
201512,10014000,行,2,24303,21388192
201601,10014000,行,1,20592,21735788
201601,10014000,行,2,12788,13223381
201602,10014000,行,1,29170,25685734
201602,10014000,行,2,15662,14488892
201603,10014000,行,1,17098,17129131
201603,10014000,行,2,11062,10565585
201604,10014000,行,1,21184,20420033
201604,10014000,行,2,13301,13101628
201605,10014000,行,1,19547,19046575
201605,10014000,行,2,12869,12483906
201606,10014000,行,1,23792,24757742
201606,10014000,行,2,15229,15960952
201607,10014000,行,1,25484,27565509
201607,10014000,行,2,15275,16409717
201608,10014000,行,1,24738,26443381
201608,10014000,行,2,15780,16251386
201609,10014000,行,1,17150,17889765
201609,10014000,行,2,11430,11406572
201610,10014000,行,1,17965,19774390
201610,10014000,行,2,11788,12300456
201611,10014000,行,1,19210,20904609
201611,10014000,行,2,12923,13124393
201612,10014000,行,1,20845,22515841
201612,10014000,行,2,13469,14550491
201701,10014000,行,1,22338,25075830
201701,10014000,行,2,14176,14943312
201702,10014000,行,1,21572,22388223
201702,10014000,行,2,13781,14456467
201703,10014000,行,1,18060,19797277
201703,10014000,行,2,12392,13093241
201704,10014000,行,1,22424,23019639
201704,10014000,行,2,14805,15335289
201705,10014000,行,1,20493,22707096
201705,10014000,行,2,13992,14496797
201706,10014000,行,1,16078,19151569
201706,10014000,行,2,11516,12576267
201707,10014000,行,1,23581,26361952
201707,10014000,行,2,15233,16974690
201708,10014000,行,1,23315,26159059
201708,10014000,行,2,15451,17202957
201709,10014000,行,1,17959,19166879
201709,10014000,行,2,12386,13222471
201710,10014000,行,1,20384,23232184
201710,10014000,行,2,13537,15445954
201711,10014000,行,1,17409,20409220
201711,10014000,行,2,12380,14239537
201712,10014000,行,1,18616,21133142
201712,10014000,行,2,13447,15111815
201801,10014000,行,1,16319,18478367
201801,10014000,行,2,11374,12827902
201802,10014000,行,1,18643,20301383
201802,10014000,行,2,12411,13072251
201803,10014000,行,1,16059,17202316
201803,10014000,行,2,12049,12699144
201804,10014000,行,1,22247,23788295
201804,10014000,行,2,14832,15435796
201805,10014000,行,1,18200,19936719
201805,10014000,行,2,13329,14436433
201806,10014000,行,1,19617,24012274
201806,10014000,行,2,13815,15371188
201807,10014000,行,1,29380,34575661
201807,10014000,行,2,19308,21414012
201808,10014000,行,1,25613,28722051
201808,10014000,行,2,16694,18274635
201809,10014000,行,1,18977,20712526
201809,10014000,行,2,13340,14286342
201810,10014000,行,1,16810,19602878
201810,10014000,行,2,11968,13372014
201811,10014000,行,1,19087,22300027
201811,10014000,行,2,14260,15015181
201812,10014000,行,1,22720,23967847
201812,10014000,行,2,15783,15445500
201901,10014000,行,1,18502,19856349
201901,10014000,行,2,12954,13466464
201902,10014000,行,1,22984,22662936
201902,10014000,行,2,14092,14241345
201903,10014000,行,1,19789,20170141
201903,10014000,行,2,14479,14585215
201904,10014000,行,1,19785,20815629
201904,10014000,行,2,14612,14731969
201905,10014000,行,1,15433,16773411
201905,10014000,行,2,10401,11816030
201906,10014000,行,1,17621,20395624
201906,10014000,行,2,12156,13316428
201907,10014000,行,1,25731,27758578
201907,10014000,行,2,16730,18171862
201908,10014000,行,1,21920,23616235
201908,10014000,行,2,14679,15296513
201909,10014000,行,1,16768,17525409
201909,10014000,行,2,11158,11528851
201910,10014000,行,1,19948,20180188
201910,10014000,行,2,12926,13626514
201911,10014000,行,1,17659,19543718
201911,10014000,行,2,12820,15026625
201912,10014000,行,1,18933,20151516
201912,10014000,行,2,12847,13390033
202001,10014000,行,1,24558,25746547
202001,10014000,行,2,15473,17388324
202002,10014000,行,1,20769,22344624
202002,10014000,行,2,14336,15934699
202003,10014000,行,1,18635,17927460
202003,10014000,行,2,13390,14111792
202004,10014000,行,1,18581,15150800
202004,10014000,行,2,12621,11176109
202005,10014000,行,1,18402,15923588
202005,10014000,行,2,12265,10909592
202006,10014000,行,1,23459,21433208
202006,10014000,行,2,15903,15547248
202007,10014000,行,1,31977,31844911
202007,10014000,行,2,21149,21875218
202008,10014000,行,1,34124,32367752
202008,10014000,行,2,21882,21778210
202009,10014000,行,1,21612,20595095
202009,10014000,行,2,15482,14929671
202010,10014000,行,1,29248,26963187
202010,10014000,行,2,18927,17502998
202011,10014000,行,1,23076,21396525
202011,10014000,行,2,15501,15265122
202012,10014000,行,1,22068,20959781
202012,10014000,行,2,14287,13602614
202101,10014000,行,1,24908,24375105
202101,10014000,行,2,16463,17176768
202102,10014000,行,1,30693,37132762
202102,10014000,行,2,19092,22991105
202103,10014000,行,1,24271,31083325
