年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,衣,1,44726,109474678
201401,68000000,衣,2,153898,405508647
201402,68000000,衣,1,23939,53394693
201402,68000000,衣,2,83808,210014399
201403,68000000,衣,1,25381,55724166
201403,68000000,衣,2,96058,247032509
201404,68000000,衣,1,28568,63896332
201404,68000000,衣,2,111636,289075251
201405,68000000,衣,1,35272,75811761
201405,68000000,衣,2,130107,320333854
201406,68000000,衣,1,33097,69483792
201406,68000000,衣,2,122963,290773262
201407,68000000,衣,1,30701,62224592
201407,68000000,衣,2,116339,262524415
201408,68000000,衣,1,33970,66776828
201408,68000000,衣,2,125642,264257369
201409,68000000,衣,1,27115,60148404
201409,68000000,衣,2,103896,255067958
201410,68000000,衣,1,36964,91192906
201410,68000000,衣,2,136833,369944181
201411,68000000,衣,1,43119,108302839
201411,68000000,衣,2,153462,418993864
201412,68000000,衣,1,60777,149153959
201412,68000000,衣,2,230644,604411847
201501,68000000,衣,1,41036,101122912
201501,68000000,衣,2,144367,385714319
201502,68000000,衣,1,41058,101399496
201502,68000000,衣,2,130652,335531417
201503,68000000,衣,1,30864,70739513
201503,68000000,衣,2,125015,312733578
201504,68000000,衣,1,34619,77694114
201504,68000000,衣,2,136123,338532142
201505,68000000,衣,1,41590,88424021
201505,68000000,衣,2,153841,368230141
201506,68000000,衣,1,39388,81540008
201506,68000000,衣,2,143169,329325558
201507,68000000,衣,1,37077,74781001
201507,68000000,衣,2,138687,305993593
201508,68000000,衣,1,38471,77605842
201508,68000000,衣,2,134229,283382314
201509,68000000,衣,1,31151,70412323
201509,68000000,衣,2,114687,276114830
201510,68000000,衣,1,39015,96925639
201510,68000000,衣,2,134924,357380219
201511,68000000,衣,1,40583,101967980
201511,68000000,衣,2,143628,381983846
201512,68000000,衣,1,62004,151543822
201512,68000000,衣,2,225006,586406879
201601,68000000,衣,1,49149,120054555
201601,68000000,衣,2,161753,419637984
201602,68000000,衣,1,36617,91086995
201602,68000000,衣,2,104653,271742561
201603,68000000,衣,1,24561,56131767
201603,68000000,衣,2,85336,220322705
201604,68000000,衣,1,33142,73093921
201604,68000000,衣,2,117403,279343457
201605,68000000,衣,1,36979,76974910
201605,68000000,衣,2,125126,292851362
201606,68000000,衣,1,38927,77460311
201606,68000000,衣,2,131827,291258719
201607,68000000,衣,1,37261,72936355
201607,68000000,衣,2,117791,253753456
201608,68000000,衣,1,36285,71163589
201608,68000000,衣,2,121343,257546581
201609,68000000,衣,1,32627,66236027
201609,68000000,衣,2,103495,231930641
201610,68000000,衣,1,37987,85219258
201610,68000000,衣,2,115495,281165794
201611,68000000,衣,1,38534,94489677
201611,68000000,衣,2,124566,331415372
201612,68000000,衣,1,54344,127668887
201612,68000000,衣,2,167872,429735852
201701,68000000,衣,1,53825,129016470
201701,68000000,衣,2,153618,393284354
201702,68000000,衣,1,33859,73953746
201702,68000000,衣,2,107472,248754047
201703,68000000,衣,1,29538,62831572
201703,68000000,衣,2,101734,243784143
201704,68000000,衣,1,36067,74770551
201704,68000000,衣,2,117986,278673562
201705,68000000,衣,1,41606,81931720
201705,68000000,衣,2,135397,301391091
201706,68000000,衣,1,38540,72973081
201706,68000000,衣,2,132469,278162915
201707,68000000,衣,1,38892,71175984
201707,68000000,衣,2,128023,262344668
201708,68000000,衣,1,35948,66149326
201708,68000000,衣,2,126091,255683212
201709,68000000,衣,1,30395,60576575
201709,68000000,衣,2,105166,242596107
201710,68000000,衣,1,41394,90906143
201710,68000000,衣,2,134770,343008509
201711,68000000,衣,1,40647,98990217
201711,68000000,衣,2,141416,389513719
201712,68000000,衣,1,57191,134433685
201712,68000000,衣,2,193624,509873762
201801,68000000,衣,1,42152,95956930
201801,68000000,衣,2,148104,373983703
201802,68000000,衣,1,42688,103463944
201802,68000000,衣,2,124699,334751356
201803,68000000,衣,1,29373,64212371
201803,68000000,衣,2,107834,268042598
201804,68000000,衣,1,33996,72931325
201804,68000000,衣,2,111754,276982086
201805,68000000,衣,1,39426,78953932
201805,68000000,衣,2,140287,331715280
201806,68000000,衣,1,39312,75601905
201806,68000000,衣,2,129467,292515332
201807,68000000,衣,1,36841,69167358
201807,68000000,衣,2,123823,266001259
201808,68000000,衣,1,32382,61646178
201808,68000000,衣,2,112572,240554165
201809,68000000,衣,1,29045,60933161
201809,68000000,衣,2,89489,217231358
201810,68000000,衣,1,32697,77623767
201810,68000000,衣,2,111843,302299463
