年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,文教康樂,1,105455,479397771
201401,68000000,文教康樂,2,105992,539546579
201402,68000000,文教康樂,1,100101,493349295
201402,68000000,文教康樂,2,100219,532364598
201403,68000000,文教康樂,1,109255,482938345
201403,68000000,文教康樂,2,105854,506072165
201404,68000000,文教康樂,1,109372,505635630
201404,68000000,文教康樂,2,102385,523064274
201405,68000000,文教康樂,1,107214,548469937
201405,68000000,文教康樂,2,107295,588460377
201406,68000000,文教康樂,1,114171,561714414
201406,68000000,文教康樂,2,111451,594353035
201407,68000000,文教康樂,1,119022,560672331
201407,68000000,文教康樂,2,119014,590201213
201408,68000000,文教康樂,1,128029,596826692
201408,68000000,文教康樂,2,129146,618280128
201409,68000000,文教康樂,1,110883,570123670
201409,68000000,文教康樂,2,115018,619036158
201410,68000000,文教康樂,1,117092,541370318
201410,68000000,文教康樂,2,114177,561369693
201411,68000000,文教康樂,1,113471,500011371
201411,68000000,文教康樂,2,108758,505141364
201412,68000000,文教康樂,1,115454,518298279
201412,68000000,文教康樂,2,114834,538296294
201501,68000000,文教康樂,1,120439,537215428
201501,68000000,文教康樂,2,118649,575443265
201502,68000000,文教康樂,1,117229,566902144
201502,68000000,文教康樂,2,121743,637662539
201503,68000000,文教康樂,1,113926,560960932
201503,68000000,文教康樂,2,113822,584903678
201504,68000000,文教康樂,1,123614,580933131
201504,68000000,文教康樂,2,121405,616514937
201505,68000000,文教康樂,1,117555,590700908
201505,68000000,文教康樂,2,117570,638795439
201506,68000000,文教康樂,1,128307,627468129
201506,68000000,文教康樂,2,123160,662151163
201507,68000000,文教康樂,1,130827,612785939
201507,68000000,文教康樂,2,130495,649505353
201508,68000000,文教康樂,1,127564,625886767
201508,68000000,文教康樂,2,134046,684491394
201509,68000000,文教康樂,1,120012,588282769
201509,68000000,文教康樂,2,124687,657336553
201510,68000000,文教康樂,1,127042,583152399
201510,68000000,文教康樂,2,127167,621213714
201511,68000000,文教康樂,1,120905,525885141
201511,68000000,文教康樂,2,117415,548713151
201512,68000000,文教康樂,1,121194,542651674
201512,68000000,文教康樂,2,120990,560024423
201601,68000000,文教康樂,1,106382,506066633
201601,68000000,文教康樂,2,117090,628131100
201602,68000000,文教康樂,1,109576,529544757
201602,68000000,文教康樂,2,113709,590290143
201603,68000000,文教康樂,1,105240,510552982
201603,68000000,文教康樂,2,108815,570020705
201604,68000000,文教康樂,1,113171,494232094
201604,68000000,文教康樂,2,117524,559156789
201605,68000000,文教康樂,1,120638,549555300
201605,68000000,文教康樂,2,127972,627496631
201606,68000000,文教康樂,1,131711,617733039
201606,68000000,文教康樂,2,140340,688338594
201607,68000000,文教康樂,1,133710,567316934
201607,68000000,文教康樂,2,147737,657496019
201608,68000000,文教康樂,1,127293,586399268
201608,68000000,文教康樂,2,143291,684630609
201609,68000000,文教康樂,1,112426,500697963
201609,68000000,文教康樂,2,129408,596132950
201610,68000000,文教康樂,1,123426,492431114
201610,68000000,文教康樂,2,135933,568472821
201611,68000000,文教康樂,1,120112,513109254
201611,68000000,文教康樂,2,130283,549898575
201612,68000000,文教康樂,1,134162,512768659
201612,68000000,文教康樂,2,146348,551163076
201701,68000000,文教康樂,1,125085,505352155
201701,68000000,文教康樂,2,136715,597118329
201702,68000000,文教康樂,1,124360,601622819
201702,68000000,文教康樂,2,138155,683087582
201703,68000000,文教康樂,1,124528,579627210
201703,68000000,文教康樂,2,135163,620058054
201704,68000000,文教康樂,1,133001,556541063
201704,68000000,文教康樂,2,142989,618933973
201705,68000000,文教康樂,1,129326,605147983
201705,68000000,文教康樂,2,137596,692338336
201706,68000000,文教康樂,1,116413,578199268
201706,68000000,文教康樂,2,126100,661903628
201707,68000000,文教康樂,1,131986,574874339
201707,68000000,文教康樂,2,142948,649907077
201708,68000000,文教康樂,1,128982,659426532
201708,68000000,文教康樂,2,141725,728767443
201709,68000000,文教康樂,1,119269,592479361
201709,68000000,文教康樂,2,133854,709357985
201710,68000000,文教康樂,1,125711,539345245
201710,68000000,文教康樂,2,136035,635325109
201711,68000000,文教康樂,1,118634,526906147
201711,68000000,文教康樂,2,127553,585300973
201712,68000000,文教康樂,1,128866,506517125
201712,68000000,文教康樂,2,142687,566385693
201801,68000000,文教康樂,1,112286,501520947
201801,68000000,文教康樂,2,125716,601545396
201802,68000000,文教康樂,1,111661,564565360
201802,68000000,文教康樂,2,127041,691719621
201803,68000000,文教康樂,1,125546,628113879
201803,68000000,文教康樂,2,133090,714951428
201804,68000000,文教康樂,1,132176,576912392
201804,68000000,文教康樂,2,136292,657194159
201805,68000000,文教康樂,1,128000,637405004
201805,68000000,文教康樂,2,133459,741644533
201806,68000000,文教康樂,1,134342,619299781
201806,68000000,文教康樂,2,142542,703064077
201807,68000000,文教康樂,1,138559,603181672
201807,68000000,文教康樂,2,149686,683653307
201808,68000000,文教康樂,1,127635,634527853
201808,68000000,文教康樂,2,144574,757448796
201809,68000000,文教康樂,1,118575,525180690
201809,68000000,文教康樂,2,133588,642893760
201810,68000000,文教康樂,1,110145,490455894
201810,68000000,文教康樂,2,123753,588136815
201811,68000000,文教康樂,1,121019,533272077
201811,68000000,文教康樂,2,132830,624457042
201812,68000000,文教康樂,1,134099,532540344
201812,68000000,文教康樂,2,150485,626225216
201901,68000000,文教康樂,1,111949,570469002
201901,68000000,文教康樂,2,129093,723781022
201902,68000000,文教康樂,1,103780,556637264
201902,68000000,文教康樂,2,113483,653534484
201903,68000000,文教康樂,1,119987,546093693
201903,68000000,文教康樂,2,131933,655004652
201904,68000000,文教康樂,1,119742,524219482
201904,68000000,文教康樂,2,130189,648029017
201905,68000000,文教康樂,1,114150,540140860
201905,68000000,文教康樂,2,127595,650032090
201906,68000000,文教康樂,1,117343,493210276
201906,68000000,文教康樂,2,132729,595116196
201907,68000000,文教康樂,1,135884,565789318
201907,68000000,文教康樂,2,153159,660291688
201908,68000000,文教康樂,1,133390,666862008
201908,68000000,文教康樂,2,152236,804700473
201909,68000000,文教康樂,1,115701,467016499
201909,68000000,文教康樂,2,131267,602745916
201910,68000000,文教康樂,1,157612,528206733
201910,68000000,文教康樂,2,157996,639949954
201911,68000000,文教康樂,1,193417,500847134
201911,68000000,文教康樂,2,179915,604300796
201912,68000000,文教康樂,1,205716,479576150
201912,68000000,文教康樂,2,195068,608463753
202001,68000000,文教康樂,1,228765,491890067
202001,68000000,文教康樂,2,195089,634094830
202002,68000000,文教康樂,1,176606,480137030
202002,68000000,文教康樂,2,161848,570595164
202003,68000000,文教康樂,1,106808,266015073
202003,68000000,文教康樂,2,116651,311802033
202004,68000000,文教康樂,1,97721,241925299
202004,68000000,文教康樂,2,104809,299443778
202005,68000000,文教康樂,1,175020,245665397
202005,68000000,文教康樂,2,160374,334409138
202006,68000000,文教康樂,1,157492,261177542
202006,68000000,文教康樂,2,147672,313630821
202007,68000000,文教康樂,1,141308,325620313
202007,68000000,文教康樂,2,159861,404868163
202008,68000000,文教康樂,1,210830,448086112
202008,68000000,文教康樂,2,221878,558504453
202009,68000000,文教康樂,1,148904,415493237
202009,68000000,文教康樂,2,172211,537432645
202010,68000000,文教康樂,1,158351,345761343
202010,68000000,文教康樂,2,183727,443070111
202011,68000000,文教康樂,1,152366,330166345
202011,68000000,文教康樂,2,174792,395755283
202012,68000000,文教康樂,1,150123,319830060
202012,68000000,文教康樂,2,183152,401238603
202101,68000000,文教康樂,1,134183,316544103
202101,68000000,文教康樂,2,157284,410200642
202102,68000000,文教康樂,1,131283,498675424
202102,68000000,文教康樂,2,150837,595296171
202103,68000000,文教康樂,1,131802,326303061
202103,68000000,文教康樂,2,147378,367329776
202104,68000000,文教康樂,1,158483,347427633
202104,68000000,文教康樂,2,182775,433581871
202105,68000000,文教康樂,1,93902,235572335
202105,68000000,文教康樂,2,114656,298398710
202106,68000000,文教康樂,1,52649,143985700
202106,68000000,文教康樂,2,80111,181893462
202107,68000000,文教康樂,1,80170,197455933
202107,68000000,文教康樂,2,104435,256041340
202108,68000000,文教康樂,1,134516,388277492
202108,68000000,文教康樂,2,156773,458053639
202109,68000000,文教康樂,1,141913,452107483
202109,68000000,文教康樂,2,159120,538773111
202110,68000000,文教康樂,1,149953,345584148
202110,68000000,文教康樂,2,170475,417953910
202111,68000000,文教康樂,1,221547,352327387
202111,68000000,文教康樂,2,228455,402828914
202112,68000000,文教康樂,1,434636,392991936
202112,68000000,文教康樂,2,377024,451111839
202201,68000000,文教康樂,1,350456,353689862
202201,68000000,文教康樂,2,296485,426712908
202202,68000000,文教康樂,1,260893,516442972
202202,68000000,文教康樂,2,235082,605394602
202203,68000000,文教康樂,1,145080,361225915
202203,68000000,文教康樂,2,171198,416170483
202204,68000000,文教康樂,1,271355,342936491
202204,68000000,文教康樂,2,249550,402859423
202205,68000000,文教康樂,1,296279,299193024
202205,68000000,文教康樂,2,258215,346210285
202206,68000000,文教康樂,1,382906,381252550
202206,68000000,文教康樂,2,329818,402991505
202207,68000000,文教康樂,1,455484,414345234
202207,68000000,文教康樂,2,397902,455166405
202208,68000000,文教康樂,1,482002,584729817
202208,68000000,文教康樂,2,420459,666467320
202209,68000000,文教康樂,1,407980,479099922
202209,68000000,文教康樂,2,360034,560281019
202210,68000000,文教康樂,1,393161,437679528
202210,68000000,文教康樂,2,344464,503703262
202211,68000000,文教康樂,1,418694,459989459
202211,68000000,文教康樂,2,360439,496434167
202212,68000000,文教康樂,1,217533,475443936
202212,68000000,文教康樂,2,235683,550527413
202301,68000000,文教康樂,1,228647,561293361
202301,68000000,文教康樂,2,237153,620487435
202302,68000000,文教康樂,1,290688,709743965
202302,68000000,文教康樂,2,285562,803531276
202303,68000000,文教康樂,1,393730,588825055
202303,68000000,文教康樂,2,342140,631772784
202304,68000000,文教康樂,1,414791,570765239
202304,68000000,文教康樂,2,347601,641249974
202305,68000000,文教康樂,1,413416,617463264
202305,68000000,文教康樂,2,352677,718785980
202306,68000000,文教康樂,1,420674,592222893
202306,68000000,文教康樂,2,359825,656060355
202307,68000000,文教康樂,1,458080,598592376
202307,68000000,文教康樂,2,393535,670642063
202308,68000000,文教康樂,1,431832,756486828
202308,68000000,文教康樂,2,381989,853210259
