年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,住,1,94083,439848380
201401,68000000,住,2,77398,388496107
201402,68000000,住,1,71166,281068811
201402,68000000,住,2,56453,243161710
201403,68000000,住,1,75338,311728768
201403,68000000,住,2,59171,275249451
201404,68000000,住,1,72041,328681938
201404,68000000,住,2,57314,296438313
201405,68000000,住,1,78807,338521018
201405,68000000,住,2,63851,306755060
201406,68000000,住,1,79714,341186723
201406,68000000,住,2,65887,318042173
201407,68000000,住,1,85998,381326127
201407,68000000,住,2,71988,358559524
201408,68000000,住,1,84051,341723870
201408,68000000,住,2,71562,324014402
201409,68000000,住,1,75943,304992956
201409,68000000,住,2,63509,285797979
201410,68000000,住,1,77642,316969399
201410,68000000,住,2,64356,285452514
201411,68000000,住,1,78527,338384780
201411,68000000,住,2,65490,329648386
201412,68000000,住,1,83067,360419756
201412,68000000,住,2,66802,310807244
201501,68000000,住,1,86889,388340227
201501,68000000,住,2,70324,352175895
201502,68000000,住,1,80889,343641201
201502,68000000,住,2,68524,318653722
201503,68000000,住,1,75544,308152850
201503,68000000,住,2,60829,264303263
201504,68000000,住,1,74310,340179851
201504,68000000,住,2,58961,304377931
201505,68000000,住,1,80827,357876353
201505,68000000,住,2,65089,318564245
201506,68000000,住,1,77101,347202547
201506,68000000,住,2,63953,320776397
201507,68000000,住,1,81190,350239560
201507,68000000,住,2,68465,320312123
201508,68000000,住,1,86256,334036184
201508,68000000,住,2,72621,314386947
201509,68000000,住,1,85733,333700082
201509,68000000,住,2,72824,308357659
201510,68000000,住,1,89298,364115578
201510,68000000,住,2,73901,323565383
201511,68000000,住,1,87387,402877613
201511,68000000,住,2,75126,367711104
201512,68000000,住,1,94349,425819101
201512,68000000,住,2,78753,372226077
201601,68000000,住,1,99149,474857802
201601,68000000,住,2,84765,452126796
201602,68000000,住,1,89213,387697015
201602,68000000,住,2,74637,338236524
201603,68000000,住,1,80170,317709081
201603,68000000,住,2,65746,275735744
201604,68000000,住,1,74570,348623107
201604,68000000,住,2,62992,302894142
201605,68000000,住,1,75655,355931126
201605,68000000,住,2,64971,343409286
201606,68000000,住,1,79951,380401020
201606,68000000,住,2,67120,349786850
201607,68000000,住,1,85110,380541812
201607,68000000,住,2,73955,359151501
201608,68000000,住,1,78986,347711324
201608,68000000,住,2,68635,315070841
201609,68000000,住,1,75105,307828228
201609,68000000,住,2,62617,292744594
201610,68000000,住,1,84108,355132736
201610,68000000,住,2,67565,328252979
201611,68000000,住,1,83320,368964140
201611,68000000,住,2,65377,336395278
201612,68000000,住,1,84890,390884552
201612,68000000,住,2,70158,350317722
201701,68000000,住,1,88202,421653383
201701,68000000,住,2,75233,407703997
201702,68000000,住,1,77998,326530157
201702,68000000,住,2,64937,299131907
201703,68000000,住,1,74362,323704168
201703,68000000,住,2,61481,285535828
201704,68000000,住,1,77525,380499956
201704,68000000,住,2,65699,345204742
201705,68000000,住,1,79271,356875063
201705,68000000,住,2,70060,335515820
201706,68000000,住,1,74978,338674573
201706,68000000,住,2,66467,335270255
201707,68000000,住,1,88440,421058392
201707,68000000,住,2,80000,410766289
201708,68000000,住,1,85484,389626475
201708,68000000,住,2,79597,368279518
201709,68000000,住,1,76424,341722150
201709,68000000,住,2,67228,334284137
201710,68000000,住,1,82351,384288488
201710,68000000,住,2,72918,368502178
201711,68000000,住,1,79870,381151558
201711,68000000,住,2,69065,357511864
201712,68000000,住,1,85311,380826198
201712,68000000,住,2,73113,365324322
201801,68000000,住,1,78095,362290351
201801,68000000,住,2,67813,365571194
201802,68000000,住,1,82724,371203849
201802,68000000,住,2,74607,361016296
201803,68000000,住,1,77961,320689945
201803,68000000,住,2,69326,312745124
201804,68000000,住,1,77965,371963766
201804,68000000,住,2,68182,353909482
201805,68000000,住,1,81396,377845989
201805,68000000,住,2,71982,367147379
201806,68000000,住,1,81466,354937888
201806,68000000,住,2,74310,342485473
201807,68000000,住,1,88218,387206863
201807,68000000,住,2,84939,396194806
201808,68000000,住,1,81007,329225358
201808,68000000,住,2,79220,348118824
201809,68000000,住,1,81235,332246830
201809,68000000,住,2,75814,329354191
201810,68000000,住,1,69541,290805198
201810,68000000,住,2,63200,288281207
201811,68000000,住,1,77937,357798200
201811,68000000,住,2,70655,363327655
201812,68000000,住,1,89944,387877472
201812,68000000,住,2,80827,379736948
201901,68000000,住,1,88286,418332827
201901,68000000,住,2,82189,433969658
201902,68000000,住,1,70599,284718287
201902,68000000,住,2,64436,278915070
201903,68000000,住,1,84606,345570268
201903,68000000,住,2,77899,343671624
201904,68000000,住,1,79480,398685250
201904,68000000,住,2,72870,391532171
201905,68000000,住,1,74831,330806586
201905,68000000,住,2,68186,337880332
201906,68000000,住,1,77818,346746204
201906,68000000,住,2,72203,351126026
201907,68000000,住,1,91063,439015840
201907,68000000,住,2,87204,449428779
201908,68000000,住,1,90609,371263150
201908,68000000,住,2,87296,379015809
201909,68000000,住,1,75976,303487583
201909,68000000,住,2,71613,310682100
201910,68000000,住,1,84461,372270801
201910,68000000,住,2,77976,363113054
201911,68000000,住,1,86128,377074596
201911,68000000,住,2,78888,375105863
201912,68000000,住,1,91433,378773199
201912,68000000,住,2,85102,381203942
202001,68000000,住,1,96628,436191947
202001,68000000,住,2,90125,443208817
202002,68000000,住,1,86168,321966060
202002,68000000,住,2,80621,300804491
202003,68000000,住,1,81931,302304176
202003,68000000,住,2,76243,291761521
202004,68000000,住,1,88185,339229756
202004,68000000,住,2,82138,338511661
202005,68000000,住,1,99285,378670031
202005,68000000,住,2,94602,381293812
202006,68000000,住,1,97954,367828656
202006,68000000,住,2,99942,385768074
202007,68000000,住,1,109571,453813769
202007,68000000,住,2,109549,473541581
202008,68000000,住,1,121303,446501275
202008,68000000,住,2,123795,470178503
202009,68000000,住,1,105094,386327177
202009,68000000,住,2,101398,393183289
202010,68000000,住,1,117547,457106509
202010,68000000,住,2,114752,475406361
202011,68000000,住,1,104570,434188674
202011,68000000,住,2,100502,426191359
202012,68000000,住,1,109955,437951434
202012,68000000,住,2,105639,439452338
202101,68000000,住,1,116043,515647664
202101,68000000,住,2,106301,483894462
202102,68000000,住,1,90473,371908038
202102,68000000,住,2,85656,355272109
202103,68000000,住,1,90661,394535392
202103,68000000,住,2,84618,381582679
202104,68000000,住,1,104188,517808613
202104,68000000,住,2,96607,494314377
202105,68000000,住,1,90288,460975672
202105,68000000,住,2,81951,440254466
202106,68000000,住,1,84018,378792478
202106,68000000,住,2,74443,333048497
202107,68000000,住,1,100439,504841266
202107,68000000,住,2,93012,487029076
202108,68000000,住,1,107838,518053085
202108,68000000,住,2,101317,484349942
202109,68000000,住,1,109080,504323501
202109,68000000,住,2,104725,477316951
202110,68000000,住,1,121956,612662752
202110,68000000,住,2,116556,582864450
202111,68000000,住,1,120196,577566787
202111,68000000,住,2,119456,582417557
202112,68000000,住,1,124213,572850564
202112,68000000,住,2,120453,546222179
202201,68000000,住,1,111442,529744858
202201,68000000,住,2,104077,494671330
202202,68000000,住,1,102885,422337567
202202,68000000,住,2,98007,401422710
202203,68000000,住,1,112306,480511133
202203,68000000,住,2,108669,443462133
202204,68000000,住,1,113136,523909706
202204,68000000,住,2,109138,501707885
202205,68000000,住,1,114416,445388632
202205,68000000,住,2,109431,422832489
202206,68000000,住,1,132571,509052009
202206,68000000,住,2,132480,497508078
202207,68000000,住,1,151715,624048911
202207,68000000,住,2,151540,613869620
202208,68000000,住,1,141040,541303462
202208,68000000,住,2,142362,550590732
202209,68000000,住,1,127115,495653721
202209,68000000,住,2,122756,477556495
202210,68000000,住,1,132582,509037784
202210,68000000,住,2,126718,502716741
202211,68000000,住,1,128751,496741748
202211,68000000,住,2,124702,487518269
202212,68000000,住,1,143029,544052273
202212,68000000,住,2,139299,537233108
202301,68000000,住,1,142078,536458329
202301,68000000,住,2,135086,534830982
202302,68000000,住,1,124205,463191356
202302,68000000,住,2,117701,432759245
202303,68000000,住,1,125552,466302289
202303,68000000,住,2,118710,440663447
202304,68000000,住,1,134997,566350466
202304,68000000,住,2,127354,546893965
202305,68000000,住,1,132644,519837418
202305,68000000,住,2,125316,499234032
202306,68000000,住,1,135254,546967703
202306,68000000,住,2,129418,528773534
202307,68000000,住,1,145310,608823208
202307,68000000,住,2,140967,597956855
202308,68000000,住,1,139098,529390938
202308,68000000,住,2,135365,528540279
