年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,其他,1,147575,879687313
201401,68000000,其他,2,222307,1028339911
201402,68000000,其他,1,110725,613172768
201402,68000000,其他,2,167790,717577270
201403,68000000,其他,1,127363,750446322
201403,68000000,其他,2,197954,909517876
201404,68000000,其他,1,121222,736635459
201404,68000000,其他,2,192370,961842940
201405,68000000,其他,1,130958,783639507
201405,68000000,其他,2,208343,968018437
201406,68000000,其他,1,129316,747339520
201406,68000000,其他,2,205737,890046332
201407,68000000,其他,1,132027,773912369
201407,68000000,其他,2,211572,916662064
201408,68000000,其他,1,132357,764459979
201408,68000000,其他,2,208658,933951600
201409,68000000,其他,1,131455,799664001
201409,68000000,其他,2,208254,1050703376
201410,68000000,其他,1,139260,837690090
201410,68000000,其他,2,212979,1022084717
201411,68000000,其他,1,132995,815748060
201411,68000000,其他,2,204366,962423117
201412,68000000,其他,1,147495,936899372
201412,68000000,其他,2,220663,1111003559
201501,68000000,其他,1,143303,898439486
201501,68000000,其他,2,211798,1066759451
201502,68000000,其他,1,128679,757436344
201502,68000000,其他,2,183275,865475968
201503,68000000,其他,1,134471,825719308
201503,68000000,其他,2,200036,1012909551
201504,68000000,其他,1,132359,810969562
201504,68000000,其他,2,200232,1076853294
201505,68000000,其他,1,138324,824875235
201505,68000000,其他,2,208282,1012937013
201506,68000000,其他,1,139846,842774604
201506,68000000,其他,2,209691,996316630
201507,68000000,其他,1,145336,867615581
201507,68000000,其他,2,216134,1026122330
201508,68000000,其他,1,142963,839547701
201508,68000000,其他,2,212564,997378989
201509,68000000,其他,1,140544,832214402
201509,68000000,其他,2,214824,1136375174
201510,68000000,其他,1,155472,950448104
201510,68000000,其他,2,229910,1140458267
201511,68000000,其他,1,146269,897046466
201511,68000000,其他,2,217201,1091789816
201512,68000000,其他,1,156091,966304543
201512,68000000,其他,2,227557,1171209014
201601,68000000,其他,1,142059,917840001
201601,68000000,其他,2,184759,1078371510
201602,68000000,其他,1,119224,699963708
201602,68000000,其他,2,156010,834445095
201603,68000000,其他,1,134273,820787696
201603,68000000,其他,2,176818,975469638
201604,68000000,其他,1,130802,800368666
201604,68000000,其他,2,173255,1080759151
201605,68000000,其他,1,139634,850257493
201605,68000000,其他,2,199556,1060736702
201606,68000000,其他,1,157468,891265980
201606,68000000,其他,2,239769,1074387617
201607,68000000,其他,1,155727,867558782
201607,68000000,其他,2,240643,1039724694
201608,68000000,其他,1,154297,859621697
201608,68000000,其他,2,237754,1052861707
201609,68000000,其他,1,146163,843729781
201609,68000000,其他,2,225526,1207945595
201610,68000000,其他,1,164803,896482700
201610,68000000,其他,2,249434,1089692913
201611,68000000,其他,1,158763,908949334
201611,68000000,其他,2,236194,1109777406
201612,68000000,其他,1,170606,975770643
201612,68000000,其他,2,249253,1160890354
201701,68000000,其他,1,156982,907851161
201701,68000000,其他,2,230453,1064612205
201702,68000000,其他,1,138589,731050170
201702,68000000,其他,2,198881,838011385
201703,68000000,其他,1,155914,872051552
201703,68000000,其他,2,218740,971084298
201704,68000000,其他,1,149465,832868476
201704,68000000,其他,2,213366,1062877448
201705,68000000,其他,1,156920,888436402
201705,68000000,其他,2,226887,1101176089
201706,68000000,其他,1,155063,858058395
201706,68000000,其他,2,220561,928148736
201707,68000000,其他,1,164902,905440924
201707,68000000,其他,2,236322,995456494
201708,68000000,其他,1,161352,876261956
201708,68000000,其他,2,235376,965045361
201709,68000000,其他,1,157080,879029964
201709,68000000,其他,2,229165,1114624849
201710,68000000,其他,1,167468,882111875
201710,68000000,其他,2,238247,986164744
201711,68000000,其他,1,168947,976169821
201711,68000000,其他,2,234636,1051111636
201712,68000000,其他,1,173982,1004327207
201712,68000000,其他,2,237953,1073008622
201801,68000000,其他,1,159128,889895622
201801,68000000,其他,2,211841,943835130
201802,68000000,其他,1,147688,760068897
201802,68000000,其他,2,196180,804749663
201803,68000000,其他,1,170349,932603235
201803,68000000,其他,2,231014,1121660889
201804,68000000,其他,1,157475,773953710
201804,68000000,其他,2,211239,835420408
201805,68000000,其他,1,168410,871219450
201805,68000000,其他,2,234155,1013854901
201806,68000000,其他,1,163598,819124870
201806,68000000,其他,2,227415,922126446
201807,68000000,其他,1,168882,848609733
201807,68000000,其他,2,244585,987999081
201808,68000000,其他,1,158827,785587563
201808,68000000,其他,2,229142,944561962
201809,68000000,其他,1,162568,808826715
201809,68000000,其他,2,234470,1024776514
201810,68000000,其他,1,148648,778943660
201810,68000000,其他,2,222014,1027586783
201811,68000000,其他,1,164025,867732313
201811,68000000,其他,2,242052,1049303778
201812,68000000,其他,1,177830,943525879
201812,68000000,其他,2,259344,1116998550
201901,68000000,其他,1,181650,935600516
201901,68000000,其他,2,259005,1074089401
201902,68000000,其他,1,130493,577209560
201902,68000000,其他,2,187438,676990524
201903,68000000,其他,1,174095,842723424
201903,68000000,其他,2,251749,1059015409
201904,68000000,其他,1,170861,792017916
201904,68000000,其他,2,247849,898791040
201905,68000000,其他,1,182252,817676889
201905,68000000,其他,2,270302,987360666
201906,68000000,其他,1,186221,791401759
201906,68000000,其他,2,277079,905208220
201907,68000000,其他,1,216256,900451534
201907,68000000,其他,2,325297,1041516672
201908,68000000,其他,1,215548,852100451
201908,68000000,其他,2,322701,991426582
201909,68000000,其他,1,186752,763423139
201909,68000000,其他,2,280540,976621212
201910,68000000,其他,1,212429,919715200
201910,68000000,其他,2,320978,1163363819
201911,68000000,其他,1,214204,935351180
201911,68000000,其他,2,318286,1096846101
201912,68000000,其他,1,221298,949519136
201912,68000000,其他,2,319327,1103595583
202001,68000000,其他,1,230727,896764825
202001,68000000,其他,2,332374,976681628
202002,68000000,其他,1,215497,858359642
202002,68000000,其他,2,333008,992680922
202003,68000000,其他,1,217416,901062435
202003,68000000,其他,2,329183,1159043938
202004,68000000,其他,1,210510,820686673
202004,68000000,其他,2,308820,938309818
202005,68000000,其他,1,200161,887154375
202005,68000000,其他,2,299272,1016940347
202006,68000000,其他,1,207520,876341003
202006,68000000,其他,2,313811,992994204
202007,68000000,其他,1,247188,1011849328
202007,68000000,其他,2,352180,1148548435
202008,68000000,其他,1,244954,982381366
202008,68000000,其他,2,358893,1137343506
202009,68000000,其他,1,241403,939857979
202009,68000000,其他,2,349184,1059751077
202010,68000000,其他,1,256536,1021961063
202010,68000000,其他,2,360495,1213528743
202011,68000000,其他,1,250059,990075083
202011,68000000,其他,2,348765,1123720502
202012,68000000,其他,1,260537,1045206188
202012,68000000,其他,2,364411,1264722287
202101,68000000,其他,1,271121,999417996
202101,68000000,其他,2,378921,1061901101
202102,68000000,其他,1,129613,372402837
202102,68000000,其他,2,184665,559082045
202103,68000000,其他,1,137624,397655355
202103,68000000,其他,2,203974,766947316
202104,68000000,其他,1,141630,414322064
202104,68000000,其他,2,202633,645736961
202105,68000000,其他,1,158652,462423546
202105,68000000,其他,2,229727,686738200
202106,68000000,其他,1,138655,387671337
202106,68000000,其他,2,192803,598897929
202107,68000000,其他,1,146109,408033954
202107,68000000,其他,2,203614,612360421
202108,68000000,其他,1,151736,436489241
202108,68000000,其他,2,215766,710232359
202109,68000000,其他,1,156640,465150602
202109,68000000,其他,2,226656,848468059
202110,68000000,其他,1,160918,495869526
202110,68000000,其他,2,224099,757732147
202111,68000000,其他,1,160357,491022085
202111,68000000,其他,2,218996,726667339
202112,68000000,其他,1,167728,513647016
202112,68000000,其他,2,235477,835458555
202201,68000000,其他,1,168723,503094255
202201,68000000,其他,2,231717,710383986
202202,68000000,其他,1,134552,374549737
202202,68000000,其他,2,179093,517797594
202203,68000000,其他,1,171220,548446525
202203,68000000,其他,2,241865,933138765
202204,68000000,其他,1,175326,485447892
202204,68000000,其他,2,249862,745710301
202205,68000000,其他,1,189485,744980134
202205,68000000,其他,2,266679,762238333
202206,68000000,其他,1,175158,444271293
202206,68000000,其他,2,240864,683937584
202207,68000000,其他,1,182139,459451497
202207,68000000,其他,2,249430,690602146
202208,68000000,其他,1,201169,463210392
202208,68000000,其他,2,261367,722765507
202209,68000000,其他,1,205899,527557747
202209,68000000,其他,2,257091,945656021
202210,68000000,其他,1,207727,758548722
202210,68000000,其他,2,257499,797623468
202211,68000000,其他,1,204657,526670475
202211,68000000,其他,2,255311,781564453
202212,68000000,其他,1,222037,554796221
202212,68000000,其他,2,278491,867916597
202301,68000000,其他,1,212793,489957915
202301,68000000,其他,2,243527,687187928
202302,68000000,其他,1,203270,474551207
202302,68000000,其他,2,240730,708470931
202303,68000000,其他,1,228178,603171157
202303,68000000,其他,2,280954,1150659855
202304,68000000,其他,1,214176,503808792
202304,68000000,其他,2,254594,732075701
202305,68000000,其他,1,231088,548763697
202305,68000000,其他,2,283385,824017979
202306,68000000,其他,1,222186,517727635
202306,68000000,其他,2,277930,785812295
202307,68000000,其他,1,233005,524725496
202307,68000000,其他,2,282029,780891170
202308,68000000,其他,1,238181,542126944
202308,68000000,其他,2,285148,808316316
