年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,行,1,737545,993292069
201401,68000000,行,2,357923,471741303
201402,68000000,行,1,638456,888721490
201402,68000000,行,2,309059,447500329
201403,68000000,行,1,737259,1071266394
201403,68000000,行,2,363985,583168042
201404,68000000,行,1,705768,994614191
201404,68000000,行,2,346100,525322976
201405,68000000,行,1,748042,1067560032
201405,68000000,行,2,370442,584526740
201406,68000000,行,1,742996,1055677363
201406,68000000,行,2,364819,554822968
201407,68000000,行,1,781602,1111751326
201407,68000000,行,2,383038,581478047
201408,68000000,行,1,788774,1083070656
201408,68000000,行,2,388837,555412472
201409,68000000,行,1,757196,1030915198
201409,68000000,行,2,372050,545961358
201410,68000000,行,1,774248,1047466386
201410,68000000,行,2,385108,584636822
201411,68000000,行,1,742991,977622827
201411,68000000,行,2,372158,561304416
201412,68000000,行,1,793510,991689432
201412,68000000,行,2,395137,576742286
201501,68000000,行,1,747461,887190740
201501,68000000,行,2,368282,546652593
201502,68000000,行,1,669240,801119596
201502,68000000,行,2,322659,494085088
201503,68000000,行,1,768493,1003131151
201503,68000000,行,2,379193,643141464
201504,68000000,行,1,735633,955785018
201504,68000000,行,2,363363,616032612
201505,68000000,行,1,771408,1045610181
201505,68000000,行,2,386594,696364303
201506,68000000,行,1,793352,1056361621
201506,68000000,行,2,392340,682564705
201507,68000000,行,1,806696,1013932268
201507,68000000,行,2,399084,628274561
201508,68000000,行,1,787850,927074138
201508,68000000,行,2,390019,572841164
201509,68000000,行,1,774387,915636554
201509,68000000,行,2,380227,568037607
201510,68000000,行,1,802929,1023188377
201510,68000000,行,2,398888,696503111
201511,68000000,行,1,776697,971018045
201511,68000000,行,2,386865,644669787
201512,68000000,行,1,790708,945697787
201512,68000000,行,2,391053,615972977
201601,68000000,行,1,550942,758132783
201601,68000000,行,2,273829,591715808
201602,68000000,行,1,463204,690915830
201602,68000000,行,2,229398,555817466
201603,68000000,行,1,538999,899267909
201603,68000000,行,2,272452,777238217
201604,68000000,行,1,513675,809486701
201604,68000000,行,2,258248,665643463
201605,68000000,行,1,544314,878660368
201605,68000000,行,2,274631,694983445
201606,68000000,行,1,570544,913255315
201606,68000000,行,2,288955,706132813
201607,68000000,行,1,562771,862266926
201607,68000000,行,2,282578,639172897
201608,68000000,行,1,626744,901859531
201608,68000000,行,2,307910,661141820
201609,68000000,行,1,569171,833872458
201609,68000000,行,2,280797,643382050
201610,68000000,行,1,614136,1015084565
201610,68000000,行,2,306212,827254070
201611,68000000,行,1,586880,1014390362
201611,68000000,行,2,299113,822655576
201612,68000000,行,1,619581,1077184180
201612,68000000,行,2,316755,847443247
201701,68000000,行,1,540125,937920895
201701,68000000,行,2,279151,744229045
201702,68000000,行,1,487055,993754896
201702,68000000,行,2,260860,871113907
201703,68000000,行,1,574370,1157115611
201703,68000000,行,2,306761,1020272837
201704,68000000,行,1,569640,1008415044
201704,68000000,行,2,297500,815953109
201705,68000000,行,1,553838,1003566629
201705,68000000,行,2,292496,807697236
201706,68000000,行,1,499539,1112311954
201706,68000000,行,2,270662,878068820
201707,68000000,行,1,522606,981645130
201707,68000000,行,2,280274,794091583
201708,68000000,行,1,543265,1064658496
201708,68000000,行,2,297684,883059038
201709,68000000,行,1,528801,1076648532
201709,68000000,行,2,290633,927483261
201710,68000000,行,1,547223,1210765648
201710,68000000,行,2,309181,1115605474
201711,68000000,行,1,523963,1069395270
201711,68000000,行,2,288188,867809388
201712,68000000,行,1,560835,1210909174
201712,68000000,行,2,315652,1054210532
201801,68000000,行,1,499399,1075719473
201801,68000000,行,2,277063,905155423
201802,68000000,行,1,464823,906148657
201802,68000000,行,2,255746,761602739
201803,68000000,行,1,559793,1290724346
201803,68000000,行,2,319657,1187619802
201804,68000000,行,1,585121,1164441292
201804,68000000,行,2,325699,963628294
201805,68000000,行,1,679280,1287786884
201805,68000000,行,2,374190,1044640573
201806,68000000,行,1,671443,1205385640
201806,68000000,行,2,366878,898300746
201807,68000000,行,1,696947,1331644380
201807,68000000,行,2,388897,1088347827
201808,68000000,行,1,645616,1197577734
201808,68000000,行,2,358215,903144269
201809,68000000,行,1,664959,1184343738
201809,68000000,行,2,365698,890910352
201810,68000000,行,1,610008,1092998300
201810,68000000,行,2,340609,828289579
201811,68000000,行,1,661880,1196032753
201811,68000000,行,2,375995,941141985
201812,68000000,行,1,698930,1277415284
201812,68000000,行,2,396709,1062626261
201901,68000000,行,1,655327,1152009298
201901,68000000,行,2,363683,906428676
201902,68000000,行,1,529681,1003439008
201902,68000000,行,2,294355,829487452
201903,68000000,行,1,674775,1340524285
201903,68000000,行,2,387249,1115957232
201904,68000000,行,1,655867,1234559829
201904,68000000,行,2,372659,1012682188
201905,68000000,行,1,655193,1242687603
201905,68000000,行,2,373088,1005680589
201906,68000000,行,1,634226,1090604767
201906,68000000,行,2,355011,834678042
201907,68000000,行,1,736754,1440445328
201907,68000000,行,2,420676,1183667662
201908,68000000,行,1,691832,1207117661
201908,68000000,行,2,394032,916978967
201909,68000000,行,1,629184,1032533197
201909,68000000,行,2,357439,780515201
201910,68000000,行,1,709907,1296803988
201910,68000000,行,2,405149,1072732238
201911,68000000,行,1,703637,1295342797
201911,68000000,行,2,409940,1051406123
201912,68000000,行,1,707145,1220996593
201912,68000000,行,2,406171,929139007
202001,68000000,行,1,674278,1035623165
202001,68000000,行,2,382836,766894377
202002,68000000,行,1,624217,743510197
202002,68000000,行,2,342025,464600432
202003,68000000,行,1,639510,565908080
202003,68000000,行,2,338897,295273360
202004,68000000,行,1,584744,410224809
202004,68000000,行,2,306541,188827827
202005,68000000,行,1,621319,441204568
202005,68000000,行,2,316792,204398821
202006,68000000,行,1,610298,553104672
202006,68000000,行,2,322331,306569417
202007,68000000,行,1,713637,644505501
202007,68000000,行,2,378184,326478542
202008,68000000,行,1,719679,652495027
202008,68000000,行,2,389882,348435291
202009,68000000,行,1,695516,645727165
202009,68000000,行,2,378645,351370401
202010,68000000,行,1,810372,732278722
202010,68000000,行,2,452020,418272390
202011,68000000,行,1,786978,709301262
202011,68000000,行,2,442895,401917697
202012,68000000,行,1,827118,783074244
202012,68000000,行,2,461865,438350318
202101,68000000,行,1,815027,789016083
202101,68000000,行,2,451672,421091254
202102,68000000,行,1,719136,917104676
202102,68000000,行,2,392889,463329115
202103,68000000,行,1,819908,1092068836
202103,68000000,行,2,455576,561616051
202104,68000000,行,1,830184,1129524099
202104,68000000,行,2,468911,596956079
202105,68000000,行,1,761568,1108164813
202105,68000000,行,2,412591,571837831
202106,68000000,行,1,658304,1046396072
202106,68000000,行,2,350112,632593010
202107,68000000,行,1,762194,1162402749
202107,68000000,行,2,407261,607151147
202108,68000000,行,1,861073,1241265659
202108,68000000,行,2,468143,644941989
202109,68000000,行,1,868060,1220639163
202109,68000000,行,2,473546,630855849
202110,68000000,行,1,926822,1372326406
202110,68000000,行,2,513177,738428691
202111,68000000,行,1,904795,1455053062
202111,68000000,行,2,509825,784822118
202112,68000000,行,1,972580,1563842075
202112,68000000,行,2,550613,823207444
202201,68000000,行,1,896951,1408406382
202201,68000000,行,2,497190,735120576
202202,68000000,行,1,789456,1232052743
202202,68000000,行,2,448214,647635569
202203,68000000,行,1,964713,1661692320
