年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,衣,1,6403,18768011
201401,10002000,衣,2,23782,78880093
201402,10002000,衣,1,3346,8890864
201402,10002000,衣,2,13961,44748162
201403,10002000,衣,1,3450,8558506
201403,10002000,衣,2,15885,50506730
201404,10002000,衣,1,3546,8738854
201404,10002000,衣,2,15690,49241639
201405,10002000,衣,1,3945,10202971
201405,10002000,衣,2,16518,52106605
201406,10002000,衣,1,3963,9146964
201406,10002000,衣,2,16575,48807146
201407,10002000,衣,1,4381,10441766
201407,10002000,衣,2,17284,48750568
201408,10002000,衣,1,5100,11702696
201408,10002000,衣,2,17880,48625996
201409,10002000,衣,1,3651,8911862
201409,10002000,衣,2,15285,46172350
201410,10002000,衣,1,4027,10248909
201410,10002000,衣,2,17097,54797519
201411,10002000,衣,1,3567,10185993
201411,10002000,衣,2,15496,54254995
201412,10002000,衣,1,4106,12159387
201412,10002000,衣,2,18127,65683012
201501,10002000,衣,1,4607,12602674
201501,10002000,衣,2,18797,67820466
201502,10002000,衣,1,6212,17680814
201502,10002000,衣,2,22024,72292690
201503,10002000,衣,1,3333,8611130
201503,10002000,衣,2,15551,50581259
201504,10002000,衣,1,3720,9485512
201504,10002000,衣,2,16392,51005351
201505,10002000,衣,1,4424,10998393
201505,10002000,衣,2,18013,55876624
201506,10002000,衣,1,4308,10133944
201506,10002000,衣,2,16898,48926220
201507,10002000,衣,1,4776,11409189
201507,10002000,衣,2,18428,52402240
201508,10002000,衣,1,4351,10940884
201508,10002000,衣,2,15896,45016566
201509,10002000,衣,1,3767,9438881
201509,10002000,衣,2,15109,46317193
201510,10002000,衣,1,4228,11488155
201510,10002000,衣,2,16641,53450666
201511,10002000,衣,1,4007,11513617
201511,10002000,衣,2,15732,52770858
201512,10002000,衣,1,4079,10848696
201512,10002000,衣,2,17016,58206626
201601,10002000,衣,1,5049,14133873
201601,10002000,衣,2,19207,67727708
201602,10002000,衣,1,5252,14365256
201602,10002000,衣,2,17808,57149814
201603,10002000,衣,1,2992,7727833
201603,10002000,衣,2,13106,43425583
201604,10002000,衣,1,4138,9824134
201604,10002000,衣,2,16852,50452887
201605,10002000,衣,1,4319,10221945
201605,10002000,衣,2,17537,52661096
201606,10002000,衣,1,4377,10113359
201606,10002000,衣,2,17437,49924061
201607,10002000,衣,1,4645,10818410
201607,10002000,衣,2,17518,48110313
201608,10002000,衣,1,4447,10708592
201608,10002000,衣,2,16870,46954116
201609,10002000,衣,1,3203,7946336
201609,10002000,衣,2,12712,39624173
201610,10002000,衣,1,3837,9813184
201610,10002000,衣,2,14227,45265739
201611,10002000,衣,1,3800,10791097
201611,10002000,衣,2,14693,50338842
201612,10002000,衣,1,4262,12103218
201612,10002000,衣,2,16699,57794225
201701,10002000,衣,1,5088,14778569
201701,10002000,衣,2,20164,68739637
201702,10002000,衣,1,3312,9008407
201702,10002000,衣,2,13911,46221825
