年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,百貨,1,34186,51573516
201401,10002000,百貨,2,61406,98598334
201402,10002000,百貨,1,26202,37481937
201402,10002000,百貨,2,46259,75511799
201403,10002000,百貨,1,25952,34214581
201403,10002000,百貨,2,47000,75856551
201404,10002000,百貨,1,25456,32236752
201404,10002000,百貨,2,46992,72336824
201405,10002000,百貨,1,29234,40768783
201405,10002000,百貨,2,53631,87618578
201406,10002000,百貨,1,30765,38176088
201406,10002000,百貨,2,54203,76567836
201407,10002000,百貨,1,33638,40490765
201407,10002000,百貨,2,61402,82596222
201408,10002000,百貨,1,34963,46811313
201408,10002000,百貨,2,63878,93495229
201409,10002000,百貨,1,28494,37856097
201409,10002000,百貨,2,52586,95737803
201410,10002000,百貨,1,33193,52881680
201410,10002000,百貨,2,66140,125787105
201411,10002000,百貨,1,30035,42014263
201411,10002000,百貨,2,55783,87512186
201412,10002000,百貨,1,33799,48137947
201412,10002000,百貨,2,61815,97210228
201501,10002000,百貨,1,32751,47334237
201501,10002000,百貨,2,57098,92567679
201502,10002000,百貨,1,38318,60910101
201502,10002000,百貨,2,67601,116494570
201503,10002000,百貨,1,27442,36110276
201503,10002000,百貨,2,50624,90422190
201504,10002000,百貨,1,29766,37389135
201504,10002000,百貨,2,53756,84804018
201505,10002000,百貨,1,33061,46585920
201505,10002000,百貨,2,60900,101095868
201506,10002000,百貨,1,33534,41293882
201506,10002000,百貨,2,59279,84024431
201507,10002000,百貨,1,34600,41410041
201507,10002000,百貨,2,63396,90611435
201508,10002000,百貨,1,38696,50834629
201508,10002000,百貨,2,70091,101097418
201509,10002000,百貨,1,29353,38727932
201509,10002000,百貨,2,54677,103684133
201510,10002000,百貨,1,36114,54916461
201510,10002000,百貨,2,72855,138872636
201511,10002000,百貨,1,31841,40354654
201511,10002000,百貨,2,56085,83738999
201512,10002000,百貨,1,35283,47673985
201512,10002000,百貨,2,63556,97682999
201601,10002000,百貨,1,40046,59755574
201601,10002000,百貨,2,75787,134463324
201602,10002000,百貨,1,39671,59050867
201602,10002000,百貨,2,69923,118674539
201603,10002000,百貨,1,28903,34615455
201603,10002000,百貨,2,53297,88245894
201604,10002000,百貨,1,30510,36089963
201604,10002000,百貨,2,52747,78647910
201605,10002000,百貨,1,33329,41039230
201605,10002000,百貨,2,58694,88833029
201606,10002000,百貨,1,37606,42253228
201606,10002000,百貨,2,64657,84447393
201607,10002000,百貨,1,39012,41403025
201607,10002000,百貨,2,68745,87234162
201608,10002000,百貨,1,37257,44641839
201608,10002000,百貨,2,66780,91433737
201609,10002000,百貨,1,31145,38679369
201609,10002000,百貨,2,54320,99603241
201610,10002000,百貨,1,33384,43201739
201610,10002000,百貨,2,59344,95849725
201611,10002000,百貨,1,31416,34882001
201611,10002000,百貨,2,54699,73278218
201612,10002000,百貨,1,36161,44120475
201612,10002000,百貨,2,62550,88529849
201701,10002000,百貨,1,40951,54011797
201701,10002000,百貨,2,67471,105009035
201702,10002000,百貨,1,29557,34902389
201702,10002000,百貨,2,49985,70106938
201703,10002000,百貨,1,30168,32132405
201703,10002000,百貨,2,50471,75512426
201704,10002000,百貨,1,34114,36682755
201704,10002000,百貨,2,57664,78416596
201705,10002000,百貨,1,34992,40003854
201705,10002000,百貨,2,58915,85376196
201706,10002000,百貨,1,31649,30124800
201706,10002000,百貨,2,50518,56854195
201707,10002000,百貨,1,37637,34441942
201707,10002000,百貨,2,59910,67501513
201708,10002000,百貨,1,37653,37581839
201708,10002000,百貨,2,61729,73183544
201709,10002000,百貨,1,32756,34018410
201709,10002000,百貨,2,51607,73690558
201710,10002000,百貨,1,35585,43470957
201710,10002000,百貨,2,58891,92412396
201711,10002000,百貨,1,29952,32913312
201711,10002000,百貨,2,49196,63279345
201712,10002000,百貨,1,35468,41917342
201712,10002000,百貨,2,59106,78546648
201801,10002000,百貨,1,32906,34090486
201801,10002000,百貨,2,53188,67717983
201802,10002000,百貨,1,40125,49204345
201802,10002000,百貨,2,63942,91480154
201803,10002000,百貨,1,30107,27346321
201803,10002000,百貨,2,48799,62392406
201804,10002000,百貨,1,20737,26283437
201804,10002000,百貨,2,37741,55052369
201805,10002000,百貨,1,11360,22202317
201805,10002000,百貨,2,28837,56782992
201806,10002000,百貨,1,11218,20389622
201806,10002000,百貨,2,27711,48045294
201807,10002000,百貨,1,11277,19293653
201807,10002000,百貨,2,28363,47372025
201808,10002000,百貨,1,11042,19947000
201808,10002000,百貨,2,26844,46985283
201809,10002000,百貨,1,10616,23516118
201809,10002000,百貨,2,25325,58556652
201810,10002000,百貨,1,9511,21822618
201810,10002000,百貨,2,25591,58153725
201811,10002000,百貨,1,8933,17213283
201811,10002000,百貨,2,22157,41040859
201812,10002000,百貨,1,14041,27988714
201812,10002000,百貨,2,31781,59163931
201901,10002000,百貨,1,12371,25287453
201901,10002000,百貨,2,27556,55595230
201902,10002000,百貨,1,14139,29325053
201902,10002000,百貨,2,28976,58379256
201903,10002000,百貨,1,11429,21210597
201903,10002000,百貨,2,25531,53772386
201904,10002000,百貨,1,11957,21575712
201904,10002000,百貨,2,26047,47424230
201905,10002000,百貨,1,12326,23346893
201905,10002000,百貨,2,25937,49157588
201906,10002000,百貨,1,13083,22201146
201906,10002000,百貨,2,28122,47310945
201907,10002000,百貨,1,13657,22678710
201907,10002000,百貨,2,30813,49685416
201908,10002000,百貨,1,14669,23469081
201908,10002000,百貨,2,31334,50511789
201909,10002000,百貨,1,11644,21356735
201909,10002000,百貨,2,24881,53049324
201910,10002000,百貨,1,13329,26131312
201910,10002000,百貨,2,30173,64516255
201911,10002000,百貨,1,13339,24728965
201911,10002000,百貨,2,28869,51835622
201912,10002000,百貨,1,14688,26514210
201912,10002000,百貨,2,30866,53375634
202001,10002000,百貨,1,17165,35493383
202001,10002000,百貨,2,36431,72693465
202002,10002000,百貨,1,11500,19931797
202002,10002000,百貨,2,25940,45423205
202003,10002000,百貨,1,10207,19560145
202003,10002000,百貨,2,24647,55971933
202004,10002000,百貨,1,10216,18695582
202004,10002000,百貨,2,23717,44146292
202005,10002000,百貨,1,14727,28678368
202005,10002000,百貨,2,33987,67631225
202006,10002000,百貨,1,16712,27539640
202006,10002000,百貨,2,37154,64404385
202007,10002000,百貨,1,18382,28853848
202007,10002000,百貨,2,40806,67912045
202008,10002000,百貨,1,19594,32988427
202008,10002000,百貨,2,42664,72602460
202009,10002000,百貨,1,15934,29848897
202009,10002000,百貨,2,35679,90407266
202010,10002000,百貨,1,20977,43884605
202010,10002000,百貨,2,48671,113977030
202011,10002000,百貨,1,17658,32596768
202011,10002000,百貨,2,37052,67932338
202012,10002000,百貨,1,24435,39888446
202012,10002000,百貨,2,49044,81976017
202101,10002000,百貨,1,30081,46371861
202101,10002000,百貨,2,56671,95673889
202102,10002000,百貨,1,100247,96006920
202102,10002000,百貨,2,149202,163087146
202103,10002000,百貨,1,85421,66896173
202103,10002000,百貨,2,130694,138378369
202104,10002000,百貨,1,99353,80408077
202104,10002000,百貨,2,146850,146715707
202105,10002000,百貨,1,102463,85747558
202105,10002000,百貨,2,145169,146141831
202106,10002000,百貨,1,87544,64641107
202106,10002000,百貨,2,116072,99007114
202107,10002000,百貨,1,98312,73679811
202107,10002000,百貨,2,134358,117982869
202108,10002000,百貨,1,119700,112374016
202108,10002000,百貨,2,172204,181625088
202109,10002000,百貨,1,105097,86854919
202109,10002000,百貨,2,147927,169310283
202110,10002000,百貨,1,107056,89168351
202110,10002000,百貨,2,151306,150076398
202111,10002000,百貨,1,99818,91738059
202111,10002000,百貨,2,145174,169595664
202112,10002000,百貨,1,107335,93177780
202112,10002000,百貨,2,152387,154289641
202201,10002000,百貨,1,113769,110108214
202201,10002000,百貨,2,159992,178296771
202202,10002000,百貨,1,99012,89100194
202202,10002000,百貨,2,139742,147217434
202203,10002000,百貨,1,97347,76929943
202203,10002000,百貨,2,142904,152462059
202204,10002000,百貨,1,98952,77262331
202204,10002000,百貨,2,136616,128365324
202205,10002000,百貨,1,103746,81736305
202205,10002000,百貨,2,141138,130703080
202206,10002000,百貨,1,116782,89878249
202206,10002000,百貨,2,163426,150953544
202207,10002000,百貨,1,135608,114209460
202207,10002000,百貨,2,194457,187046774
202208,10002000,百貨,1,128892,115205452
202208,10002000,百貨,2,187883,193749378
202209,10002000,百貨,1,106851,91178656
202209,10002000,百貨,2,150799,181998173
202210,10002000,百貨,1,110860,97125571
202210,10002000,百貨,2,156920,165030341
202211,10002000,百貨,1,101270,89716496
202211,10002000,百貨,2,146186,168205310
202212,10002000,百貨,1,115483,105726334
202212,10002000,百貨,2,164924,176622622
202301,10002000,百貨,1,128724,131450634
202301,10002000,百貨,2,183430,219043908
202302,10002000,百貨,1,95496,77812087
202302,10002000,百貨,2,135812,131205528
202303,10002000,百貨,1,101976,78252612
202303,10002000,百貨,2,142441,146027780
202304,10002000,百貨,1,111731,89890316
202304,10002000,百貨,2,153615,150864327
202305,10002000,百貨,1,109720,90375316
202305,10002000,百貨,2,152540,162508222
202306,10002000,百貨,1,117231,92380338
202306,10002000,百貨,2,159544,150711296
202307,10002000,百貨,1,131218,104074744
202307,10002000,百貨,2,181749,176018820
202308,10002000,百貨,1,134944,117688820
202308,10002000,百貨,2,189112,190094091
