年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,食,1,44557,71839043
201401,10002000,食,2,57818,80075857
201402,10002000,食,1,35483,51788132
201402,10002000,食,2,46115,57137619
201403,10002000,食,1,36055,46099004
201403,10002000,食,2,47943,51886356
201404,10002000,食,1,34820,42909724
201404,10002000,食,2,47178,50917715
201405,10002000,食,1,39644,51179198
201405,10002000,食,2,52319,60546470
201406,10002000,食,1,39950,49982851
201406,10002000,食,2,52865,60705669
201407,10002000,食,1,47252,61604324
201407,10002000,食,2,64413,75191778
201408,10002000,食,1,50973,74470882
201408,10002000,食,2,69430,89224629
201409,10002000,食,1,38175,49806078
201409,10002000,食,2,50384,56734453
201410,10002000,食,1,39714,49892898
201410,10002000,食,2,52783,58901156
201411,10002000,食,1,38387,48425919
201411,10002000,食,2,50514,56222419
201412,10002000,食,1,40243,53258964
201412,10002000,食,2,52480,60948583
201501,10002000,食,1,43366,63562632
201501,10002000,食,2,55141,69040210
201502,10002000,食,1,47867,78525877
201502,10002000,食,2,61196,85740334
201503,10002000,食,1,35633,44985920
201503,10002000,食,2,46524,51452067
201504,10002000,食,1,38993,51279568
201504,10002000,食,2,50346,58028102
201505,10002000,食,1,43194,56067454
201505,10002000,食,2,56019,64217488
201506,10002000,食,1,43664,52975610
201506,10002000,食,2,56135,61657681
201507,10002000,食,1,49560,60771295
201507,10002000,食,2,65905,72199287
201508,10002000,食,1,55971,74456963
201508,10002000,食,2,77333,93499920
201509,10002000,食,1,44378,55299039
201509,10002000,食,2,57863,67111865
201510,10002000,食,1,46096,55145376
201510,10002000,食,2,60065,64312595
201511,10002000,食,1,44008,52132382
201511,10002000,食,2,56857,60549765
201512,10002000,食,1,46530,57969640
201512,10002000,食,2,60049,66953786
201601,10002000,食,1,51389,75400799
201601,10002000,食,2,65238,81652604
201602,10002000,食,1,50366,73272883
201602,10002000,食,2,62857,82575597
201603,10002000,食,1,40384,50319549
201603,10002000,食,2,51363,57019422
201604,10002000,食,1,44516,54150986
201604,10002000,食,2,55905,64546720
201605,10002000,食,1,46170,55547231
201605,10002000,食,2,57659,65034924
201606,10002000,食,1,50804,58153627
201606,10002000,食,2,63617,68986997
201607,10002000,食,1,57144,69335770
201607,10002000,食,2,74031,83721316
201608,10002000,食,1,57052,74802199
201608,10002000,食,2,76163,93292101
201609,10002000,食,1,46735,53723827
201609,10002000,食,2,58997,67200146
201610,10002000,食,1,51488,57375892
201610,10002000,食,2,65498,70579760
201611,10002000,食,1,46411,52609232
201611,10002000,食,2,59182,62832099
201612,10002000,食,1,51097,62183053
201612,10002000,食,2,64058,71071271
201701,10002000,食,1,58206,91686391
201701,10002000,食,2,72648,100686451
201702,10002000,食,1,45680,55738536
201702,10002000,食,2,56880,64520988
201703,10002000,食,1,43342,47934959
201703,10002000,食,2,55586,58498482
201704,10002000,食,1,49561,57460598
201704,10002000,食,2,61712,70256116
201705,10002000,食,1,52555,62129274
201705,10002000,食,2,64879,73697424
201706,10002000,食,1,47388,53335946
201706,10002000,食,2,59696,63866287
201707,10002000,食,1,58956,66045651
201707,10002000,食,2,76514,81812356
201708,10002000,食,1,63232,77830897
