年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,住,1,26367,161663524
201401,10002000,住,2,27512,181264039
201402,10002000,住,1,22786,124916544
201402,10002000,住,2,24349,146935164
201403,10002000,住,1,20807,115658787
201403,10002000,住,2,21316,131803596
201404,10002000,住,1,20723,126827716
201404,10002000,住,2,21775,142740949
201405,10002000,住,1,23193,143918294
201405,10002000,住,2,24985,164543906
201406,10002000,住,1,23305,143106315
201406,10002000,住,2,25106,170160314
201407,10002000,住,1,28619,184278473
201407,10002000,住,2,30853,209923587
201408,10002000,住,1,30585,188933849
201408,10002000,住,2,34566,220988312
201409,10002000,住,1,21273,129179625
201409,10002000,住,2,23067,145450825
201410,10002000,住,1,24237,146268466
201410,10002000,住,2,26668,167459024
201411,10002000,住,1,26412,173590663
201411,10002000,住,2,29831,218821665
201412,10002000,住,1,26303,159932510
201412,10002000,住,2,27279,175450448
201501,10002000,住,1,26272,161662381
201501,10002000,住,2,27323,176467437
201502,10002000,住,1,27001,168117837
201502,10002000,住,2,29501,198603281
201503,10002000,住,1,20735,122727495
201503,10002000,住,2,21938,134224193
201504,10002000,住,1,21189,133934789
201504,10002000,住,2,22606,153497517
201505,10002000,住,1,21699,139073325
201505,10002000,住,2,23523,162346898
201506,10002000,住,1,22104,140560966
201506,10002000,住,2,23673,160731316
201507,10002000,住,1,27141,174177669
201507,10002000,住,2,29660,201142230
201508,10002000,住,1,26194,155782324
201508,10002000,住,2,28292,183436029
201509,10002000,住,1,22185,131202612
201509,10002000,住,2,23337,147852030
201510,10002000,住,1,24607,154127265
201510,10002000,住,2,26047,176427347
201511,10002000,住,1,27034,182574995
201511,10002000,住,2,30001,220944809
201512,10002000,住,1,26141,163849752
201512,10002000,住,2,28102,181207566
201601,10002000,住,1,26615,157862159
201601,10002000,住,2,28193,185089189
201602,10002000,住,1,24357,153630976
201602,10002000,住,2,26969,180651856
201603,10002000,住,1,19338,104194318
201603,10002000,住,2,20200,114481541
201604,10002000,住,1,20482,121407651
201604,10002000,住,2,21375,132520595
201605,10002000,住,1,20825,126016581
201605,10002000,住,2,22707,144029652
201606,10002000,住,1,23251,135579087
201606,10002000,住,2,25094,161001539
201607,10002000,住,1,26571,162256235
201607,10002000,住,2,29195,183433437
201608,10002000,住,1,25940,146806962
201608,10002000,住,2,29329,168187256
201609,10002000,住,1,18123,106918376
201609,10002000,住,2,19207,119725189
201610,10002000,住,1,21433,129624445
201610,10002000,住,2,22369,143346376
201611,10002000,住,1,25132,166328548
201611,10002000,住,2,28476,207915730
201612,10002000,住,1,26251,155352012
201612,10002000,住,2,27657,178972865
201701,10002000,住,1,25217,156936337
201701,10002000,住,2,27486,186402576
201702,10002000,住,1,24326,125944728
201702,10002000,住,2,27288,153577234
201703,10002000,住,1,20021,113266557
201703,10002000,住,2,20921,125185886
201704,10002000,住,1,22552,142930245
201704,10002000,住,2,24496,165511079
201705,10002000,住,1,22533,136408746
201705,10002000,住,2,24825,163483610
201706,10002000,住,1,20129,126237437
201706,10002000,住,2,22207,145699858
201707,10002000,住,1,29426,176847545
201707,10002000,住,2,31885,202022231
201708,10002000,住,1,31653,185927178
201708,10002000,住,2,35857,215960161
201709,10002000,住,1,22056,134214696
201709,10002000,住,2,24662,156410346
201710,10002000,住,1,28964,198698441
201710,10002000,住,2,33256,243481094
201711,10002000,住,1,27175,174582317
201711,10002000,住,2,29694,212658404
201712,10002000,住,1,30073,183965140
201712,10002000,住,2,31052,204241080
201801,10002000,住,1,23133,138882975
201801,10002000,住,2,25189,167455451
201802,10002000,住,1,25718,163256218
201802,10002000,住,2,28722,203587764
201803,10002000,住,1,20721,127547296
201803,10002000,住,2,23110,150377024
201804,10002000,住,1,24243,151703128
201804,10002000,住,2,26934,186587330
201805,10002000,住,1,23065,157967434
201805,10002000,住,2,28288,199342781
201806,10002000,住,1,23712,140131145
201806,10002000,住,2,27417,178219078
201807,10002000,住,1,30243,181099724
201807,10002000,住,2,34903,231942701
201808,10002000,住,1,31596,181061821
201808,10002000,住,2,36819,224288600
201809,10002000,住,1,23561,138348346
201809,10002000,住,2,26182,161574762
201810,10002000,住,1,22497,135851366
201810,10002000,住,2,25179,158578412
201811,10002000,住,1,28821,196821933
201811,10002000,住,2,33891,235071819
201812,10002000,住,1,32230,178598225
201812,10002000,住,2,36163,219125847
201901,10002000,住,1,28569,159464390
201901,10002000,住,2,33250,198085421
201902,10002000,住,1,23026,138105587
201902,10002000,住,2,27383,174956313
201903,10002000,住,1,23087,136679011
201903,10002000,住,2,26048,155255095
201904,10002000,住,1,23091,140287709
201904,10002000,住,2,26379,175617422
201905,10002000,住,1,23255,148619981
201905,10002000,住,2,26984,170346334
201906,10002000,住,1,25029,151234674
201906,10002000,住,2,29427,186218602
201907,10002000,住,1,34062,212906301
201907,10002000,住,2,38772,250711627
201908,10002000,住,1,34935,195402446
201908,10002000,住,2,40457,232346279
201909,10002000,住,1,24238,133275970
201909,10002000,住,2,27758,160214743
201910,10002000,住,1,30480,183566892
201910,10002000,住,2,33942,223009712
201911,10002000,住,1,34049,214591576
201911,10002000,住,2,39486,264871771
201912,10002000,住,1,32373,173611708
201912,10002000,住,2,35275,206128324
202001,10002000,住,1,32482,192977652
202001,10002000,住,2,37505,248096240
202002,10002000,住,1,31742,142369296
202002,10002000,住,2,35129,163953918
202003,10002000,住,1,23495,98179356
202003,10002000,住,2,24754,111045389
202004,10002000,住,1,24270,103601395
202004,10002000,住,2,24945,114874791
202005,10002000,住,1,32612,152214416
202005,10002000,住,2,38436,190067794
202006,10002000,住,1,38159,205902038
202006,10002000,住,2,46755,266831174
202007,10002000,住,1,44792,266097693
202007,10002000,住,2,54582,335282890
202008,10002000,住,1,43944,257382600
202008,10002000,住,2,53441,307635430
202009,10002000,住,1,33928,194381623
202009,10002000,住,2,41062,242652807
202010,10002000,住,1,45037,279827344
202010,10002000,住,2,54172,353145081
202011,10002000,住,1,39089,251114663
202011,10002000,住,2,46602,314534589
202012,10002000,住,1,37145,206981721
202012,10002000,住,2,42222,263241948
202101,10002000,住,1,41657,232215860
202101,10002000,住,2,46524,266605942
202102,10002000,住,1,38023,217279522
202102,10002000,住,2,45460,269645446
202103,10002000,住,1,31438,158605081
202103,10002000,住,2,37539,201514459
202104,10002000,住,1,37285,211396952
202104,10002000,住,2,44071,264066123
202105,10002000,住,1,21845,116662024
202105,10002000,住,2,21638,131334430
202106,10002000,住,1,13167,52403488
202106,10002000,住,2,10168,45863577
202107,10002000,住,1,19132,89042970
202107,10002000,住,2,18405,95782305
202108,10002000,住,1,35161,167232921
202108,10002000,住,2,38527,192530254
202109,10002000,住,1,37377,184480135
202109,10002000,住,2,41017,227167557
202110,10002000,住,1,46286,261408647
202110,10002000,住,2,53144,338084147
202111,10002000,住,1,48290,312037474
202111,10002000,住,2,56071,395695220
202112,10002000,住,1,45493,260676842
202112,10002000,住,2,51826,316878243
202201,10002000,住,1,38545,227321778
202201,10002000,住,2,41705,258814908
202202,10002000,住,1,35876,201383995
202202,10002000,住,2,40961,245058794
202203,10002000,住,1,36563,193826528
202203,10002000,住,2,43760,266670776
202204,10002000,住,1,34476,203679706
202204,10002000,住,2,38527,258409344
202205,10002000,住,1,28813,133558209
202205,10002000,住,2,30179,158609759
202206,10002000,住,1,41563,201518333
202206,10002000,住,2,48651,255453952
202207,10002000,住,1,57608,317931027
202207,10002000,住,2,70929,418073005
202208,10002000,住,1,55296,297348526
202208,10002000,住,2,68360,391222284
202209,10002000,住,1,41293,246641585
202209,10002000,住,2,51030,361324615
202210,10002000,住,1,42642,258735197
202210,10002000,住,2,50581,345644133
202211,10002000,住,1,41760,271948433
202211,10002000,住,2,50069,353654227
202212,10002000,住,1,44266,254813847
202212,10002000,住,2,50508,310152820
202301,10002000,住,1,46097,303457353
202301,10002000,住,2,52659,362631393
202302,10002000,住,1,41145,216013535
202302,10002000,住,2,49211,272657586
202303,10002000,住,1,36983,206298086
202303,10002000,住,2,43102,276265364
202304,10002000,住,1,43741,250146121
202304,10002000,住,2,50566,304924216
202305,10002000,住,1,38865,215948143
202305,10002000,住,2,44557,274971361
202306,10002000,住,1,44256,259466790
202306,10002000,住,2,50681,297990869
202307,10002000,住,1,49598,290819891
202307,10002000,住,2,57830,345831043
202308,10002000,住,1,48833,272844688
202308,10002000,住,2,59591,337819391
