年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,其他,1,18030,76582279
201401,10002000,其他,2,24510,92670206
201402,10002000,其他,1,16114,60115031
201402,10002000,其他,2,21810,71480712
201403,10002000,其他,1,15988,63287476
201403,10002000,其他,2,22292,76242718
201404,10002000,其他,1,14808,61136370
201404,10002000,其他,2,20572,71164659
201405,10002000,其他,1,15850,65250807
201405,10002000,其他,2,22231,73449081
201406,10002000,其他,1,15928,67554832
201406,10002000,其他,2,22219,70850902
201407,10002000,其他,1,17642,71376020
201407,10002000,其他,2,25185,78028284
201408,10002000,其他,1,18501,66119596
201408,10002000,其他,2,26055,77213268
201409,10002000,其他,1,16528,63895167
201409,10002000,其他,2,22527,72144578
201410,10002000,其他,1,18768,69997121
201410,10002000,其他,2,24609,76696931
201411,10002000,其他,1,17884,66455092
201411,10002000,其他,2,23144,71659363
201412,10002000,其他,1,19032,72611862
201412,10002000,其他,2,23719,80457205
201501,10002000,其他,1,20100,73700064
201501,10002000,其他,2,24999,86264769
201502,10002000,其他,1,20530,68967866
201502,10002000,其他,2,24579,78808051
201503,10002000,其他,1,18411,64605497
201503,10002000,其他,2,22617,70891230
201504,10002000,其他,1,18720,65744389
201504,10002000,其他,2,24093,76770758
201505,10002000,其他,1,19791,70916855
201505,10002000,其他,2,25729,82336933
201506,10002000,其他,1,21311,70364930
201506,10002000,其他,2,26749,80432722
201507,10002000,其他,1,24626,73284662
201507,10002000,其他,2,31074,83627166
201508,10002000,其他,1,20877,71275184
201508,10002000,其他,2,27311,75689459
201509,10002000,其他,1,18892,65021786
201509,10002000,其他,2,24601,74371433
201510,10002000,其他,1,24657,90631015
201510,10002000,其他,2,30165,96287061
201511,10002000,其他,1,25043,88216431
201511,10002000,其他,2,30231,93214360
201512,10002000,其他,1,23056,85567412
201512,10002000,其他,2,28674,94357067
201601,10002000,其他,1,12686,71930975
201601,10002000,其他,2,17100,76329955
201602,10002000,其他,1,12001,57331421
201602,10002000,其他,2,16689,68848693
201603,10002000,其他,1,10745,57683763
201603,10002000,其他,2,15310,61753284
201604,10002000,其他,1,11222,60425137
201604,10002000,其他,2,15978,70354992
201605,10002000,其他,1,12235,60444259
201605,10002000,其他,2,19663,69309093
201606,10002000,其他,1,15154,65010632
201606,10002000,其他,2,27267,79111107
201607,10002000,其他,1,15488,63735647
201607,10002000,其他,2,27797,75222520
201608,10002000,其他,1,15361,65949293
201608,10002000,其他,2,28099,81370805
201609,10002000,其他,1,13129,59275525
201609,10002000,其他,2,23688,76666623
201610,10002000,其他,1,13494,65183341
201610,10002000,其他,2,24239,78910412
201611,10002000,其他,1,12679,65228749
201611,10002000,其他,2,21827,73553081
201612,10002000,其他,1,13856,71365589
201612,10002000,其他,2,23657,82808731
201701,10002000,其他,1,13018,63715016
201701,10002000,其他,2,22874,78713685
201702,10002000,其他,1,11701,54566662
201702,10002000,其他,2,20926,66170897
201703,10002000,其他,1,12113,60028564
201703,10002000,其他,2,21134,68893183
201704,10002000,其他,1,11931,59780072
201704,10002000,其他,2,20570,68465732
201705,10002000,其他,1,12231,63635331
201705,10002000,其他,2,20800,75563369
201706,10002000,其他,1,12170,61135484
201706,10002000,其他,2,20830,66598531
201707,10002000,其他,1,13183,61199620
201707,10002000,其他,2,23186,70888941
201708,10002000,其他,1,13351,65636417
