年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,行,1,126877,166224754
201401,10002000,行,2,67814,74160651
201402,10002000,行,1,125023,158466092
201402,10002000,行,2,64830,70055241
201403,10002000,行,1,125859,163846301
201403,10002000,行,2,67444,73735293
201404,10002000,行,1,120499,155329131
201404,10002000,行,2,64134,69391482
201405,10002000,行,1,126389,163996989
201405,10002000,行,2,68370,74466363
201406,10002000,行,1,131896,170156804
201406,10002000,行,2,70029,76051520
201407,10002000,行,1,147181,188005902
201407,10002000,行,2,77477,86167455
201408,10002000,行,1,151709,188482983
201408,10002000,行,2,79591,84530760
201409,10002000,行,1,131054,161498342
201409,10002000,行,2,69928,72811720
201410,10002000,行,1,134035,160011992
201410,10002000,行,2,71665,71101334
201411,10002000,行,1,126076,144793908
201411,10002000,行,2,67258,64688790
201412,10002000,行,1,128722,138808715
201412,10002000,行,2,70062,64002131
201501,10002000,行,1,132383,128884245
201501,10002000,行,2,68679,58071441
201502,10002000,行,1,133819,126354482
201502,10002000,行,2,67529,57069573
201503,10002000,行,1,124741,124389421
201503,10002000,行,2,66923,57661508
201504,10002000,行,1,123945,123975418
201504,10002000,行,2,65715,56379745
201505,10002000,行,1,128502,134010238
201505,10002000,行,2,68800,61531900
201506,10002000,行,1,135990,139875759
201506,10002000,行,2,72701,65052624
201507,10002000,行,1,148518,151214495
201507,10002000,行,2,78271,69033781
201508,10002000,行,1,137336,129995209
201508,10002000,行,2,72979,60704313
201509,10002000,行,1,132360,124311078
201509,10002000,行,2,69678,55750636
201510,10002000,行,1,133685,129463189
201510,10002000,行,2,70939,59506380
201511,10002000,行,1,130974,122755231
201511,10002000,行,2,70131,57275706
201512,10002000,行,1,128044,116077341
201512,10002000,行,2,70072,57506557
201601,10002000,行,1,91292,79916331
201601,10002000,行,2,45539,37184714
201602,10002000,行,1,87529,70999941
201602,10002000,行,2,41672,32219022
201603,10002000,行,1,82076,74560286
201603,10002000,行,2,42128,36225236
201604,10002000,行,1,83895,75886355
201604,10002000,行,2,43107,35477948
201605,10002000,行,1,88633,83517672
201605,10002000,行,2,46955,41594151
201606,10002000,行,1,97904,95048668
201606,10002000,行,2,51038,46223047
201607,10002000,行,1,99648,94058464
201607,10002000,行,2,51984,46708238
201608,10002000,行,1,98379,89067021
201608,10002000,行,2,51544,43829666
201609,10002000,行,1,77446,73183515
201609,10002000,行,2,41416,35013220
201610,10002000,行,1,84494,82190983
201610,10002000,行,2,45106,41500436
201611,10002000,行,1,88237,87100464
201611,10002000,行,2,46700,41227100
201612,10002000,行,1,93635,97447605
201612,10002000,行,2,49091,45968536
201701,10002000,行,1,82460,86664432
201701,10002000,行,2,43582,41172456
201702,10002000,行,1,74292,77605250
201702,10002000,行,2,39509,38898180
201703,10002000,行,1,78135,85882785
201703,10002000,行,2,42265,42266606
201704,10002000,行,1,89415,88722382
201704,10002000,行,2,46053,41262146
201705,10002000,行,1,79443,78947967
201705,10002000,行,2,43374,38946400
201706,10002000,行,1,63313,65412601
201706,10002000,行,2,35791,33945215
201707,10002000,行,1,75752,74978598
201707,10002000,行,2,42029,39200525
201708,10002000,行,1,78125,79200662
201708,10002000,行,2,44028,40938871
201709,10002000,行,1,67523,69666666
201709,10002000,行,2,38607,34968309
201710,10002000,行,1,71692,74454176
201710,10002000,行,2,40748,38841622
201711,10002000,行,1,67326,74128703
201711,10002000,行,2,39056,38985453
201712,10002000,行,1,72546,79755407
201712,10002000,行,2,42514,40633201
201801,10002000,行,1,62544,72791393
201801,10002000,行,2,35915,36397918
201802,10002000,行,1,64906,68629096
201802,10002000,行,2,36989,34874836
201803,10002000,行,1,67799,73444891
201803,10002000,行,2,39769,38025502
201804,10002000,行,1,74259,78263798
201804,10002000,行,2,41700,38029333
201805,10002000,行,1,74950,83132478
201805,10002000,行,2,43179,42715065
201806,10002000,行,1,77339,87630216
201806,10002000,行,2,44916,44661840
201807,10002000,行,1,85088,95611072
201807,10002000,行,2,48664,48856501
201808,10002000,行,1,80001,88790331
201808,10002000,行,2,46416,45712699
201809,10002000,行,1,76087,85276381
201809,10002000,行,2,45256,44797750
201810,10002000,行,1,64421,74572852
201810,10002000,行,2,38667,38201833
201811,10002000,行,1,73343,79285356
201811,10002000,行,2,45346,41990284
201812,10002000,行,1,81222,85601718
201812,10002000,行,2,51069,45811472
201901,10002000,行,1,71965,76376316
201901,10002000,行,2,43727,40284179
201902,10002000,行,1,67672,66262898
201902,10002000,行,2,39614,34410049
201903,10002000,行,1,75161,80500349
201903,10002000,行,2,46545,42301693
201904,10002000,行,1,74020,79595517
201904,10002000,行,2,44677,41018550
201905,10002000,行,1,73021,79643368
201905,10002000,行,2,43851,40856842
201906,10002000,行,1,75689,79444324
201906,10002000,行,2,46563,44700449
201907,10002000,行,1,90338,95430851
201907,10002000,行,2,53922,48832820
201908,10002000,行,1,88488,93805360
201908,10002000,行,2,53203,49443572
201909,10002000,行,1,75244,75792451
201909,10002000,行,2,46697,41465791
201910,10002000,行,1,85396,86935745
201910,10002000,行,2,51825,45555439
201911,10002000,行,1,85817,92230537
201911,10002000,行,2,55025,52468452
201912,10002000,行,1,87917,91520907
201912,10002000,行,2,54945,49224257
202001,10002000,行,1,89893,89291423
202001,10002000,行,2,55301,45459595
202002,10002000,行,1,80806,78544927
202002,10002000,行,2,49408,41361812
202003,10002000,行,1,79389,69460329
202003,10002000,行,2,49485,37327100
202004,10002000,行,1,73636,57624819
202004,10002000,行,2,44706,29658296
202005,10002000,行,1,79853,60346274
202005,10002000,行,2,47588,33341181
202006,10002000,行,1,84396,69353106
202006,10002000,行,2,51860,37545811
202007,10002000,行,1,102142,91097425
202007,10002000,行,2,62972,49998386
202008,10002000,行,1,106758,94274523
202008,10002000,行,2,66692,50818361
202009,10002000,行,1,89151,77510169
202009,10002000,行,2,58466,45813474
202010,10002000,行,1,110279,94418362
202010,10002000,行,2,67719,50447083
202011,10002000,行,1,99086,85992179
202011,10002000,行,2,60423,45795573
202012,10002000,行,1,105734,95171080
202012,10002000,行,2,69357,51243508
202101,10002000,行,1,108538,105439042
202101,10002000,行,2,65225,53361127
202102,10002000,行,1,105041,115037531
202102,10002000,行,2,62476,57954696
202103,10002000,行,1,103124,116910121
