年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,衣,1,9002,22254743
201401,10009000,衣,2,29714,83278874
201402,10009000,衣,1,5411,12053446
201402,10009000,衣,2,19183,50857437
201403,10009000,衣,1,5242,10985271
201403,10009000,衣,2,19590,50512824
201404,10009000,衣,1,5776,11646069
201404,10009000,衣,2,20795,52849860
201405,10009000,衣,1,6890,14264622
201405,10009000,衣,2,22920,56631850
201406,10009000,衣,1,6392,13119137
201406,10009000,衣,2,21363,51532277
201407,10009000,衣,1,6441,13403267
201407,10009000,衣,2,22077,52206585
201408,10009000,衣,1,6988,14335853
201408,10009000,衣,2,23110,52397250
201409,10009000,衣,1,5740,12604931
201409,10009000,衣,2,20317,52287421
201410,10009000,衣,1,6411,14365627
201410,10009000,衣,2,21446,55367101
201411,10009000,衣,1,6340,15537377
201411,10009000,衣,2,21135,58374753
201412,10009000,衣,1,8658,20379935
201412,10009000,衣,2,28612,78144394
201501,10009000,衣,1,7054,16828965
201501,10009000,衣,2,24097,68624190
201502,10009000,衣,1,9429,22146491
201502,10009000,衣,2,28157,76877993
201503,10009000,衣,1,5594,12159537
201503,10009000,衣,2,19963,52913998
201504,10009000,衣,1,6132,12824554
201504,10009000,衣,2,22090,56409578
201505,10009000,衣,1,7511,15378557
201505,10009000,衣,2,23871,59281463
201506,10009000,衣,1,6792,13293964
201506,10009000,衣,2,22106,53164001
201507,10009000,衣,1,6851,14260050
201507,10009000,衣,2,22837,55935168
201508,10009000,衣,1,7519,15110086
201508,10009000,衣,2,22988,52998664
201509,10009000,衣,1,5973,13169547
201509,10009000,衣,2,20128,52749887
201510,10009000,衣,1,7054,16150801
201510,10009000,衣,2,22603,60327574
201511,10009000,衣,1,6702,16174607
201511,10009000,衣,2,20677,56089603
201512,10009000,衣,1,8265,18409576
201512,10009000,衣,2,26278,69952378
201601,10009000,衣,1,9509,22479091
201601,10009000,衣,2,29294,80080493
201602,10009000,衣,1,8635,19885887
201602,10009000,衣,2,25353,70465861
201603,10009000,衣,1,5016,12115521
201603,10009000,衣,2,17274,48102707
201604,10009000,衣,1,6858,14833673
201604,10009000,衣,2,22748,57009446
201605,10009000,衣,1,7602,15724577
201605,10009000,衣,2,23399,58045299
201606,10009000,衣,1,7097,14715106
201606,10009000,衣,2,23249,56315304
201607,10009000,衣,1,7293,14644624
201607,10009000,衣,2,22946,54269882
201608,10009000,衣,1,7107,14832020
201608,10009000,衣,2,22018,51663040
201609,10009000,衣,1,5611,11735754
201609,10009000,衣,2,18567,48709016
201610,10009000,衣,1,6948,15186720
201610,10009000,衣,2,20176,52543052
201611,10009000,衣,1,6463,15355139
201611,10009000,衣,2,20564,57151638
201612,10009000,衣,1,8523,20306405
201612,10009000,衣,2,25656,70047121
201701,10009000,衣,1,9424,22427418
201701,10009000,衣,2,28453,78501447
201702,10009000,衣,1,5648,12798158
201702,10009000,衣,2,17608,46317897
201703,10009000,衣,1,5143,11649771
201703,10009000,衣,2,18088,48052854
201704,10009000,衣,1,6926,14179911
201704,10009000,衣,2,22605,56743751
201705,10009000,衣,1,7565,14935725
201705,10009000,衣,2,23904,58164800
201706,10009000,衣,1,6160,12075265
201706,10009000,衣,2,19241,46209472
201707,10009000,衣,1,6753,13319419
201707,10009000,衣,2,21601,51290385
201708,10009000,衣,1,6901,13599402
201708,10009000,衣,2,21763,50512745
201709,10009000,衣,1,5587,11146683
201709,10009000,衣,2,18439,46600492
201710,10009000,衣,1,7294,15282333
201710,10009000,衣,2,22160,56508899
201711,10009000,衣,1,6584,15223491
201711,10009000,衣,2,21044,59215582
201712,10009000,衣,1,8376,18670777
201712,10009000,衣,2,27008,73781043
201801,10009000,衣,1,6219,14876106
201801,10009000,衣,2,20359,58864617
201802,10009000,衣,1,8648,20460686
201802,10009000,衣,2,25851,71244118
201803,10009000,衣,1,5208,11561020
201803,10009000,衣,2,17698,48165184
201804,10009000,衣,1,7019,14449700
201804,10009000,衣,2,22172,55922040
201805,10009000,衣,1,7048,14020854
201805,10009000,衣,2,22998,58214461
201806,10009000,衣,1,6696,12808386
201806,10009000,衣,2,20545,49136671
201807,10009000,衣,1,6561,12824004
201807,10009000,衣,2,20745,50516369
201808,10009000,衣,1,6353,12347743
201808,10009000,衣,2,19505,46531409
201809,10009000,衣,1,5787,11896361
201809,10009000,衣,2,18760,47748015
201810,10009000,衣,1,5214,11743641
201810,10009000,衣,2,17400,46966501
201811,10009000,衣,1,6237,14213538
201811,10009000,衣,2,19581,52491766
201812,10009000,衣,1,8269,18718954
201812,10009000,衣,2,24889,66807986
201901,10009000,衣,1,6894,16385330
201901,10009000,衣,2,22052,62935757
201902,10009000,衣,1,6767,15110335
201902,10009000,衣,2,18867,48159572
201903,10009000,衣,1,5489,11889533
201903,10009000,衣,2,17972,46157883
201904,10009000,衣,1,6460,13635596
201904,10009000,衣,2,20046,50818466
201905,10009000,衣,1,5932,12297630
201905,10009000,衣,2,19063,47613119
201906,10009000,衣,1,6294,12542150
201906,10009000,衣,2,19551,46417849
201907,10009000,衣,1,6186,12431696
201907,10009000,衣,2,20334,48919560
201908,10009000,衣,1,6794,13129316
201908,10009000,衣,2,20659,48622150
201909,10009000,衣,1,4994,10486410
201909,10009000,衣,2,16067,40714896
201910,10009000,衣,1,5090,12133187
201910,10009000,衣,2,16126,45263161
201911,10009000,衣,1,7235,17567773
201911,10009000,衣,2,21696,60117343
201912,10009000,衣,1,7871,19052245
201912,10009000,衣,2,22262,60509831
202001,10009000,衣,1,10222,24477969
202001,10009000,衣,2,26985,75061660
202002,10009000,衣,1,5579,12620403
202002,10009000,衣,2,17877,46117670
202003,10009000,衣,1,5497,11690388
202003,10009000,衣,2,17158,43449197
202004,10009000,衣,1,5896,12512344
202004,10009000,衣,2,17688,43426951
202005,10009000,衣,1,7647,15860611
202005,10009000,衣,2,22107,53443364
202006,10009000,衣,1,6988,14126705
202006,10009000,衣,2,20396,47344424
202007,10009000,衣,1,6380,12452245
202007,10009000,衣,2,19399,45930769
202008,10009000,衣,1,6588,12702933
202008,10009000,衣,2,19641,44406928
202009,10009000,衣,1,5461,10509982
202009,10009000,衣,2,17620,43760489
202010,10009000,衣,1,7308,14802664
202010,10009000,衣,2,21700,53532707
202011,10009000,衣,1,6971,14893425
202011,10009000,衣,2,20012,49747079
202012,10009000,衣,1,8178,17719285
202012,10009000,衣,2,24234,61299239
202101,10009000,衣,1,9574,22267683
202101,10009000,衣,2,26890,71078493
202102,10009000,衣,1,7808,18154396
202102,10009000,衣,2,21131,55359570
202103,10009000,衣,1,5356,11301170
202103,10009000,衣,2,16377,40603741
202104,10009000,衣,1,7210,14608590
202104,10009000,衣,2,20724,51241428
202105,10009000,衣,1,5377,11242703
202105,10009000,衣,2,15965,39373806
202106,10009000,衣,1,3294,7101461
202106,10009000,衣,2,9668,24112277
202107,10009000,衣,1,5458,11465861
202107,10009000,衣,2,16276,39941901
202108,10009000,衣,1,7424,14757419
202108,10009000,衣,2,21102,49327748
202109,10009000,衣,1,6637,13536967
202109,10009000,衣,2,19420,46608706
202110,10009000,衣,1,7169,14276041
202110,10009000,衣,2,20515,49544617
202111,10009000,衣,1,7050,15749725
202111,10009000,衣,2,21196,53339543
202112,10009000,衣,1,7978,16990753
202112,10009000,衣,2,22937,60117215
202201,10009000,衣,1,8991,21789731
202201,10009000,衣,2,24309,67707747
202202,10009000,衣,1,6721,14467607
202202,10009000,衣,2,18031,45544991
202203,10009000,衣,1,6100,11931768
202203,10009000,衣,2,18748,44690956
202204,10009000,衣,1,6365,12074172
202204,10009000,衣,2,18718,43845604
202205,10009000,衣,1,5617,11179721
202205,10009000,衣,2,16217,38716210
202206,10009000,衣,1,6767,13238103
202206,10009000,衣,2,18583,41722019
202207,10009000,衣,1,8292,15176530
202207,10009000,衣,2,24562,52855060
202208,10009000,衣,1,8152,14441223
202208,10009000,衣,2,23369,50032963
202209,10009000,衣,1,7476,13184915
202209,10009000,衣,2,21577,46499045
202210,10009000,衣,1,8404,16481670
202210,10009000,衣,2,23158,54014642
202211,10009000,衣,1,6720,13721529
202211,10009000,衣,2,19927,50845188
202212,10009000,衣,1,10821,25165352
202212,10009000,衣,2,30245,78568172
202301,10009000,衣,1,11599,27382295
202301,10009000,衣,2,28268,75647650
202302,10009000,衣,1,6742,12818442
202302,10009000,衣,2,19045,43851746
202303,10009000,衣,1,7054,13023455
202303,10009000,衣,2,20302,46091116
202304,10009000,衣,1,9106,17211447
202304,10009000,衣,2,24010,54114319
202305,10009000,衣,1,8404,16170254
202305,10009000,衣,2,22596,52940113
202306,10009000,衣,1,8434,16518386
202306,10009000,衣,2,21860,49705689
202307,10009000,衣,1,8184,15418937
202307,10009000,衣,2,21792,48971363
202308,10009000,衣,1,8000,14497858
202308,10009000,衣,2,21231,48204173
