年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,文教康樂,1,11731,40567142
201401,10009000,文教康樂,2,17004,60407814
201402,10009000,文教康樂,1,13665,38384855
201402,10009000,文教康樂,2,18642,52441442
201403,10009000,文教康樂,1,10076,36255214
201403,10009000,文教康樂,2,16796,53698524
201404,10009000,文教康樂,1,9984,42113210
201404,10009000,文教康樂,2,15912,54452575
201405,10009000,文教康樂,1,9955,37374029
201405,10009000,文教康樂,2,16029,55910494
201406,10009000,文教康樂,1,10154,48963190
201406,10009000,文教康樂,2,16082,63224404
201407,10009000,文教康樂,1,11868,43724799
201407,10009000,文教康樂,2,18258,65702052
201408,10009000,文教康樂,1,12322,44656496
201408,10009000,文教康樂,2,18785,60919794
201409,10009000,文教康樂,1,9211,34256678
201409,10009000,文教康樂,2,15061,49623763
201410,10009000,文教康樂,1,10149,40126208
201410,10009000,文教康樂,2,16562,57268686
201411,10009000,文教康樂,1,9912,37394492
201411,10009000,文教康樂,2,16047,54318653
201412,10009000,文教康樂,1,10177,42498722
201412,10009000,文教康樂,2,16187,63625182
201501,10009000,文教康樂,1,11392,45648681
201501,10009000,文教康樂,2,17447,64403823
201502,10009000,文教康樂,1,12125,45416142
201502,10009000,文教康樂,2,19474,70888887
201503,10009000,文教康樂,1,9248,41417960
201503,10009000,文教康樂,2,15324,59167215
201504,10009000,文教康樂,1,10475,43567850
201504,10009000,文教康樂,2,17214,61702013
201505,10009000,文教康樂,1,10074,47090564
201505,10009000,文教康樂,2,16146,61011957
201506,10009000,文教康樂,1,9508,43557706
201506,10009000,文教康樂,2,15293,57351395
201507,10009000,文教康樂,1,11302,52826069
201507,10009000,文教康樂,2,17234,71502455
201508,10009000,文教康樂,1,11262,46486907
201508,10009000,文教康樂,2,17728,63179895
201509,10009000,文教康樂,1,9654,42175498
201509,10009000,文教康樂,2,14961,51897633
201510,10009000,文教康樂,1,10636,45493974
201510,10009000,文教康樂,2,16267,62483518
201511,10009000,文教康樂,1,9964,42470264
201511,10009000,文教康樂,2,16136,64077894
201512,10009000,文教康樂,1,9867,42253069
201512,10009000,文教康樂,2,15371,59277515
201601,10009000,文教康樂,1,9156,44105634
201601,10009000,文教康樂,2,14616,66846445
201602,10009000,文教康樂,1,10912,42774142
201602,10009000,文教康樂,2,17511,59842955
201603,10009000,文教康樂,1,7514,40886389
201603,10009000,文教康樂,2,12152,55543272
201604,10009000,文教康樂,1,9397,40492619
201604,10009000,文教康樂,2,15164,58166940
201605,10009000,文教康樂,1,8471,41085116
201605,10009000,文教康樂,2,14553,62338173
201606,10009000,文教康樂,1,8774,46130372
201606,10009000,文教康樂,2,14544,63832828
201607,10009000,文教康樂,1,9946,43207373
201607,10009000,文教康樂,2,15791,63170789
201608,10009000,文教康樂,1,9469,42530759
201608,10009000,文教康樂,2,15666,65587615
201609,10009000,文教康樂,1,8321,35335260
201609,10009000,文教康樂,2,13908,52433289
201610,10009000,文教康樂,1,8738,38319935
201610,10009000,文教康樂,2,14870,62266303
201611,10009000,文教康樂,1,9081,40815761
201611,10009000,文教康樂,2,14104,60612413
201612,10009000,文教康樂,1,9398,42897122
201612,10009000,文教康樂,2,15090,61079139
201701,10009000,文教康樂,1,9762,45079503
201701,10009000,文教康樂,2,16631,73794152
201702,10009000,文教康樂,1,8699,38192019
201702,10009000,文教康樂,2,14880,59456977
201703,10009000,文教康樂,1,7517,42552900
201703,10009000,文教康樂,2,12933,62158532
201704,10009000,文教康樂,1,9840,42503463
201704,10009000,文教康樂,2,16549,64073420
201705,10009000,文教康樂,1,9763,43879454
201705,10009000,文教康樂,2,15826,66655059
201706,10009000,文教康樂,1,7476,37888061
201706,10009000,文教康樂,2,12206,59575336
201707,10009000,文教康樂,1,10016,42790871
201707,10009000,文教康樂,2,16165,66983603
201708,10009000,文教康樂,1,10374,51499080
201708,10009000,文教康樂,2,17601,76036784
201709,10009000,文教康樂,1,8345,39830424
201709,10009000,文教康樂,2,14230,61145207
201710,10009000,文教康樂,1,9301,41677799
201710,10009000,文教康樂,2,16160,66697615
201711,10009000,文教康樂,1,8895,41406126
201711,10009000,文教康樂,2,14338,59765793
201712,10009000,文教康樂,1,7877,34860393
201712,10009000,文教康樂,2,13867,58064870
201801,10009000,文教康樂,1,6547,41224107
201801,10009000,文教康樂,2,11946,69069044
201802,10009000,文教康樂,1,7542,33303692
201802,10009000,文教康樂,2,14253,59382374
201803,10009000,文教康樂,1,7728,45772690
201803,10009000,文教康樂,2,13871,71477436
201804,10009000,文教康樂,1,9442,42558132
201804,10009000,文教康樂,2,17460,74392532
201805,10009000,文教康樂,1,9268,49793196
201805,10009000,文教康樂,2,15976,73441106
201806,10009000,文教康樂,1,8387,48730748
201806,10009000,文教康樂,2,14760,72310556
201807,10009000,文教康樂,1,9429,53218279
201807,10009000,文教康樂,2,15977,80281111
201808,10009000,文教康樂,1,7243,38264835
201808,10009000,文教康樂,2,13011,62050768
201809,10009000,文教康樂,1,7263,37326102
201809,10009000,文教康樂,2,13027,59666839
201810,10009000,文教康樂,1,6384,37167913
201810,10009000,文教康樂,2,12113,59776227
201811,10009000,文教康樂,1,7715,38376193
201811,10009000,文教康樂,2,13733,58578746
201812,10009000,文教康樂,1,8728,43067392
201812,10009000,文教康樂,2,16248,73930725
201901,10009000,文教康樂,1,7786,46228719
201901,10009000,文教康樂,2,14522,80221934
201902,10009000,文教康樂,1,7346,35647270
201902,10009000,文教康樂,2,13425,58059204
201903,10009000,文教康樂,1,7698,40807607
201903,10009000,文教康樂,2,14410,67145818
201904,10009000,文教康樂,1,9834,43135984
201904,10009000,文教康樂,2,16606,69482731
201905,10009000,文教康樂,1,9428,43486107
201905,10009000,文教康樂,2,15436,69033223
201906,10009000,文教康樂,1,9062,40699276
201906,10009000,文教康樂,2,14286,63443926
201907,10009000,文教康樂,1,9313,41978675
201907,10009000,文教康樂,2,15486,68293643
201908,10009000,文教康樂,1,8676,47889293
201908,10009000,文教康樂,2,14672,74187464
201909,10009000,文教康樂,1,7987,33920875
201909,10009000,文教康樂,2,13823,56595666
201910,10009000,文教康樂,1,9149,44108955
201910,10009000,文教康樂,2,16042,71075553
201911,10009000,文教康樂,1,9693,39502348
201911,10009000,文教康樂,2,16368,64376164
201912,10009000,文教康樂,1,10727,39141287
201912,10009000,文教康樂,2,16920,63804445
202001,10009000,文教康樂,1,11602,48944903
202001,10009000,文教康樂,2,17904,76730112
202002,10009000,文教康樂,1,9308,23069881
202002,10009000,文教康樂,2,14965,42943764
202003,10009000,文教康樂,1,7756,23358940
202003,10009000,文教康樂,2,13116,41561955
202004,10009000,文教康樂,1,7804,15603228
202004,10009000,文教康樂,2,12931,35832893
202005,10009000,文教康樂,1,9321,17487444
202005,10009000,文教康樂,2,15912,40249615
202006,10009000,文教康樂,1,11305,21540966
202006,10009000,文教康樂,2,17851,41325289
202007,10009000,文教康樂,1,12612,28237443
202007,10009000,文教康樂,2,19973,52202013
202008,10009000,文教康樂,1,13796,37143718
202008,10009000,文教康樂,2,21783,62234996
202009,10009000,文教康樂,1,11072,34113596
202009,10009000,文教康樂,2,18256,55015941
202010,10009000,文教康樂,1,13646,27839740
202010,10009000,文教康樂,2,21511,54537542
202011,10009000,文教康樂,1,11799,24153371
202011,10009000,文教康樂,2,20245,48374959
202012,10009000,文教康樂,1,12228,25397469
202012,10009000,文教康樂,2,19486,48784698
202101,10009000,文教康樂,1,13427,39542268
202101,10009000,文教康樂,2,20934,68198031
202102,10009000,文教康樂,1,11927,23102332
202102,10009000,文教康樂,2,19354,47591850
202103,10009000,文教康樂,1,11673,28241550
202103,10009000,文教康樂,2,18206,48920672
202104,10009000,文教康樂,1,14032,26021311
202104,10009000,文教康樂,2,22362,52547037
202105,10009000,文教康樂,1,7913,16497419
202105,10009000,文教康樂,2,13375,36953304
202106,10009000,文教康樂,1,4133,8096771
202106,10009000,文教康樂,2,6942,15750967
202107,10009000,文教康樂,1,6262,13665676
202107,10009000,文教康樂,2,9894,21781324
202108,10009000,文教康樂,1,9630,28173676
202108,10009000,文教康樂,2,15157,45054490
202109,10009000,文教康樂,1,10007,31382668
202109,10009000,文教康樂,2,16166,53614979
202110,10009000,文教康樂,1,13455,29571146
202110,10009000,文教康樂,2,19948,52976090
202111,10009000,文教康樂,1,13053,32942209
202111,10009000,文教康樂,2,21136,57031581
202112,10009000,文教康樂,1,14672,36804556
202112,10009000,文教康樂,2,23807,59639923
202201,10009000,文教康樂,1,14502,47789905
202201,10009000,文教康樂,2,22555,75326412
202202,10009000,文教康樂,1,14295,34914206
202202,10009000,文教康樂,2,21984,57031323
202203,10009000,文教康樂,1,14471,43039569
202203,10009000,文教康樂,2,21768,62628405
202204,10009000,文教康樂,1,13126,29349207
202204,10009000,文教康樂,2,19983,50529557
202205,10009000,文教康樂,1,10254,23491705
202205,10009000,文教康樂,2,15475,38995284
202206,10009000,文教康樂,1,12841,28578546
202206,10009000,文教康樂,2,18455,44118250
202207,10009000,文教康樂,1,17366,39494388
202207,10009000,文教康樂,2,26177,61036997
202208,10009000,文教康樂,1,19143,50838043
202208,10009000,文教康樂,2,29711,78536297
202209,10009000,文教康樂,1,14468,37629153
202209,10009000,文教康樂,2,22729,61336474
202210,10009000,文教康樂,1,16445,44000681
202210,10009000,文教康樂,2,24234,66010865
202211,10009000,文教康樂,1,14870,41083902
202211,10009000,文教康樂,2,23243,63691529
202212,10009000,文教康樂,1,15813,49323225
202212,10009000,文教康樂,2,23881,71309127
202301,10009000,文教康樂,1,19868,61676498
202301,10009000,文教康樂,2,27770,82155793
202302,10009000,文教康樂,1,15004,49922696
202302,10009000,文教康樂,2,22964,71319564
202303,10009000,文教康樂,1,13787,43230903
202303,10009000,文教康樂,2,21431,65616313
202304,10009000,文教康樂,1,17495,43337920
202304,10009000,文教康樂,2,26385,70411142
202305,10009000,文教康樂,1,15431,45374325
202305,10009000,文教康樂,2,23240,68592492
202306,10009000,文教康樂,1,15800,48907249
202306,10009000,文教康樂,2,22832,73591943
202307,10009000,文教康樂,1,18947,51337919
202307,10009000,文教康樂,2,26925,81707795
202308,10009000,文教康樂,1,18290,63619237
202308,10009000,文教康樂,2,26456,88065604
