年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,行,1,166535,203304701
201401,10009000,行,2,86596,94528410
201402,10009000,行,1,166294,199202039
201402,10009000,行,2,84596,92065158
201403,10009000,行,1,167706,201734464
201403,10009000,行,2,88303,93111345
201404,10009000,行,1,165888,199251958
201404,10009000,行,2,85898,91815625
201405,10009000,行,1,169316,203742195
201405,10009000,行,2,89188,94702784
201406,10009000,行,1,170707,211635327
201406,10009000,行,2,90042,100279908
201407,10009000,行,1,177451,216105360
201407,10009000,行,2,92730,100913941
201408,10009000,行,1,179123,209910890
201408,10009000,行,2,94162,98323668
201409,10009000,行,1,169119,194942543
201409,10009000,行,2,88651,91286092
201410,10009000,行,1,173323,190615731
201410,10009000,行,2,90652,89029882
201411,10009000,行,1,165420,174825232
201411,10009000,行,2,87001,82811101
201412,10009000,行,1,171803,167029191
201412,10009000,行,2,88846,78107706
201501,10009000,行,1,169394,149182567
201501,10009000,行,2,86612,70087703
201502,10009000,行,1,173628,154704527
201502,10009000,行,2,84370,69593460
201503,10009000,行,1,166325,152865632
201503,10009000,行,2,85053,69659739
201504,10009000,行,1,171091,157752491
201504,10009000,行,2,85672,71106396
201505,10009000,行,1,170365,163428352
201505,10009000,行,2,88296,75838847
201506,10009000,行,1,168869,168780617
201506,10009000,行,2,89203,78911123
201507,10009000,行,1,176843,170225890
201507,10009000,行,2,91766,81581938
201508,10009000,行,1,171381,152529059
201508,10009000,行,2,86950,69618628
201509,10009000,行,1,171119,149569670
201509,10009000,行,2,85315,67752946
201510,10009000,行,1,174381,152603963
201510,10009000,行,2,87457,69583338
201511,10009000,行,1,170834,146582560
201511,10009000,行,2,86109,67087758
201512,10009000,行,1,175980,144245441
201512,10009000,行,2,90033,69525545
201601,10009000,行,1,131929,99395658
201601,10009000,行,2,60264,46674077
201602,10009000,行,1,128084,97164788
201602,10009000,行,2,56026,42068134
201603,10009000,行,1,125231,103444812
201603,10009000,行,2,57441,46968989
201604,10009000,行,1,130616,106789112
