年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,衣,1,557999,1572779262
201401,臺灣,衣,2,1818372,5558294295
201402,臺灣,衣,1,342637,941963857
201402,臺灣,衣,2,1190101,3421250691
201403,臺灣,衣,1,361911,964043300
201403,臺灣,衣,2,1360905,3928898720
201404,臺灣,衣,1,361351,939147930
201404,臺灣,衣,2,1344114,3809994600
201405,臺灣,衣,1,418860,1065029771
201405,臺灣,衣,2,1455726,4052008407
201406,臺灣,衣,1,416877,1017239777
201406,臺灣,衣,2,1452107,3896787786
201407,臺灣,衣,1,427795,1024469002
201407,臺灣,衣,2,1530815,3964554414
201408,臺灣,衣,1,437272,1037269419
201408,臺灣,衣,2,1509603,3795791577
201409,臺灣,衣,1,363410,943859397
201409,臺灣,衣,2,1335269,3714881832
201410,臺灣,衣,1,422019,1140103210
201410,臺灣,衣,2,1474540,4283085735
201411,臺灣,衣,1,420635,1205166896
201411,臺灣,衣,2,1435185,4438784664
201412,臺灣,衣,1,536234,1518838195
201412,臺灣,衣,2,1856480,5710257025
201501,臺灣,衣,1,499320,1403755360
201501,臺灣,衣,2,1638159,5035276065
201502,臺灣,衣,1,555057,1548727188
201502,臺灣,衣,2,1654835,4826735146
201503,臺灣,衣,1,404924,1093322825
201503,臺灣,衣,2,1471269,4208789455
201504,臺灣,衣,1,427094,1092205487
201504,臺灣,衣,2,1517067,4249378201
201505,臺灣,衣,1,491884,1216614450
201505,臺灣,衣,2,1668482,4536809721
201506,臺灣,衣,1,486561,1150107437
201506,臺灣,衣,2,1652511,4273524648
201507,臺灣,衣,1,482226,1116095469
201507,臺灣,衣,2,1688348,4216216824
201508,臺灣,衣,1,476160,1118284838
201508,臺灣,衣,2,1559413,3830019870
201509,臺灣,衣,1,422228,1088124822
201509,臺灣,衣,2,1478399,4048561531
201510,臺灣,衣,1,510318,1347505984
201510,臺灣,衣,2,1658606,4628362674
201511,臺灣,衣,1,480352,1309308378
201511,臺灣,衣,2,1562376,4518982811
201512,臺灣,衣,1,606644,1596588694
201512,臺灣,衣,2,1974206,5593712767
201601,臺灣,衣,1,622666,1640590698
201601,臺灣,衣,2,1972904,5593372662
201602,臺灣,衣,1,540494,1425903046
201602,臺灣,衣,2,1573433,4401621807
201603,臺灣,衣,1,383865,1001214569
201603,臺灣,衣,2,1338984,3752409744
201604,臺灣,衣,1,483600,1163649463
201604,臺灣,衣,2,1646892,4258836457
201605,臺灣,衣,1,512928,1194795684
201605,臺灣,衣,2,1718021,4360780525
201606,臺灣,衣,1,531063,1201266640
201606,臺灣,衣,2,1782684,4378709396
201607,臺灣,衣,1,526147,1139479467
201607,臺灣,衣,2,1729796,4066495928
201608,臺灣,衣,1,471754,1053247925
201608,臺灣,衣,2,1588612,3758619589
201609,臺灣,衣,1,403330,960230891
201609,臺灣,衣,2,1338295,3446744175
201610,臺灣,衣,1,473647,1174086579
201610,臺灣,衣,2,1483391,3949214812
201611,臺灣,衣,1,473133,1274339159
201611,臺灣,衣,2,1560676,4486579684
201612,臺灣,衣,1,622992,1623863569
201612,臺灣,衣,2,1950341,5461487744
201701,臺灣,衣,1,632092,1642858317
201701,臺灣,衣,2,1897819,5284601111
201702,臺灣,衣,1,432947,1099959742
201702,臺灣,衣,2,1377501,3637405430
201703,臺灣,衣,1,398857,993347733
