年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,百貨,1,2041064,6331408097
201401,臺灣,百貨,2,4741166,13477369043
201402,臺灣,百貨,1,1690594,5020581854
201402,臺灣,百貨,2,3909772,10414549258
201403,臺灣,百貨,1,1666754,4671596654
201403,臺灣,百貨,2,3945136,10555467470
201404,臺灣,百貨,1,1717776,5339284734
201404,臺灣,百貨,2,4287514,13201247789
201405,臺灣,百貨,1,1881861,5527190723
201405,臺灣,百貨,2,4433729,11978973572
201406,臺灣,百貨,1,1853940,5099209844
201406,臺灣,百貨,2,4336259,11044282354
201407,臺灣,百貨,1,1841742,4972216229
201407,臺灣,百貨,2,4582656,11103085399
201408,臺灣,百貨,1,1849256,5136910460
201408,臺灣,百貨,2,4542685,11142583461
201409,臺灣,百貨,1,1673419,5399647894
201409,臺灣,百貨,2,4090970,12888047491
201410,臺灣,百貨,1,2131764,7415126817
201410,臺灣,百貨,2,5681355,19128381793
201411,臺灣,百貨,1,2087847,6905471535
201411,臺灣,百貨,2,5464787,17620122363
201412,臺灣,百貨,1,2220360,6643021486
201412,臺灣,百貨,2,5358829,14651151247
201501,臺灣,百貨,1,1932986,5719320044
201501,臺灣,百貨,2,4397769,11999194285
201502,臺灣,百貨,1,2067371,6577050166
201502,臺灣,百貨,2,4636552,13282299777
201503,臺灣,百貨,1,1725722,4980193822
201503,臺灣,百貨,2,4021526,11301488065
201504,臺灣,百貨,1,1846147,5648442297
201504,臺灣,百貨,2,4501782,13629727722
201505,臺灣,百貨,1,1991719,5774826305
201505,臺灣,百貨,2,4620273,12371786931
201506,臺灣,百貨,1,1929893,5284896055
201506,臺灣,百貨,2,4475745,11406274691
201507,臺灣,百貨,1,1929542,5062175328
201507,臺灣,百貨,2,4689140,11207710266
201508,臺灣,百貨,1,2002540,5305259845
201508,臺灣,百貨,2,4634276,10980491942
201509,臺灣,百貨,1,1812180,5566222920
201509,臺灣,百貨,2,4267771,12848459157
201510,臺灣,百貨,1,2261120,7705853091
201510,臺灣,百貨,2,5787868,19194781339
201511,臺灣,百貨,1,2189772,7371896611
201511,臺灣,百貨,2,5578986,18543321869
201512,臺灣,百貨,1,2279284,6733190338
201512,臺灣,百貨,2,5399926,14306108017
201601,臺灣,百貨,1,2192342,6579074953
201601,臺灣,百貨,2,5093369,13827904678
201602,臺灣,百貨,1,2139369,6474171206
201602,臺灣,百貨,2,4697582,12702211958
201603,臺灣,百貨,1,1664578,4663140866
201603,臺灣,百貨,2,3878669,10686451811
201604,臺灣,百貨,1,1840598,5441053602
201604,臺灣,百貨,2,4427810,13061257671
201605,臺灣,百貨,1,1893601,5269867572
201605,臺灣,百貨,2,4378590,11212230814
201606,臺灣,百貨,1,2016988,5428062697
201606,臺灣,百貨,2,4685047,11637951716
201607,臺灣,百貨,1,1977239,5294433637
201607,臺灣,百貨,2,4734837,11577886856
201608,臺灣,百貨,1,1774658,4591591839
201608,臺灣,百貨,2,4193216,9773568171
201609,臺灣,百貨,1,1724404,5112595056
201609,臺灣,百貨,2,3970998,11918965523
201610,臺灣,百貨,1,2133369,6981781882
201610,臺灣,百貨,2,5186548,17060687695
201611,臺灣,百貨,1,2070712,7070160607
201611,臺灣,百貨,2,5215354,17555560365
201612,臺灣,百貨,1,2200656,6566518283
201612,臺灣,百貨,2,5147301,13870884066
201701,臺灣,百貨,1,2188608,6743238144
201701,臺灣,百貨,2,4828971,13595911415
201702,臺灣,百貨,1,1782854,5140752498
201702,臺灣,百貨,2,3901135,10217516374
201703,臺灣,百貨,1,1679079,4735048757
201703,臺灣,百貨,2,3854172,10779475646
201704,臺灣,百貨,1,1909134,5748023019
201704,臺灣,百貨,2,4462303,13315909521
201705,臺灣,百貨,1,1953285,5671174597
201705,臺灣,百貨,2,4447048,11933324210
201706,臺灣,百貨,1,1791810,4708024709
201706,臺灣,百貨,2,4065415,9977102682
201707,臺灣,百貨,1,1969562,5245367900
201707,臺灣,百貨,2,4588330,11148144478
201708,臺灣,百貨,1,1884594,4909270061
201708,臺灣,百貨,2,4423116,10356760134
201709,臺灣,百貨,1,1715931,5021334931
201709,臺灣,百貨,2,3916104,11485439089
201710,臺灣,百貨,1,2232454,7492331887
201710,臺灣,百貨,2,5350579,18312370897
201711,臺灣,百貨,1,2171492,7746872350
201711,臺灣,百貨,2,5277145,18265691497
201712,臺灣,百貨,1,2261281,6705317729
201712,臺灣,百貨,2,5164484,13883345184
201801,臺灣,百貨,1,1791481,5252074626
201801,臺灣,百貨,2,3954153,10711936977
201802,臺灣,百貨,1,2155312,6669911164
201802,臺灣,百貨,2,4711974,13066572300
201803,臺灣,百貨,1,1721450,4955989080
201803,臺灣,百貨,2,3993388,11392340051
201804,臺灣,百貨,1,1970376,5947830572
201804,臺灣,百貨,2,4509301,13257755162
201805,臺灣,百貨,1,2042184,6077654114
201805,臺灣,百貨,2,4747259,12856214577
201806,臺灣,百貨,1,2027415,5497376326
201806,臺灣,百貨,2,4489266,11071936340
201807,臺灣,百貨,1,2057466,5439996443
201807,臺灣,百貨,2,4749394,11418790363
201808,臺灣,百貨,1,2015815,5333596938
201808,臺灣,百貨,2,4620787,11008333552
201809,臺灣,百貨,1,2009758,5943426738
201809,臺灣,百貨,2,4499873,12939519112
201810,臺灣,百貨,1,1940479,6622292022
201810,臺灣,百貨,2,4707810,15882375337
201811,臺灣,百貨,1,2309827,8195461799
201811,臺灣,百貨,2,5569045,18337298396
201812,臺灣,百貨,1,2559642,7421215229
201812,臺灣,百貨,2,5668055,14644933256
201901,臺灣,百貨,1,2282752,6681200328
201901,臺灣,百貨,2,4974330,13176244994
201902,臺灣,百貨,1,2063785,5868839372
201902,臺灣,百貨,2,4240076,10836728039
201903,臺灣,百貨,1,2147876,5900118874
201903,臺灣,百貨,2,4591940,12416301846
201904,臺灣,百貨,1,2066300,6043980949
201904,臺灣,百貨,2,4423454,12651532840
201905,臺灣,百貨,1,2074404,5875566774
201905,臺灣,百貨,2,4392492,11673553916
201906,臺灣,百貨,1,2178877,5756815267
201906,臺灣,百貨,2,4531536,10794149434
201907,臺灣,百貨,1,2378629,6244966381
201907,臺灣,百貨,2,5110074,12070521702
201908,臺灣,百貨,1,2522148,6727489111
201908,臺灣,百貨,2,5335164,12468575513
201909,臺灣,百貨,1,2048227,6054657859
201909,臺灣,百貨,2,4277543,11901121860
201910,臺灣,百貨,1,2520037,8492927719
201910,臺灣,百貨,2,5569724,18617649627
201911,臺灣,百貨,1,2721923,9213048193
