年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,文教康樂,1,1555137,9149027771
201401,臺灣,文教康樂,2,2187641,11415355373
201402,臺灣,文教康樂,1,1654284,9890243703
201402,臺灣,文教康樂,2,2248381,11983304020
201403,臺灣,文教康樂,1,1650353,8933455123
201403,臺灣,文教康樂,2,2227681,10635926968
201404,臺灣,文教康樂,1,1569447,9036810429
201404,臺灣,文教康樂,2,2099266,10906938675
201405,臺灣,文教康樂,1,1659329,10138700319
201405,臺灣,文教康樂,2,2209236,12297229894
201406,臺灣,文教康樂,1,1692957,10167187043
201406,臺灣,文教康樂,2,2257698,12291959548
201407,臺灣,文教康樂,1,1650512,10114153672
201407,臺灣,文教康樂,2,2290894,12085772551
201408,臺灣,文教康樂,1,2001247,11439975229
201408,臺灣,文教康樂,2,2695670,13605165431
201409,臺灣,文教康樂,1,1742156,10866749798
201409,臺灣,文教康樂,2,2395217,13327828277
201410,臺灣,文教康樂,1,1749230,9798718735
201410,臺灣,文教康樂,2,2374581,11630890552
201411,臺灣,文教康樂,1,1727379,8789763787
201411,臺灣,文教康樂,2,2282851,10563757165
201412,臺灣,文教康樂,1,1795061,9133531618
201412,臺灣,文教康樂,2,2472479,11221920649
201501,臺灣,文教康樂,1,1853661,9899626652
201501,臺灣,文教康樂,2,2497939,12198795529
201502,臺灣,文教康樂,1,1875571,10922117439
201502,臺灣,文教康樂,2,2600656,13896266362
201503,臺灣,文教康樂,1,1842592,10392106195
201503,臺灣,文教康樂,2,2512628,12577144158
201504,臺灣,文教康樂,1,1928973,10304910262
201504,臺灣,文教康樂,2,2545664,12673208307
201505,臺灣,文教康樂,1,1820274,10722570358
201505,臺灣,文教康樂,2,2470625,13334373651
201506,臺灣,文教康樂,1,1990706,11057392528
201506,臺灣,文教康樂,2,2635279,13563920928
201507,臺灣,文教康樂,1,2080297,11161847669
201507,臺灣,文教康樂,2,2821777,13568426380
201508,臺灣,文教康樂,1,2138659,12142250409
201508,臺灣,文教康樂,2,2976996,14976510742
201509,臺灣,文教康樂,1,2035607,11046820933
201509,臺灣,文教康樂,2,2793590,14167923875
201510,臺灣,文教康樂,1,2047986,10600904612
201510,臺灣,文教康樂,2,2787890,13080217985
201511,臺灣,文教康樂,1,1928918,9750277660
201511,臺灣,文教康樂,2,2578243,11787515491
201512,臺灣,文教康樂,1,1983378,9385968995
201512,臺灣,文教康樂,2,2726902,11804045460
201601,臺灣,文教康樂,1,1960599,10790733417
201601,臺灣,文教康樂,2,2718220,13932328238
201602,臺灣,文教康樂,1,2109786,10803274062
201602,臺灣,文教康樂,2,2816757,13520243770
201603,臺灣,文教康樂,1,1927420,9654427755
201603,臺灣,文教康樂,2,2607098,12485230418
201604,臺灣,文教康樂,1,1890176,8915466437
201604,臺灣,文教康樂,2,2494645,11615230123
201605,臺灣,文教康樂,1,1827993,9849340613
201605,臺灣,文教康樂,2,2478787,12877242043
201606,臺灣,文教康樂,1,2016253,11037936785
201606,臺灣,文教康樂,2,2686832,13722168575
201607,臺灣,文教康樂,1,2156513,9856855212
201607,臺灣,文教康樂,2,2876678,12503857289
201608,臺灣,文教康樂,1,2127716,11429063201
201608,臺灣,文教康樂,2,2912351,14701661510
201609,臺灣,文教康樂,1,1949967,9663128918
201609,臺灣,文教康樂,2,2649989,12879182559
201610,臺灣,文教康樂,1,2074088,9088003173
201610,臺灣,文教康樂,2,2754091,11985215898
201611,臺灣,文教康樂,1,2042219,10015408790
201611,臺灣,文教康樂,2,2707718,12188626864
201612,臺灣,文教康樂,1,2124068,9388190831
201612,臺灣,文教康樂,2,2876495,11763999474
201701,臺灣,文教康樂,1,2079947,9961312753
201701,臺灣,文教康樂,2,2795933,12822763565
201702,臺灣,文教康樂,1,2156368,11898015122
201702,臺灣,文教康樂,2,2901728,15093001880
201703,臺灣,文教康樂,1,2167569,11148311517
201703,臺灣,文教康樂,2,2906265,13866571040
201704,臺灣,文教康樂,1,2228208,10053852007
201704,臺灣,文教康樂,2,2940821,12750747426
201705,臺灣,文教康樂,1,2089068,11048613432
201705,臺灣,文教康樂,2,2782694,14016421194
201706,臺灣,文教康樂,1,2043245,11001063878
201706,臺灣,文教康樂,2,2706540,13888345080
201707,臺灣,文教康樂,1,2180919,10621762318
201707,臺灣,文教康樂,2,2902820,13246043620
201708,臺灣,文教康樂,1,2188164,12272376781
201708,臺灣,文教康樂,2,2979527,15278491004
201709,臺灣,文教康樂,1,2105587,11496510862
201709,臺灣,文教康樂,2,2851536,15190343491
201710,臺灣,文教康樂,1,2196216,10294252846
201710,臺灣,文教康樂,2,2937993,13339567006
201711,臺灣,文教康樂,1,2043272,9874576329
201711,臺灣,文教康樂,2,2735505,12360208773
201712,臺灣,文教康樂,1,2184502,9306298681
201712,臺灣,文教康樂,2,3040698,12088697961
201801,臺灣,文教康樂,1,2021080,10203480834
201801,臺灣,文教康樂,2,2781610,13186060707
201802,臺灣,文教康樂,1,2091482,10881439175
201802,臺灣,文教康樂,2,2858507,14142440766
201803,臺灣,文教康樂,1,2179564,11894973104
201803,臺灣,文教康樂,2,2951906,15302799755
201804,臺灣,文教康樂,1,2267304,10316104053
201804,臺灣,文教康樂,2,2915065,13317535979
201805,臺灣,文教康樂,1,2207863,11730742573
201805,臺灣,文教康樂,2,2948602,15439043456
201806,臺灣,文教康樂,1,2259275,11264322689
201806,臺灣,文教康樂,2,3013818,14361531931
201807,臺灣,文教康樂,1,2352318,10988170030
201807,臺灣,文教康樂,2,3134251,13975708696
201808,臺灣,文教康樂,1,2304328,12021006761
201808,臺灣,文教康樂,2,3153555,15339872491
201809,臺灣,文教康樂,1,2179132,10510559245
