年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,行,1,8768651,10250604877
201401,臺灣,行,2,4521067,4904887017
201402,臺灣,行,1,7903887,9188110372
201402,臺灣,行,2,4037287,4431462854
201403,臺灣,行,1,8855766,10357237315
201403,臺灣,行,2,4656200,5114156369
201404,臺灣,行,1,8544935,9852883489
201404,臺灣,行,2,4474941,4813245952
201405,臺灣,行,1,9009616,10493165291
201405,臺灣,行,2,4761712,5198567956
201406,臺灣,行,1,8989891,10546156823
201406,臺灣,行,2,4715081,5208521122
201407,臺灣,行,1,9431156,11026763664
201407,臺灣,行,2,4949914,5455643155
201408,臺灣,行,1,9561364,10847037732
201408,臺灣,行,2,5041034,5354337213
201409,臺灣,行,1,9072497,10104361652
201409,臺灣,行,2,4754736,4958126893
201410,臺灣,行,1,9373138,10054573224
201410,臺灣,行,2,4910471,4947390795
201411,臺灣,行,1,8969469,9296879476
201411,臺灣,行,2,4736383,4687113829
201412,臺灣,行,1,9417345,9358248267
201412,臺灣,行,2,4970243,4846436554
201501,臺灣,行,1,9140540,8385846440
201501,臺灣,行,2,4762103,4444916266
201502,臺灣,行,1,8506154,7751824948
201502,臺灣,行,2,4260481,3966888312
201503,臺灣,行,1,9272438,8788506734
201503,臺灣,行,2,4839447,4612310988
201504,臺灣,行,1,9025979,8542999842
201504,臺灣,行,2,4685340,4439267991
201505,臺灣,行,1,9360440,9169621308
201505,臺灣,行,2,4940756,4844709648
201506,臺灣,行,1,9569781,9424036022
201506,臺灣,行,2,4995984,4898728736
201507,臺灣,行,1,9812910,9520747952
201507,臺灣,行,2,5161533,5093412075
201508,臺灣,行,1,9496629,8689729312
201508,臺灣,行,2,5008233,4686382776
201509,臺灣,行,1,9430132,8468074943
201509,臺灣,行,2,4924606,4485329229
201510,臺灣,行,1,9744998,8867321573
201510,臺灣,行,2,5051787,4724062693
201511,臺灣,行,1,9523773,8501885007
201511,臺灣,行,2,4981046,4589826814
201512,臺灣,行,1,9713430,8559889204
201512,臺灣,行,2,5151854,4788488638
201601,臺灣,行,1,9824071,8177977724
201601,臺灣,行,2,5123105,4605977293
201602,臺灣,行,1,8641967,7056636697
201602,臺灣,行,2,4331489,3889331898
201603,臺灣,行,1,9348208,8233429125
201603,臺灣,行,2,4893205,4687094183
201604,臺灣,行,1,9238951,8013453906
201604,臺灣,行,2,4796860,4431549231
201605,臺灣,行,1,9655507,8698953898
201605,臺灣,行,2,5087611,4801081049
201606,臺灣,行,1,10098769,9457373784
201606,臺灣,行,2,5286305,5171525744
201607,臺灣,行,1,10016424,9078574688
201607,臺灣,行,2,5267378,4979543017
201608,臺灣,行,1,10281466,8977765072
201608,臺灣,行,2,5368104,4878857889
201609,臺灣,行,1,9034498,8051393683
201609,臺灣,行,2,4745028,4414397762
201610,臺灣,行,1,9641873,8881873648
201610,臺灣,行,2,5103814,4965118282
201611,臺灣,行,1,9891887,9055232631
201611,臺灣,行,2,5258485,5044749932
201612,臺灣,行,1,10358247,9895448598
201612,臺灣,行,2,5583531,5522564791
201701,臺灣,行,1,8849306,8712006280
201701,臺灣,行,2,4791155,4913350711
